trial_index,arm_name,trial_status,generation_node,ACCURACY,RUNTIME,recent_samples_size,batch_size,detection_buf_size,overlap,alpha,gamma,statistical_test,subset_bound,approximation_type
167,167_0,FAILED,SOBOL,,,3176,4074,1386,0.200369814787060035454757667139,0.058663642903789878224607434731,8.074242749521507889198801422026,str\(\'t-test\'\),48,str\(\'bounded\'\)
168,168_0,FAILED,SOBOL,,,3685,9,3600,0.439760136760771247477208589771,0.768031509799882772249191020819,9.907808955691754349004440882709,str\(\'ks-test\'\),32,str\(\'bounded\'\)
169,169_0,FAILED,SOBOL,,,13,3082,1566,0.737912423988804189178836168139,0.144505778256803746328884585637,0.256272069600410767886700114104,str\(\'t-test\'\),19,str\(\'bounded\'\)
170,170_0,FAILED,SOBOL,,,1786,2321,4502,0.164022534171119338530786535557,0.312620925622060896742482327682,3.608446164525114241428127570543,str\(\'ks-test\'\),9,str\(\'bounded\'\)
171,171_0,FAILED,SOBOL,,,4520,4598,275,0.891220423292368613132907739782,0.686639517053961756509750102850,6.541903323901817834951089025708,str\(\'t-test\'\),47,str\(\'bounded\'\)
172,172_0,FAILED,SOBOL,,,3866,1745,1975,0.759084529448300626697232473816,0.605367540821433069986312602850,8.343072579260915944132648291998,str\(\'ks-test\'\),2,str\(\'bounded\'\)
173,173_0,FAILED,SOBOL,,,2381,3846,2763,0.063348687918856741441153701544,0.480636943297460650370567236678,1.826806280539370996862658103055,str\(\'t-test\'\),40,str\(\'bounded\'\)
174,174_0,FAILED,SOBOL,,,667,937,1156,0.605868360785767445797489472170,0.063992598239332440512860955550,4.548244370470755804092277685413,str\(\'ks-test\'\),26,str\(\'bounded\'\)
175,175_0,FAILED,SOBOL,,,3089,3482,4127,0.338750777781009648759180663546,0.937230335874483011515678754222,5.596307432444766583046202867990,str\(\'t-test\'\),14,str\(\'bounded\'\)
176,176_0,FAILED,SOBOL,,,2918,732,1734,0.936995696503668984433943478507,0.349690090810880038763031052440,1.350984353442676422218937659636,str\(\'t-test\'\),27,str\(\'bounded\'\)
177,177_0,FAILED,SOBOL,,,808,3609,3451,0.241050020100548850754407226304,0.724141293790191431511971131840,8.505243243962526733525919553358,str\(\'ks-test\'\),15,str\(\'bounded\'\)
178,178_0,COMPLETED,SOBOL,0.550000000000000044408920985006,1.000000000000000000000000000000,2238,1638,136,0.660888804612681290961972990772,0.821106573546305340549622542312,5.134760582214221713570623251144,str\(\'t-test\'\),1,str\(\'bounded\'\)
179,179_0,FAILED,SOBOL,,,4035,4032,4661,0.393981115967035278035979217748,0.197162506960332384320366827524,4.698581120415591172445601841900,str\(\'ks-test\'\),38,str\(\'bounded\'\)
