trial_index,arm_name,trial_status,generation_method,generation_node,ACCURACY,RUNTIME,recent_samples_size,n_subspaces,feature_percentage,alpha,window_size,mode
399,399_0,COMPLETED,BoTorch,GenerationStep_1,0.910000000000000031086244689504,0.000000000000000000000000000000,5000,100,0.001000000000000000020816681712,0.998999999999999999111821580300,560,EDFSMode.RANDOM
400,400_0,COMPLETED,BoTorch,GenerationStep_1,0.910000000000000031086244689504,0.000000000000000000000000000000,279,1,0.001000000000000000020816681712,0.564578330560618457667487746221,550,EDFSMode.RANDOM
401,401_0,COMPLETED,BoTorch,GenerationStep_1,0.910000000000000031086244689504,0.000000000000000000000000000000,5000,1,0.998999999999999999111821580300,0.460222613605607400177888166581,939,EDFSMode.RANDOM
402,402_0,COMPLETED,BoTorch,GenerationStep_1,0.910000000000000031086244689504,2.000000000000000000000000000000,3351,1,0.001000000000000000020816681712,0.998999999999999999111821580300,100,EDFSMode.RANDOM
403,403_0,COMPLETED,BoTorch,GenerationStep_1,0.910000000000000031086244689504,1.000000000000000000000000000000,813,1,0.001000000000000000020816681712,0.998999999999999999111821580300,100,EDFSMode.RANDOM
404,404_0,COMPLETED,BoTorch,GenerationStep_1,0.910000000000000031086244689504,0.000000000000000000000000000000,1,1,0.001000000000000000020816681712,0.372829193651834756018104144459,924,EDFSMode.RANDOM
405,405_0,COMPLETED,BoTorch,GenerationStep_1,0.910000000000000031086244689504,2.000000000000000000000000000000,713,1,0.001000000000000000020816681712,0.998999999999999999111821580300,101,EDFSMode.RANDOM
406,406_0,COMPLETED,BoTorch,GenerationStep_1,0.910000000000000031086244689504,0.000000000000000000000000000000,5000,1,0.998999999999999999111821580300,0.491820033295499892123103791164,471,EDFSMode.RANDOM
407,407_0,COMPLETED,BoTorch,GenerationStep_1,0.910000000000000031086244689504,0.000000000000000000000000000000,168,1,0.998999999999999999111821580300,0.441248289541496085952587691281,694,EDFSMode.RANDOM
408,408_0,COMPLETED,BoTorch,GenerationStep_1,0.910000000000000031086244689504,3.000000000000000000000000000000,4176,1,0.001000000000000000020816681712,0.998999999999999999111821580300,100,EDFSMode.RANDOM
409,409_0,COMPLETED,BoTorch,GenerationStep_1,0.910000000000000031086244689504,3.000000000000000000000000000000,1648,1,0.001000000000000000020816681712,0.998999999999999999111821580300,100,EDFSMode.RANDOM
410,410_0,COMPLETED,BoTorch,GenerationStep_1,0.910000000000000031086244689504,0.000000000000000000000000000000,5000,70,0.001000000000000000020816681712,0.001000000000000000020816681712,470,EDFSMode.RANDOM
411,411_0,COMPLETED,BoTorch,GenerationStep_1,0.910000000000000031086244689504,0.000000000000000000000000000000,1,1,0.998999999999999999111821580300,0.425608721336611761643098361674,812,EDFSMode.RANDOM
412,412_0,COMPLETED,BoTorch,GenerationStep_1,0.910000000000000031086244689504,2.000000000000000000000000000000,1233,1,0.001000000000000000020816681712,0.998999999999999999111821580300,100,EDFSMode.RANDOM
413,413_0,COMPLETED,BoTorch,GenerationStep_1,0.910000000000000031086244689504,0.000000000000000000000000000000,1680,1,0.978890263050518516507736421772,0.399801054036298286753492448042,877,EDFSMode.RANDOM
414,414_0,COMPLETED,BoTorch,GenerationStep_1,0.910000000000000031086244689504,0.000000000000000000000000000000,1,100,0.001000000000000000020816681712,0.447875678091180007278637731361,1000,EDFSMode.RANDOM
415,415_0,COMPLETED,BoTorch,GenerationStep_1,0.910000000000000031086244689504,0.000000000000000000000000000000,1293,100,0.001000000000000000020816681712,0.496217528922315409545262809843,643,EDFSMode.RANDOM
416,416_0,COMPLETED,BoTorch,GenerationStep_1,0.910000000000000031086244689504,0.000000000000000000000000000000,1,100,0.001000000000000000020816681712,0.341989045735938357317706959293,824,EDFSMode.RANDOM
417,417_0,COMPLETED,BoTorch,GenerationStep_1,0.910000000000000031086244689504,0.000000000000000000000000000000,1,1,0.001000000000000000020816681712,0.998999999999999999111821580300,153,EDFSMode.RANDOM
418,418_0,COMPLETED,BoTorch,GenerationStep_1,0.910000000000000031086244689504,0.000000000000000000000000000000,5000,75,0.001000000000000000020816681712,0.524301753447674268038269929093,747,EDFSMode.RANDOM
419,419_0,COMPLETED,BoTorch,GenerationStep_1,0.910000000000000031086244689504,0.000000000000000000000000000000,4806,1,0.703013324695155428223358740070,0.401479205370193326096739383502,472,EDFSMode.RANDOM
420,420_0,COMPLETED,BoTorch,GenerationStep_1,0.910000000000000031086244689504,2.000000000000000000000000000000,605,1,0.001000000000000000020816681712,0.998999999999999999111821580300,247,EDFSMode.RANDOM
421,421_0,COMPLETED,BoTorch,GenerationStep_1,0.910000000000000031086244689504,0.000000000000000000000000000000,1,1,0.001000000000000000020816681712,0.998999999999999999111821580300,219,EDFSMode.RANDOM
422,422_0,COMPLETED,BoTorch,GenerationStep_1,0.910000000000000031086244689504,2.000000000000000000000000000000,725,1,0.998999999999999999111821580300,0.998999999999999999111821580300,100,EDFSMode.RANDOM
423,423_0,COMPLETED,BoTorch,GenerationStep_1,0.910000000000000031086244689504,2.000000000000000000000000000000,5000,100,0.001000000000000000020816681712,0.998999999999999999111821580300,223,EDFSMode.RANDOM
424,424_0,COMPLETED,BoTorch,GenerationStep_1,0.910000000000000031086244689504,1.000000000000000000000000000000,579,1,0.998999999999999999111821580300,0.998999999999999999111821580300,261,EDFSMode.RANDOM
