trial_index,arm_name,trial_status,generation_method,generation_node,ACCURACY,RUNTIME,recent_samples_size,n_samples,n_permutations,update_interval,n_consecutive_deviations
303,303_0,FAILED,BoTorch,BOTORCH_MODULAR,,,5000,75,2,177,10
304,304_0,COMPLETED,BoTorch,BOTORCH_MODULAR,0.550000000000000044408920985006,5.000000000000000000000000000000,5000,1383,1000,189,1
305,305_0,FAILED,BoTorch,BOTORCH_MODULAR,,,3099,1,2,175,10
306,306_0,FAILED,BoTorch,BOTORCH_MODULAR,,,1743,1,2,250,10
307,307_0,COMPLETED,BoTorch,BOTORCH_MODULAR,0.569999999999999951150186916493,3.000000000000000000000000000000,1443,818,1000,250,1
308,308_0,COMPLETED,BoTorch,BOTORCH_MODULAR,0.569999999999999951150186916493,3.000000000000000000000000000000,2757,877,518,204,1
309,309_0,COMPLETED,BoTorch,BOTORCH_MODULAR,0.569999999999999951150186916493,4.000000000000000000000000000000,5000,748,1000,203,1
310,310_0,COMPLETED,BoTorch,BOTORCH_MODULAR,0.550000000000000044408920985006,3.000000000000000000000000000000,3202,1436,1000,250,1
311,311_0,COMPLETED,BoTorch,BOTORCH_MODULAR,0.550000000000000044408920985006,0.000000000000000000000000000000,1,5000,2,95,10
312,312_0,COMPLETED,BoTorch,BOTORCH_MODULAR,0.550000000000000044408920985006,0.000000000000000000000000000000,2285,4100,2,2,10
313,313_0,COMPLETED,BoTorch,BOTORCH_MODULAR,0.569999999999999951150186916493,4.000000000000000000000000000000,5000,1101,1000,145,1
314,314_0,COMPLETED,BoTorch,BOTORCH_MODULAR,0.550000000000000044408920985006,0.000000000000000000000000000000,3215,4209,2,2,1
315,315_0,COMPLETED,BoTorch,BOTORCH_MODULAR,0.550000000000000044408920985006,0.000000000000000000000000000000,1,4134,55,61,10
316,316_0,FAILED,BoTorch,BOTORCH_MODULAR,,,1,1,2,167,10
317,317_0,COMPLETED,BoTorch,BOTORCH_MODULAR,0.550000000000000044408920985006,2.000000000000000000000000000000,2064,1259,1000,250,1
318,318_0,COMPLETED,BoTorch,BOTORCH_MODULAR,0.550000000000000044408920985006,1.000000000000000000000000000000,1,2000,766,80,1
319,319_0,COMPLETED,BoTorch,BOTORCH_MODULAR,0.579999999999999960031971113494,3.000000000000000000000000000000,1267,753,1000,169,1
320,320_0,COMPLETED,BoTorch,BOTORCH_MODULAR,0.569999999999999951150186916493,5.000000000000000000000000000000,5000,611,1000,155,1
321,321_0,COMPLETED,BoTorch,BOTORCH_MODULAR,0.550000000000000044408920985006,2.000000000000000000000000000000,1744,1732,1000,224,10
322,322_0,COMPLETED,BoTorch,BOTORCH_MODULAR,0.569999999999999951150186916493,2.000000000000000000000000000000,2575,797,1000,250,1
323,323_0,COMPLETED,BoTorch,BOTORCH_MODULAR,0.550000000000000044408920985006,0.000000000000000000000000000000,1038,2356,2,250,10
324,324_0,COMPLETED,BoTorch,BOTORCH_MODULAR,0.550000000000000044408920985006,0.000000000000000000000000000000,3839,5000,2,250,10
325,325_0,COMPLETED,BoTorch,BOTORCH_MODULAR,0.560000000000000053290705182008,3.000000000000000000000000000000,717,1059,1000,163,1
326,326_0,COMPLETED,BoTorch,BOTORCH_MODULAR,0.560000000000000053290705182008,3.000000000000000000000000000000,5000,1315,1000,250,1
327,327_0,COMPLETED,BoTorch,BOTORCH_MODULAR,0.550000000000000044408920985006,0.000000000000000000000000000000,5000,2431,2,174,10
