trial_index,arm_name,trial_status,generation_node,ACCURACY,RUNTIME,recent_samples_size,window_size,ev_threshold,delta,divergence_metric,sample_period,online_scaling
1650,1650_0,COMPLETED,SOBOL,0.029999999999999998889776975375,12848.000000000000000000000000000000,4200,3196,0.540565872447565154423898547975,0.303559244338423017683936677713,str\(\'kl\'\),0.082783953435719009883442254250,True
1651,1651_0,COMPLETED,SOBOL,0.040000000000000000832667268469,449.000000000000000000000000000000,1748,1003,0.091897572938352822813357079212,0.675770605966448778545441200549,str\(\'intersection\'\),0.044681003717705614075583753220,False
1652,1652_0,COMPLETED,SOBOL,0.029999999999999998889776975375,1212.000000000000000000000000000000,145,4959,0.760457215357571825187221747910,0.196970909949392092297415501889,str\(\'intersection\'\),0.028363483594730495851443663469,True
1653,1653_0,COMPLETED,SOBOL,0.029999999999999998889776975375,1677.000000000000000000000000000000,2674,2134,0.375148989083245398834520756282,0.822820457689464102024601288576,str\(\'kl\'\),0.064000069368630646549078733187,False
1654,1654_0,COMPLETED,SOBOL,0.029999999999999998889776975375,4432.000000000000000000000000000000,3325,4149,0.220663912430405617648432325950,0.879792455999180655901170666766,str\(\'kl\'\),0.092175981802865861181039974781,True
1655,1655_0,COMPLETED,SOBOL,0.489999999999999991118215802999,613.000000000000000000000000000000,737,1340,0.645923272861167796499159976520,0.008337419720366598396843471619,str\(\'intersection\'\),0.033946068398654466458097545001,False
1656,1656_0,COMPLETED,SOBOL,0.029999999999999998889776975375,823.000000000000000000000000000000,2415,2699,0.441293337611481539806135288018,0.619683990737423306960351965245,str\(\'intersection\'\),0.016507942471653224564276385422,True
1657,1657_0,COMPLETED,SOBOL,0.029999999999999998889776975375,2150.000000000000000000000000000000,4769,528,0.927948320537805515506590836594,0.493078117648139579998201043054,str\(\'kl\'\),0.077193367602303622487802670094,False
1658,1658_0,COMPLETED,SOBOL,0.029999999999999998889776975375,480.000000000000000000000000000000,4908,2624,0.116354887049645180918666653724,0.789990631736814941099567022320,str\(\'intersection\'\),0.036489640315994623098738713907,False
1659,1659_0,COMPLETED,SOBOL,0.029999999999999998889776975375,1057.000000000000000000000000000000,2282,443,0.502464502969756754424679456861,0.168279232930392014244702636461,str\(\'kl\'\),0.091204656437039385852294515189,True
1660,1660_0,COMPLETED,SOBOL,0.029999999999999998889776975375,4673.000000000000000000000000000000,837,4224,0.333331445479765509087854979953,0.709453928947448742015069456102,str\(\'kl\'\),0.072014238666743030092831645561,False
1661,1661_0,COMPLETED,SOBOL,0.029999999999999998889776975375,1126.000000000000000000000000000000,3229,1425,0.780832876827567856636846954643,0.333104418385773870525667916809,str\(\'intersection\'\),0.020468790614977479258573822563,True
1662,1662_0,COMPLETED,SOBOL,0.029999999999999998889776975375,789.000000000000000000000000000000,2648,4718,0.685791121831163752453619508742,0.400915257895365362283968124757,str\(\'intersection\'\),0.048628250211477284936645304469,False
1663,1663_0,COMPLETED,SOBOL,0.029999999999999998889776975375,1244.000000000000000000000000000000,158,1903,0.198338556326925763428903337626,0.523870256995782268560901684396,str\(\'kl\'\),0.077591303652152415759601922218,True
1664,1664_0,FAILED,SOBOL,,,1682,3437,0.901542263559997114619193325780,0.099648685978725559664326283382,str\(\'kl\'\),0.063037115344777711056778457532,False
1665,1665_0,COMPLETED,SOBOL,0.029999999999999998889776975375,859.000000000000000000000000000000,4250,1235,0.477445964222773910901054250644,0.974754596246406479487234264525,str\(\'intersection\'\),0.030915506985038518350528136125,True
