trial_index,arm_name,trial_status,generation_node,ACCURACY,RUNTIME,recent_samples_size,n_samples,n_permutations,update_interval,n_consecutive_deviations
2299,2299_0,FAILED,BOTORCH_MODULAR,,,1268,1,2,162,3
2300,2300_0,FAILED,BOTORCH_MODULAR,,,4411,1,2,2,6
2301,2301_0,FAILED,BOTORCH_MODULAR,,,4316,1,2,49,4
2302,2302_0,FAILED,BOTORCH_MODULAR,,,1225,1,2,165,3
2303,798_0,FAILED,BOTORCH_MODULAR,,,1066,1,2,51,3
2304,1419_0,FAILED,BOTORCH_MODULAR,,,4180,1,2,61,3
2305,870_0,FAILED,BOTORCH_MODULAR,,,1038,1,2,52,3
2306,2306_0,FAILED,BOTORCH_MODULAR,,,4382,1,2,61,3
2307,664_0,FAILED,BOTORCH_MODULAR,,,1064,1,2,50,3
2308,1857_0,FAILED,BOTORCH_MODULAR,,,4207,1,2,60,3
