trial_index,arm_name,trial_status,generation_method,generation_node,ACCURACY,RUNTIME,recent_samples_size,delta
90,90_0,COMPLETED,BoTorch,GenerationStep_1,0.650000000000000022204460492503,175.000000000000000000000000000000,3708,0.001000000000000000020816681712
91,91_0,COMPLETED,BoTorch,GenerationStep_1,0.609999999999999986677323704498,134.000000000000000000000000000000,5000,0.116918791090815044064754602005
92,92_0,COMPLETED,BoTorch,GenerationStep_1,0.560000000000000053290705182008,37.000000000000000000000000000000,4742,0.348964868950702888916737265390
93,93_0,COMPLETED,BoTorch,GenerationStep_1,0.640000000000000013322676295502,137.000000000000000000000000000000,5000,0.067375627487609404675517055239
94,94_0,COMPLETED,BoTorch,GenerationStep_1,0.579999999999999960031971113494,61.000000000000000000000000000000,4743,0.302525374083683462611560344158
95,95_0,COMPLETED,BoTorch,GenerationStep_1,0.640000000000000013322676295502,192.000000000000000000000000000000,5000,0.078113807381336969326568464567
96,96_0,COMPLETED,BoTorch,GenerationStep_1,0.650000000000000022204460492503,122.000000000000000000000000000000,3462,0.001000000000000000020816681712
97,97_0,COMPLETED,BoTorch,GenerationStep_1,0.630000000000000004440892098501,184.000000000000000000000000000000,5000,0.024082153594137206686909280506
98,98_0,COMPLETED,BoTorch,GenerationStep_1,0.599999999999999977795539507497,102.000000000000000000000000000000,5000,0.133581939618539258241014522355
99,99_0,COMPLETED,BoTorch,GenerationStep_1,0.579999999999999960031971113494,88.000000000000000000000000000000,5000,0.103361090824581752789512734125
100,100_0,COMPLETED,BoTorch,GenerationStep_1,0.560000000000000053290705182008,12.000000000000000000000000000000,1,0.038123488780249951968226440613
101,101_0,COMPLETED,BoTorch,GenerationStep_1,0.589999999999999968913755310496,45.000000000000000000000000000000,708,0.206693364502454512976470368812
102,102_0,COMPLETED,BoTorch,GenerationStep_1,0.579999999999999960031971113494,53.000000000000000000000000000000,2368,0.137446519047399462465364194941
103,103_0,COMPLETED,BoTorch,GenerationStep_1,0.660000000000000031086244689504,222.000000000000000000000000000000,3907,0.001000000000000000020816681712
104,104_0,COMPLETED,BoTorch,GenerationStep_1,0.589999999999999968913755310496,71.000000000000000000000000000000,4968,0.181908815437810511550509318113
105,105_0,COMPLETED,BoTorch,GenerationStep_1,0.520000000000000017763568394003,27.000000000000000000000000000000,4691,0.397472137042898077119446043071
106,106_0,COMPLETED,BoTorch,GenerationStep_1,0.640000000000000013322676295502,108.000000000000000000000000000000,3118,0.001000000000000000020816681712
