trial_index,arm_name,trial_status,generation_node,ACCURACY,RUNTIME,recent_samples_size,batch_size,detection_buf_size,overlap,alpha,gamma,statistical_test,approximation_type,subset_bound
1861,1861_0,FAILED,BOTORCH_MODULAR,,,4739,1,1,0.998999999999999999111821580300,0.001000000000000000020816681712,0.001000000000000000020816681712,str\(\'ks-test\'\),str\(\'full\'\),1475
1862,1862_0,RUNNING,BOTORCH_MODULAR,,,5000,4577,2887,0.001000000000000000020816681712,0.998999999999999999111821580300,10.000000000000000000000000000000,str\(\'t-test\'\),str\(\'full\'\),1
1863,1863_0,RUNNING,BOTORCH_MODULAR,,,1,3147,1,0.329241498993843806353254421992,0.734447259588507428418324707309,9.929940678252609842502351966687,str\(\'t-test\'\),str\(\'bounded\'\),5000
1864,1864_0,RUNNING,BOTORCH_MODULAR,,,3247,2893,2673,0.057367128525305011166324220540,0.001000000000000000020816681712,0.176204921391209801129207335180,str\(\'ks-test\'\),str\(\'bounded\'\),2244
1865,1865_0,FAILED,BOTORCH_MODULAR,,,4927,3647,4862,0.036807231302863632760313805647,0.018052064439889735358857336678,5.647686115251186578234410262667,str\(\'ks-test\'\),str\(\'full\'\),1040
1866,1866_0,FAILED,BOTORCH_MODULAR,,,1833,5000,32,0.975994370228186691740290825692,0.394073035572051977304397496482,7.376336716032380280694269458763,str\(\'ks-test\'\),str\(\'full\'\),3881
1867,1867_0,RUNNING,BOTORCH_MODULAR,,,4848,4333,384,0.605668567790104028780717726477,0.998999999999999999111821580300,10.000000000000000000000000000000,str\(\'t-test\'\),str\(\'full\'\),1667
1868,1868_0,FAILED,BOTORCH_MODULAR,,,1,3357,712,0.021089399036656318597859893771,0.001000000000000000020816681712,7.751657088772808457122209802037,str\(\'t-test\'\),str\(\'bounded\'\),3147
1869,1869_0,FAILED,BOTORCH_MODULAR,,,4652,3481,4994,0.079050534687076040585296254903,0.158443531485132765856960190831,8.855366319523822582482353027444,str\(\'ks-test\'\),str\(\'bounded\'\),2003
1870,1870_0,RUNNING,BOTORCH_MODULAR,,,1510,4236,4226,0.974964657761962394388888242247,0.688463496695093879473859033169,0.001000000000000000020816681712,str\(\'ks-test\'\),str\(\'full\'\),3723
1871,1871_0,FAILED,BOTORCH_MODULAR,,,4783,1,1,0.998999999999999999111821580300,0.832395785501891971591703622835,0.001000000000000000020816681712,str\(\'t-test\'\),str\(\'full\'\),1
1872,1872_0,RUNNING,BOTORCH_MODULAR,,,670,4364,2281,0.841274774912397327319979467575,0.482697936066924515596809897033,4.363690838131089932971917733084,str\(\'t-test\'\),str\(\'full\'\),2780
1873,1873_0,FAILED,BOTORCH_MODULAR,,,4714,1,1,0.998999999999999999111821580300,0.001000000000000000020816681712,0.001000000000000000020816681712,str\(\'ks-test\'\),str\(\'full\'\),1818
1874,1874_0,RUNNING,BOTORCH_MODULAR,,,5000,2109,4972,0.998999999999999999111821580300,0.023903405343548220218785615998,3.584502506764253304538669908652,str\(\'ks-test\'\),str\(\'bounded\'\),5000
1875,1875_0,FAILED,BOTORCH_MODULAR,,,4851,1,1,0.998999999999999999111821580300,0.998999999999999999111821580300,0.001000000000000000020816681712,str\(\'t-test\'\),str\(\'full\'\),930
1876,1876_0,RUNNING,BOTORCH_MODULAR,,,2625,3501,4489,0.001000000000000000020816681712,0.617105505184217917324929203460,4.496098087774428542218174698064,str\(\'ks-test\'\),str\(\'full\'\),4380
1877,1877_0,RUNNING,BOTORCH_MODULAR,,,5000,3215,5000,0.766518273502593938673044249299,0.767889549884183120198599681316,0.001000000000000000020816681712,str\(\'ks-test\'\),str\(\'full\'\),1
1878,1878_0,FAILED,BOTORCH_MODULAR,,,4903,1,19,0.998999999999999999111821580300,0.998999999999999999111821580300,0.001000000000000000020816681712,str\(\'t-test\'\),str\(\'full\'\),809
1879,1879_0,RUNNING,BOTORCH_MODULAR,,,3589,4803,1002,0.001000000000000000020816681712,0.208067895089977167311090511248,0.001000000000000000020816681712,str\(\'ks-test\'\),str\(\'bounded\'\),3085
1880,1880_0,RUNNING,SOBOL,,,1643,2696,2002,0.087502300068736077465203493375,0.762825927257537839132339740900,1.646284110024571312180796667235,str\(\'ks-test\'\),str\(\'bounded\'\),3620
1881,1881_0,COMPLETED,SOBOL,0.709999999999999964472863211995,96.000000000000000000000000000000,3521,509,3220,0.800363252118229895337719881354,0.082615365203469987021023257512,7.022051593990997098160278255818,str\(\'t-test\'\),str\(\'full\'\),999
1882,1882_0,RUNNING,SOBOL,,,4413,4737,903,0.473324002763256423964577379593,0.435360978748649374292511993190,7.658818240853027425885102275060,str\(\'ks-test\'\),str\(\'full\'\),2149
1883,1883_0,FAILED,SOBOL,,,35,1904,4622,0.632854288294911415668764220754,0.721955325795337610195190336526,3.665349302779883355896117791417,str\(\'t-test\'\),str\(\'bounded\'\),4523
1884,1884_0,RUNNING,SOBOL,,,873,4317,2944,0.567125535691156978934657217906,0.548605801219120614575786021305,1.026800792931578998334885000077,str\(\'ks-test\'\),str\(\'full\'\),1700
1885,1885_0,RUNNING,SOBOL,,,3995,1543,1643,0.289661030013114217940284333963,0.359469056770205519502070501403,5.141631723840721868157288554357,str\(\'t-test\'\),str\(\'bounded\'\),4326
1886,1886_0,RUNNING,SOBOL,,,2995,3252,4355,0.991931612456217415285664174007,0.127570752516388885577924838799,9.544043497045525015209932462312,str\(\'ks-test\'\),str\(\'bounded\'\),2572
1887,1887_0,COMPLETED,SOBOL,0.709999999999999964472863211995,254.000000000000000000000000000000,2373,1046,555,0.145542691189795736494971833963,0.967629135215654967439036227006,4.280025967358612071222978556762,str\(\'t-test\'\),str\(\'full\'\),193
1888,1888_0,FAILED,SOBOL,,,2052,4516,3855,0.365280565394088652109161330372,0.007902376705780624066566275587,3.106460228770040021828435783391,str\(\'ks-test\'\),str\(\'full\'\),1513
1889,1889_0,RUNNING,SOBOL,,,2680,2283,156,0.524566573984921014073279366130,0.836257819756865528049161184754,8.374132349778898642966851184610,str\(\'t-test\'\),str\(\'bounded\'\),3887
1890,1890_0,RUNNING,SOBOL,,,4317,3054,2757,0.197527949227020133138310598042,0.678429828003048851492451376544,6.311583994199522429369153542211,str\(\'ks-test\'\),str\(\'bounded\'\),3006
1891,1891_0,COMPLETED,SOBOL,0.709999999999999964472863211995,304.000000000000000000000000000000,1189,306,1557,0.910631928093731390916332202323,0.477605398202314956890290886804,2.200402886717580219766432492179,str\(\'t-test\'\),str\(\'full\'\),385
1892,1892_0,RUNNING,SOBOL,,,347,3513,1047,0.852667801948264192368753811024,0.308390345616266159378682232273,4.995194711368531770290246640798,str\(\'ks-test\'\),str\(\'bounded\'\),3188
1893,1893_0,RUNNING,SOBOL,,,4719,629,4829,0.006035614993423223800794730209,0.598890738721936988220306830044,8.984994754435494002109408029355,str\(\'t-test\'\),str\(\'full\'\),808
1894,1894_0,RUNNING,SOBOL,,,3209,3920,2459,0.708305810781195810399424317438,0.885362914767116260250645609631,5.695915011527017846049147919985,str\(\'ks-test\'\),str\(\'full\'\),2335
1895,1895_0,FAILED,SOBOL,,,1337,1785,3740,0.431085344102233647411992478737,0.209043199313804495265145533267,0.316473901908844723607217019890,str\(\'t-test\'\),str\(\'bounded\'\),4960
1896,1896_0,FAILED,SOBOL,,,1461,3819,309,0.953434439903125152682150655892,0.692549458272755158461109203927,9.204141835836693985584133770317,str\(\'t-test\'\),str\(\'full\'\),3943
1897,1897_0,RUNNING,SOBOL,,,3339,1572,4012,0.185988818526268001596335466274,0.402056556614115823133914773280,4.463731080107391058220400736900,str\(\'ks-test\'\),str\(\'bounded\'\),1322
1898,1898_0,RUNNING,SOBOL,,,4986,3613,1398,0.606597351079806723639364918199,0.115584529282525189097796669557,0.218173508219420914100439290451,str\(\'t-test\'\),str\(\'bounded\'\),575
1899,1899_0,COMPLETED,SOBOL,0.709999999999999964472863211995,271.000000000000000000000000000000,608,841,2601,0.252138645291328455932955421304,0.791896515347063512102465665521,6.106531210092827954838412551908,str\(\'ks-test\'\),str\(\'full\'\),2950
1900,1900_0,RUNNING,SOBOL,,,986,2959,4982,0.450420591363683342489565575306,0.993045164007693492713713112607,8.584659151979721514180710073560,str\(\'t-test\'\),str\(\'bounded\'\),772
