trial_index,arm_name,trial_status,generation_node,ACCURACY,RUNTIME,recent_samples_size,n_samples,const,max_depth,threshold
1090,1090_0,RUNNING,BOTORCH_MODULAR,,,4718,2603,7.039370719872043657971971697407,20,0.001000000000000000020816681712
1091,1091_0,RUNNING,BOTORCH_MODULAR,,,4341,5000,10.000000000000000000000000000000,16,0.998999999999999999111821580300
1092,1092_0,RUNNING,BOTORCH_MODULAR,,,3304,4246,5.498559850935233583868466666900,19,0.998999999999999999111821580300
1093,1093_0,FAILED,BOTORCH_MODULAR,,,2601,4851,10.000000000000000000000000000000,12,0.001000000000000000020816681712
1094,1094_0,FAILED,BOTORCH_MODULAR,,,4207,4138,7.542902605449406827631264604861,20,0.998999999999999999111821580300
1095,1095_0,FAILED,BOTORCH_MODULAR,,,4336,3270,10.000000000000000000000000000000,16,0.001000000000000000020816681712
1096,1096_0,FAILED,BOTORCH_MODULAR,,,4046,4798,10.000000000000000000000000000000,19,0.998999999999999999111821580300
1097,1097_0,COMPLETED,BOTORCH_MODULAR,0.450000000000000011102230246252,306.000000000000000000000000000000,1355,2192,6.813337171969049421704767155461,5,0.001000000000000000020816681712
1098,1098_0,COMPLETED,BOTORCH_MODULAR,0.460000000000000019984014443253,38.000000000000000000000000000000,3491,2485,10.000000000000000000000000000000,1,0.698015004703225416804457381659
1099,1099_0,FAILED,BOTORCH_MODULAR,,,4300,4007,0.464137034771105350117181842506,20,0.001000000000000000020816681712
1100,1100_0,FAILED,BOTORCH_MODULAR,,,2885,4496,7.318876677277047271275023376802,20,0.998999999999999999111821580300
1101,1101_0,FAILED,BOTORCH_MODULAR,,,2615,4580,0.001000000000000000020816681712,17,0.998999999999999999111821580300
1102,1102_0,FAILED,BOTORCH_MODULAR,,,2655,4680,8.573906309915106049857058678754,20,0.001000000000000000020816681712
1103,1103_0,COMPLETED,BOTORCH_MODULAR,0.489999999999999991118215802999,36.000000000000000000000000000000,4670,3371,6.432464814797396179812949412735,1,0.400155112692552328290673813171
1104,1104_0,FAILED,BOTORCH_MODULAR,,,4051,4589,10.000000000000000000000000000000,14,0.001000000000000000020816681712
1105,1105_0,FAILED,BOTORCH_MODULAR,,,4530,3520,3.055762292576193139836959744571,20,0.998999999999999999111821580300
1106,1106_0,FAILED,BOTORCH_MODULAR,,,2961,2893,2.564032187825205255649052560329,14,0.001000000000000000020816681712
1107,1107_0,FAILED,BOTORCH_MODULAR,,,4329,3251,7.793860369097522777792619308457,13,0.001000000000000000020816681712
1108,1108_0,RUNNING,BOTORCH_MODULAR,,,2463,5000,5.668629186855542734235768875806,12,0.011751323335508106690538987493
1109,1109_0,RUNNING,BOTORCH_MODULAR,,,4934,4768,5.198811187816823498053508956218,12,0.998999999999999999111821580300
1110,1110_0,COMPLETED,BOTORCH_MODULAR,0.479999999999999982236431605997,647.000000000000000000000000000000,4503,3177,0.001000000000000000020816681712,12,0.998999999999999999111821580300
1111,1111_0,RUNNING,BOTORCH_MODULAR,,,4312,4244,10.000000000000000000000000000000,20,0.001000000000000000020816681712
1112,1112_0,RUNNING,BOTORCH_MODULAR,,,4264,5000,8.382925493304265174288048001472,14,0.001000000000000000020816681712
1113,1113_0,FAILED,BOTORCH_MODULAR,,,552,4707,10.000000000000000000000000000000,13,0.001000000000000000020816681712
1114,1114_0,FAILED,BOTORCH_MODULAR,,,3974,4096,0.635942735332641784218310476717,20,0.001000000000000000020816681712
1115,1115_0,FAILED,BOTORCH_MODULAR,,,4285,4004,9.526969272780185349347448209301,20,0.001000000000000000020816681712
1116,1116_0,COMPLETED,BOTORCH_MODULAR,0.450000000000000011102230246252,5751.000000000000000000000000000000,1409,3421,0.001000000000000000020816681712,10,0.325871530874010162381892996564
1117,1117_0,FAILED,BOTORCH_MODULAR,,,3827,3532,10.000000000000000000000000000000,20,0.791942264469988055353155687044
1118,1118_0,FAILED,BOTORCH_MODULAR,,,5000,2381,10.000000000000000000000000000000,20,0.001000000000000000020816681712
1119,1119_0,FAILED,BOTORCH_MODULAR,,,4331,3478,0.001000000000000000020816681712,20,0.001000000000000000020816681712
1120,1120_0,COMPLETED,BOTORCH_MODULAR,0.450000000000000011102230246252,77.000000000000000000000000000000,1197,2269,0.001000000000000000020816681712,20,0.648424716411431623086514264287
1121,1121_0,FAILED,BOTORCH_MODULAR,,,1319,4079,6.776333794265662291422813723329,18,0.998999999999999999111821580300
1122,1122_0,FAILED,BOTORCH_MODULAR,,,4167,4287,5.659895602987843332698503218126,20,0.998999999999999999111821580300
1123,1123_0,FAILED,BOTORCH_MODULAR,,,4250,4063,3.449900922829377325484756511287,20,0.998999999999999999111821580300
1124,1124_0,COMPLETED,BOTORCH_MODULAR,0.460000000000000019984014443253,112.000000000000000000000000000000,3790,2994,0.001000000000000000020816681712,13,0.998999999999999999111821580300
1125,1125_0,FAILED,BOTORCH_MODULAR,,,4237,4175,10.000000000000000000000000000000,19,0.810341925953432795637354502105
