trial_index,arm_name,trial_status,generation_method,generation_node,ACCURACY,RUNTIME,recent_samples_size,n_samples,const,max_depth,threshold
210,210_0,COMPLETED,BoTorch,GenerationStep_1,0.739999999999999991118215802999,90.000000000000000000000000000000,4644,1125,2.878200450094253959321122238180,4,0.001000000000000000020816681712
211,211_0,COMPLETED,BoTorch,GenerationStep_1,0.729999999999999982236431605997,5814.000000000000000000000000000000,4579,1136,2.426920766613552604695769332466,8,0.001000000000000000020816681712
212,212_0,COMPLETED,BoTorch,GenerationStep_1,0.739999999999999991118215802999,8.000000000000000000000000000000,3153,241,4.662721225552121318003173655597,5,0.998999999999999999111821580300
213,213_0,COMPLETED,BoTorch,GenerationStep_1,0.750000000000000000000000000000,53.000000000000000000000000000000,2521,173,5.777821905750599285056523513049,13,0.330338387426990509609936452762
214,214_0,COMPLETED,BoTorch,GenerationStep_1,0.739999999999999991118215802999,17.000000000000000000000000000000,3585,4599,8.267507260208445174498592677992,20,0.319801549290721076612697970631
215,215_0,COMPLETED,BoTorch,GenerationStep_1,0.739999999999999991118215802999,155.000000000000000000000000000000,1023,251,7.924588239316905813325320195872,19,0.998999999999999999111821580300
216,216_0,COMPLETED,BoTorch,GenerationStep_1,0.739999999999999991118215802999,14.000000000000000000000000000000,3175,236,2.906549833510712499418104926008,10,0.998999999999999999111821580300
217,217_0,COMPLETED,BoTorch,GenerationStep_1,0.750000000000000000000000000000,5.000000000000000000000000000000,2506,170,7.888849296571624591933868941851,3,0.221486585232591515204347842882
218,218_0,COMPLETED,BoTorch,GenerationStep_1,0.739999999999999991118215802999,23.000000000000000000000000000000,1004,228,9.147842013783938241999749152455,14,0.998999999999999999111821580300
219,219_0,FAILED,BoTorch,GenerationStep_1,,,4689,1126,2.267426719991279426835717458744,9,0.001000000000000000020816681712
220,220_0,COMPLETED,BoTorch,GenerationStep_1,0.739999999999999991118215802999,233.000000000000000000000000000000,4560,1134,6.150419387166332185756800754461,4,0.001000000000000000020816681712
221,221_0,COMPLETED,BoTorch,GenerationStep_1,0.750000000000000000000000000000,108.000000000000000000000000000000,3181,221,1.512987532366835141672822828696,10,0.718220275035342803349180940131
222,222_0,COMPLETED,BoTorch,GenerationStep_1,0.750000000000000000000000000000,39.000000000000000000000000000000,1039,227,7.363695006460547531901283946354,18,0.998999999999999999111821580300
223,223_0,COMPLETED,BoTorch,GenerationStep_1,0.750000000000000000000000000000,17.000000000000000000000000000000,1097,243,10.000000000000000000000000000000,11,0.998999999999999999111821580300
224,224_0,FAILED,BoTorch,GenerationStep_1,,,3215,234,0.001000000000000000020816681712,15,0.998999999999999999111821580300
225,225_0,FAILED,BoTorch,GenerationStep_1,,,4578,1145,8.330135570791425081438319466542,18,0.001000000000000000020816681712
226,226_0,COMPLETED,BoTorch,GenerationStep_1,0.750000000000000000000000000000,102.000000000000000000000000000000,1626,230,3.192390491641548866397215533652,11,0.668932253558026213013931737805
227,227_0,COMPLETED,BoTorch,GenerationStep_1,0.750000000000000000000000000000,7.000000000000000000000000000000,3200,200,2.697912816043044781366688766866,2,0.998999999999999999111821580300
228,228_0,COMPLETED,BoTorch,GenerationStep_1,0.750000000000000000000000000000,552.000000000000000000000000000000,2472,167,7.627177995264018406373907055240,9,0.001000000000000000020816681712
229,229_0,COMPLETED,BoTorch,GenerationStep_1,0.750000000000000000000000000000,9.000000000000000000000000000000,1533,241,7.561128247902432875093836628366,5,0.998999999999999999111821580300
230,230_0,COMPLETED,BoTorch,GenerationStep_1,0.750000000000000000000000000000,7.000000000000000000000000000000,3160,258,7.203767115523593389525558450259,4,0.998999999999999999111821580300
231,231_0,FAILED,BoTorch,GenerationStep_1,,,4566,1135,6.461403803175121751678489090409,20,0.001000000000000000020816681712
232,232_0,COMPLETED,BoTorch,GenerationStep_1,0.739999999999999991118215802999,8.000000000000000000000000000000,3218,189,6.006698160790054252800018730341,4,0.998999999999999999111821580300
233,233_0,COMPLETED,BoTorch,GenerationStep_1,0.750000000000000000000000000000,40.000000000000000000000000000000,2508,184,7.863883145286068021562186913798,10,0.490359579596231165421471587251
234,234_0,COMPLETED,BoTorch,GenerationStep_1,0.739999999999999991118215802999,462.000000000000000000000000000000,4605,1129,7.599550300668897584444039239315,5,0.001000000000000000020816681712
235,235_0,COMPLETED,BoTorch,GenerationStep_1,0.739999999999999991118215802999,2.000000000000000000000000000000,1744,3763,5.371782706991779399174902209779,8,0.001000000000000000020816681712
236,236_0,COMPLETED,BoTorch,GenerationStep_1,0.729999999999999982236431605997,3.000000000000000000000000000000,4851,3612,4.240142694179531268616756278789,8,0.998999999999999999111821580300
237,237_0,COMPLETED,BoTorch,GenerationStep_1,0.750000000000000000000000000000,137.000000000000000000000000000000,2507,164,0.577251505190471858597334176011,14,0.306899388254874339043709596808
238,238_0,COMPLETED,BoTorch,GenerationStep_1,0.739999999999999991118215802999,30.000000000000000000000000000000,1895,3754,8.150671713851753708013347932138,20,0.998999999999999999111821580300
239,239_0,COMPLETED,BoTorch,GenerationStep_1,0.729999999999999982236431605997,2.000000000000000000000000000000,3677,4595,5.123895788793259242765998351388,9,0.001000000000000000020816681712
240,240_0,COMPLETED,BoTorch,GenerationStep_1,0.739999999999999991118215802999,27.000000000000000000000000000000,1444,256,10.000000000000000000000000000000,15,0.998999999999999999111821580300
241,241_0,COMPLETED,BoTorch,GenerationStep_1,0.739999999999999991118215802999,6.000000000000000000000000000000,2549,170,6.332997508350337589888567890739,6,0.985413041431913772072448409745
