trial_index,arm_name,trial_status,generation_method,generation_node,ACCURACY,RUNTIME,recent_samples_size,n_samples,n_windows,disjoint_training_windows
290,290_0,COMPLETED,BoTorch,GenerationStep_1,0.550000000000000044408920985006,41.000000000000000000000000000000,1172,2004,1,False
291,291_0,COMPLETED,BoTorch,GenerationStep_1,0.450000000000000011102230246252,27.000000000000000000000000000000,977,4230,1753,False
292,292_0,COMPLETED,BoTorch,GenerationStep_1,0.419999999999999984456877655248,16.000000000000000000000000000000,602,3963,1,False
293,293_0,COMPLETED,BoTorch,GenerationStep_1,0.320000000000000006661338147751,7.000000000000000000000000000000,3587,1753,2766,True
294,294_0,COMPLETED,BoTorch,GenerationStep_1,0.320000000000000006661338147751,7.000000000000000000000000000000,3170,1130,4052,True
295,295_0,COMPLETED,BoTorch,GenerationStep_1,0.450000000000000011102230246252,22.000000000000000000000000000000,1145,4512,1,True
296,296_0,COMPLETED,BoTorch,GenerationStep_1,0.320000000000000006661338147751,7.000000000000000000000000000000,1807,3310,3859,True
297,297_0,COMPLETED,BoTorch,GenerationStep_1,0.479999999999999982236431605997,42.000000000000000000000000000000,1586,3749,5000,False
298,298_0,COMPLETED,BoTorch,GenerationStep_1,0.560000000000000053290705182008,46.000000000000000000000000000000,1229,1735,1,False
299,299_0,COMPLETED,BoTorch,GenerationStep_1,0.320000000000000006661338147751,8.000000000000000000000000000000,3510,2197,2564,True
300,300_0,COMPLETED,BoTorch,GenerationStep_1,0.520000000000000017763568394003,36.000000000000000000000000000000,1091,2205,1,True
301,301_0,COMPLETED,BoTorch,GenerationStep_1,0.530000000000000026645352591004,36.000000000000000000000000000000,1166,2440,1,False
302,302_0,COMPLETED,BoTorch,GenerationStep_1,0.320000000000000006661338147751,7.000000000000000000000000000000,832,2383,43,True
303,303_0,COMPLETED,BoTorch,GenerationStep_1,0.500000000000000000000000000000,31.000000000000000000000000000000,1026,2528,1,False
304,304_0,COMPLETED,BoTorch,GenerationStep_1,0.320000000000000006661338147751,7.000000000000000000000000000000,811,2332,319,True
305,305_0,COMPLETED,BoTorch,GenerationStep_1,0.429999999999999993338661852249,15.000000000000000000000000000000,496,5000,1,False
306,306_0,COMPLETED,BoTorch,GenerationStep_1,0.540000000000000035527136788005,44.000000000000000000000000000000,1160,1880,1,True
307,307_0,COMPLETED,BoTorch,GenerationStep_1,0.460000000000000019984014443253,21.000000000000000000000000000000,1046,5000,1,False
308,308_0,COMPLETED,BoTorch,GenerationStep_1,0.320000000000000006661338147751,7.000000000000000000000000000000,3996,5000,5000,True
309,309_0,COMPLETED,BoTorch,GenerationStep_1,0.589999999999999968913755310496,63.000000000000000000000000000000,4348,1929,576,False
310,310_0,COMPLETED,BoTorch,GenerationStep_1,0.540000000000000035527136788005,42.000000000000000000000000000000,4114,3707,2687,False
311,311_0,COMPLETED,BoTorch,GenerationStep_1,0.320000000000000006661338147751,7.000000000000000000000000000000,3654,5000,1059,True
312,312_0,COMPLETED,BoTorch,GenerationStep_1,0.540000000000000035527136788005,48.000000000000000000000000000000,1178,1756,1711,False
313,313_0,COMPLETED,BoTorch,GenerationStep_1,0.599999999999999977795539507497,63.000000000000000000000000000000,4580,1870,1,False
314,314_0,COMPLETED,BoTorch,GenerationStep_1,0.560000000000000053290705182008,65.000000000000000000000000000000,4349,2147,4223,False
315,315_0,COMPLETED,BoTorch,GenerationStep_1,0.569999999999999951150186916493,73.000000000000000000000000000000,3963,1844,3087,False
316,316_0,COMPLETED,BoTorch,GenerationStep_1,0.440000000000000002220446049250,27.000000000000000000000000000000,1020,5000,1885,False
317,317_0,COMPLETED,BoTorch,GenerationStep_1,0.500000000000000000000000000000,31.000000000000000000000000000000,990,2427,1,True
318,318_0,COMPLETED,BoTorch,GenerationStep_1,0.560000000000000053290705182008,47.000000000000000000000000000000,1379,1892,1,False
319,319_0,COMPLETED,BoTorch,GenerationStep_1,0.320000000000000006661338147751,7.000000000000000000000000000000,1948,3766,5000,True
320,320_0,COMPLETED,BoTorch,GenerationStep_1,0.320000000000000006661338147751,7.000000000000000000000000000000,3037,1275,5000,True
321,321_0,COMPLETED,BoTorch,GenerationStep_1,0.340000000000000024424906541753,28.000000000000000000000000000000,2265,4491,4808,False
322,322_0,COMPLETED,BoTorch,GenerationStep_1,0.320000000000000006661338147751,7.000000000000000000000000000000,1888,5000,3406,True
323,323_0,COMPLETED,BoTorch,GenerationStep_1,0.530000000000000026645352591004,36.000000000000000000000000000000,1198,2306,1,False
324,324_0,COMPLETED,BoTorch,GenerationStep_1,0.460000000000000019984014443253,38.000000000000000000000000000000,1359,4460,3337,False
325,325_0,COMPLETED,BoTorch,GenerationStep_1,0.320000000000000006661338147751,7.000000000000000000000000000000,731,2268,663,True
326,326_0,COMPLETED,BoTorch,GenerationStep_1,0.489999999999999991118215802999,49.000000000000000000000000000000,3865,5000,5000,False
327,327_0,COMPLETED,BoTorch,GenerationStep_1,0.500000000000000000000000000000,37.000000000000000000000000000000,4125,5000,1537,False
328,328_0,COMPLETED,BoTorch,GenerationStep_1,0.320000000000000006661338147751,7.000000000000000000000000000000,1,3243,3020,True
329,329_0,COMPLETED,BoTorch,GenerationStep_1,0.440000000000000002220446049250,17.000000000000000000000000000000,627,4682,1,False
330,330_0,COMPLETED,BoTorch,GenerationStep_1,0.469999999999999973354647408996,51.000000000000000000000000000000,4219,5000,2918,False
