trial_index,arm_name,trial_status,generation_method,generation_node,ACCURACY,RUNTIME,recent_samples_size,n_samples,const,max_depth,threshold
129,129_0,COMPLETED,BoTorch,GenerationStep_1,0.560000000000000053290705182008,74.000000000000000000000000000000,5000,214,0.001000000000000000020816681712,20,0.301554554736500390887954381469
130,130_0,COMPLETED,BoTorch,GenerationStep_1,0.579999999999999960031971113494,2.000000000000000000000000000000,4943,128,9.903760801286237480667296040338,1,0.531246840061463165838517852535
131,131_0,COMPLETED,BoTorch,GenerationStep_1,0.560000000000000053290705182008,28.000000000000000000000000000000,5000,237,0.001000000000000000020816681712,15,0.001000000000000000020816681712
132,132_0,COMPLETED,BoTorch,GenerationStep_1,0.560000000000000053290705182008,16.000000000000000000000000000000,5000,177,0.001000000000000000020816681712,20,0.001000000000000000020816681712
133,133_0,COMPLETED,BoTorch,GenerationStep_1,0.560000000000000053290705182008,1.000000000000000000000000000000,5000,229,1.751683590294629055961195263080,1,0.001000000000000000020816681712
134,134_0,COMPLETED,BoTorch,GenerationStep_1,0.550000000000000044408920985006,0.000000000000000000000000000000,1,1721,2.726202628882173684132794733159,20,0.001000000000000000020816681712
135,135_0,COMPLETED,BoTorch,GenerationStep_1,0.579999999999999960031971113494,11.000000000000000000000000000000,5000,129,0.001000000000000000020816681712,17,0.770505935312613243759471970407
136,136_0,COMPLETED,BoTorch,GenerationStep_1,0.569999999999999951150186916493,9.000000000000000000000000000000,5000,87,0.041683918165417582768483839573,19,0.998999999999999999111821580300
137,137_0,COMPLETED,BoTorch,GenerationStep_1,0.560000000000000053290705182008,12.000000000000000000000000000000,4984,173,0.001000000000000000020816681712,12,0.417919763415562695030303075328
138,138_0,COMPLETED,BoTorch,GenerationStep_1,0.560000000000000053290705182008,93.000000000000000000000000000000,5000,221,0.001000000000000000020816681712,7,0.001000000000000000020816681712
