trial_index,arm_name,trial_status,generation_node,ACCURACY,RUNTIME,recent_samples_size,significance,gamma,max_node_size,max_tree_depth,max_time_stationary
535,535_0,RUNNING,SOBOL,,,3390,0.465974821656942372882781455701,0.746192319795489278355660189845,2756,2426,982
536,536_0,RUNNING,SOBOL,,,4884,0.760203489527106257561683833046,0.332560574650764440018946288546,2374,341,1740
537,537_0,RUNNING,SOBOL,,,279,0.044155101504176855198302575900,0.929173619197681599501947857789,4415,4630,2506
538,538_0,RUNNING,SOBOL,,,248,0.880052980829030273568491793412,0.356282978737726796492069070155,1542,3691,4730
539,539_0,RUNNING,SOBOL,,,4856,0.160138243980705752278481668327,0.875110363878309760465867839230,4169,1261,848
540,540_0,FAILED,SOBOL,,,3421,0.613684389166533894588440034568,0.040258918873965737761366767700,664,895,1253
541,541_0,FAILED,SOBOL,,,1781,0.330515411470085396228313356914,0.691145522991195360162919314462,3643,4096,2996
542,542_0,FAILED,SOBOL,,,1996,0.708962224196642676332658083993,0.872430582188069791982343303971,2781,5000,4093
543,543_0,FAILED,SOBOL,,,2853,0.485240101963281655894633104253,0.393074995705857854755294056304,427,70,171
544,544_0,FAILED,SOBOL,,,3859,0.787718626424670165242503117042,0.557395190710201826611580600002,4401,2165,1945
545,545_0,RUNNING,SOBOL,,,971,0.002500514533370733552541942402,0.210099287934601308691640042525,2399,2866,3649
546,546_0,RUNNING,SOBOL,,,795,0.519528600022196807017849096155,0.619550292573869176848688766768,235,1827,2594
547,547_0,FAILED,SOBOL,,,4309,0.299921208050101972819589946084,0.147930905947461721616775776056,2822,3162,1828
548,548_0,FAILED,SOBOL,,,2717,0.973023247551172976166355965688,0.810336452895775383176157902199,1972,3997,1070
549,549_0,RUNNING,SOBOL,,,2484,0.191917954951524721840527831773,0.455182524092495432999072590974,4989,953,4679
550,550_0,RUNNING,SOBOL,,,1294,0.819284197263419611267920572573,0.102366452837362884031868759394,3971,598,3270
551,551_0,RUNNING,SOBOL,,,3556,0.095684936258941893916230014838,0.629051388122141341696647032222,1578,4433,2464
552,552_0,RUNNING,SOBOL,,,4405,0.678151977110654113900523043412,0.294114591173827655268269154476,3211,2807,419
553,553_0,FAILED,SOBOL,,,425,0.391300371356308462900130962225,0.937265471318736720363062886463,1248,2263,3989
554,554_0,FAILED,SOBOL,,,599,0.644978768693283188717657594680,0.179917908789589992002433405105,4674,4315,2209
555,555_0,RUNNING,SOBOL,,,4582,0.424458331054076543065178839242,0.589649600103497539826946649555,2282,636,3288
556,556_0,RUNNING,SOBOL,,,3694,0.848485170921310816183336100949,0.487656816750764832146813887448,2508,1519,3811
557,557_0,RUNNING,SOBOL,,,1429,0.066468743624165660399683019932,0.779948440866544800975646012375,545,3471,515
558,558_0,RUNNING,SOBOL,,,2270,0.943762329304590807943498020904,0.661053574621677353384541220294,938,3125,1616
559,559_0,RUNNING,SOBOL,,,2502,0.221194125635549437847160447745,0.072480944024398918923424162131,3526,1946,2735
560,560_0,RUNNING,SOBOL,,,4211,0.552643737642094512452217713872,0.969754977377131566207424384629,1268,290,4389
