trial_index,arm_name,trial_status,generation_node,ACCURACY,RUNTIME,recent_samples_size,n_subspaces,feature_percentage,alpha,window_size,mode
2642,2642_0,RUNNING,SOBOL,,,3475,89,0.924587264237925365861769932962,0.985160023774951709718550318939,697,EDFSMode.RANDOM
2643,2643_0,RUNNING,SOBOL,,,2153,13,0.068242225667461756111187298757,0.179825160771608344445482430274,548,EDFSMode.RANDOM
2644,2644_0,FAILED,SOBOL,,,893,59,0.588945479368790936192112894787,0.527985340451821660856523976690,224,EDFSMode.RANDOM
2645,2645_0,FAILED,SOBOL,,,4736,41,0.418236418468877657605986541967,0.338221248658373940809696023280,964,EDFSMode.RANDOM
2646,2646_0,RUNNING,SOBOL,,,4279,67,0.213774372495710851538319730025,0.407667539834976222490325881154,815,EDFSMode.RANDOM
2647,2647_0,FAILED,SOBOL,,,95,34,0.793392562896013231465985882096,0.726064918931573655136446632241,205,EDFSMode.RANDOM
2648,2648_0,RUNNING,SOBOL,,,1393,88,0.299915793016552911787186985748,0.075288589658215637756555338456,332,EDFSMode.RANDOM
2649,2649_0,FAILED,SOBOL,,,2980,14,0.692898258559405788581386786973,0.759787159329280203934331439086,631,EDFSMode.RANDOM
2650,2650_0,RUNNING,SOBOL,,,2617,56,0.364278566693887140282015479897,0.686146695092320402231678144744,439,EDFSMode.RANDOM
2651,2651_0,RUNNING,SOBOL,,,1762,45,0.628550685269758102613479877618,0.492478380840271734442126216891,742,EDFSMode.RANDOM
2652,2652_0,RUNNING,SOBOL,,,502,99,0.153387086687609558444123081244,0.830900021420791778936631999386,925,EDFSMode.RANDOM
2653,2653_0,RUNNING,SOBOL,,,3876,3,0.853795049091801039331528500043,0.021657158633694054833407349747,312,EDFSMode.RANDOM
