trial_index,arm_name,trial_status,generation_method,generation_node,ACCURACY,RUNTIME,recent_samples_size,n_samples,n_clusters,threshold
463,463_0,COMPLETED,BoTorch,GenerationStep_1,0.719999999999999973354647408996,17.000000000000000000000000000000,301,353,7,0.213265631125454740990576851800
464,464_0,FAILED,BoTorch,GenerationStep_1,,,1259,1,1,0.213990182688785279818688422893
465,465_0,COMPLETED,BoTorch,GenerationStep_1,0.690000000000000057731597280508,16.000000000000000000000000000000,1296,1490,1,0.730811403791851055267159154027
466,466_0,COMPLETED,BoTorch,GenerationStep_1,0.729999999999999982236431605997,203.000000000000000000000000000000,2488,17,10,0.998999999999999999111821580300
467,467_0,COMPLETED,BoTorch,GenerationStep_1,0.739999999999999991118215802999,55.000000000000000000000000000000,805,102,10,0.219981260663106276131983918276
468,468_0,COMPLETED,BoTorch,GenerationStep_1,0.750000000000000000000000000000,42.000000000000000000000000000000,2212,38,1,0.998999999999999999111821580300
469,469_0,COMPLETED,BoTorch,GenerationStep_1,0.739999999999999991118215802999,18.000000000000000000000000000000,981,512,1,0.798087672420781157889280166273
470,470_0,COMPLETED,BoTorch,GenerationStep_1,0.700000000000000066613381477509,32.000000000000000000000000000000,1142,1758,10,0.328408319724324215815869365542
471,471_0,COMPLETED,BoTorch,GenerationStep_1,0.709999999999999964472863211995,29.000000000000000000000000000000,459,469,10,0.233707469426498531950286974279
472,472_0,FAILED,BoTorch,GenerationStep_1,,,1691,1,10,0.284775570757019313994362619269
473,473_0,FAILED,BoTorch,GenerationStep_1,,,672,1,6,0.001000000000000000020816681712
474,474_0,COMPLETED,BoTorch,GenerationStep_1,0.719999999999999973354647408996,16.000000000000000000000000000000,755,573,1,0.733462017018041700922026393528
475,475_0,COMPLETED,BoTorch,GenerationStep_1,0.690000000000000057731597280508,15.000000000000000000000000000000,1310,1788,1,0.998999999999999999111821580300
476,476_0,COMPLETED,BoTorch,GenerationStep_1,0.750000000000000000000000000000,1340.000000000000000000000000000000,778,3,1,0.998999999999999999111821580300
477,477_0,COMPLETED,BoTorch,GenerationStep_1,0.719999999999999973354647408996,38.000000000000000000000000000000,970,1583,1,0.206315092260941079782554652411
