trial_index,arm_name,trial_status,generation_node,ACCURACY,RUNTIME,recent_samples_size,batch_size,gamma,alpha,use_mmd2,use_k2s_test
75,75_0,FAILED,BOTORCH_MODULAR,,,2627,5000,0.001000000000000000020816681712,0.050000000000000002775557561563,True,False
76,76_0,COMPLETED,BOTORCH_MODULAR,0.460000000000000019984014443253,1633.000000000000000000000000000000,5000,2,0.001000000000000000020816681712,0.025103559254677637602171103026,True,True
77,77_0,FAILED,BOTORCH_MODULAR,,,5000,5000,10.000000000000000000000000000000,0.000500000000000000010408340856,True,False
78,78_0,COMPLETED,BOTORCH_MODULAR,0.320000000000000006661338147751,281.000000000000000000000000000000,1,2,10.000000000000000000000000000000,0.000500000000000000010408340856,False,False
79,79_0,FAILED,BOTORCH_MODULAR,,,1758,2,0.001000000000000000020816681712,0.000500000000000000010408340856,True,True
80,80_0,COMPLETED,BOTORCH_MODULAR,0.410000000000000031086244689504,5016.000000000000000000000000000000,1,2,0.001000000000000000020816681712,0.008333114621171301000801534542,False,True
81,81_0,COMPLETED,BOTORCH_MODULAR,0.520000000000000017763568394003,48.000000000000000000000000000000,3839,386,0.001000000000000000020816681712,0.039706239824534132754063620041,True,False
82,82_0,FAILED,BOTORCH_MODULAR,,,2318,5000,10.000000000000000000000000000000,0.000500000000000000010408340856,True,True
83,83_0,COMPLETED,BOTORCH_MODULAR,0.380000000000000004440892098501,18.000000000000000000000000000000,3434,5000,0.001000000000000000020816681712,0.050000000000000002775557561563,False,False
84,84_0,FAILED,BOTORCH_MODULAR,,,3990,3852,0.001000000000000000020816681712,0.018506049351585177747958610439,True,True
85,85_0,FAILED,BOTORCH_MODULAR,,,1,5000,0.001000000000000000020816681712,0.000500000000000000010408340856,False,True
86,86_0,FAILED,BOTORCH_MODULAR,,,1,2,0.001000000000000000020816681712,0.005970804094705700441891860208,True,True
87,87_0,COMPLETED,BOTORCH_MODULAR,0.520000000000000017763568394003,936.000000000000000000000000000000,5000,2,0.001000000000000000020816681712,0.050000000000000002775557561563,True,True
88,88_0,FAILED,BOTORCH_MODULAR,,,1226,2,10.000000000000000000000000000000,0.000500000000000000010408340856,True,True
89,89_0,COMPLETED,BOTORCH_MODULAR,0.450000000000000011102230246252,293.000000000000000000000000000000,5000,2,0.001000000000000000020816681712,0.024303822497289781501272898367,True,False
90,90_0,FAILED,BOTORCH_MODULAR,,,1333,5000,0.001000000000000000020816681712,0.000500000000000000010408340856,True,True
91,91_0,FAILED,BOTORCH_MODULAR,,,2601,2,10.000000000000000000000000000000,0.000500000000000000010408340856,True,False
92,92_0,FAILED,BOTORCH_MODULAR,,,1113,2,10.000000000000000000000000000000,0.004418352961069594089793532987,True,True
93,93_0,FAILED,BOTORCH_MODULAR,,,1,2,10.000000000000000000000000000000,0.000500000000000000010408340856,False,True
94,94_0,FAILED,BOTORCH_MODULAR,,,1006,4929,10.000000000000000000000000000000,0.004773288627410613577106701655,True,True
95,95_0,COMPLETED,BOTORCH_MODULAR,0.450000000000000011102230246252,238.000000000000000000000000000000,1,2,0.001000000000000000020816681712,0.037948116228986666920164338990,True,False
96,96_0,FAILED,BOTORCH_MODULAR,,,675,2,0.001000000000000000020816681712,0.000500000000000000010408340856,True,True
97,97_0,COMPLETED,BOTORCH_MODULAR,0.570000000000000062172489379009,405.000000000000000000000000000000,3427,44,0.001000000000000000020816681712,0.013828158064801494148143845564,True,True
98,98_0,COMPLETED,BOTORCH_MODULAR,0.450000000000000011102230246252,213.000000000000000000000000000000,1758,2,0.001000000000000000020816681712,0.027573197741375090469295727758,True,False
99,99_0,FAILED,BOTORCH_MODULAR,,,1,5000,0.001000000000000000020816681712,0.017485404754796003007344395996,True,False
100,100_0,RUNNING,BOTORCH_MODULAR,,,3448,3316,6.578011520496758635090372990817,0.000500000000000000010408340856,True,True
101,101_0,RUNNING,BOTORCH_MODULAR,,,1,3807,0.001000000000000000020816681712,0.047606428033257104648345858777,True,True
102,102_0,COMPLETED,BOTORCH_MODULAR,0.390000000000000013322676295502,109.000000000000000000000000000000,1749,1277,0.001000000000000000020816681712,0.047299823336636480364258972031,True,False
103,103_0,RUNNING,BOTORCH_MODULAR,,,3209,4279,0.001000000000000000020816681712,0.041935313998835280213661746984,True,False
104,104_0,COMPLETED,BOTORCH_MODULAR,0.450000000000000011102230246252,201.000000000000000000000000000000,1552,2766,0.001000000000000000020816681712,0.049637837795316483435748011743,True,False
105,105_0,RUNNING,BOTORCH_MODULAR,,,2493,5000,3.135345163733363804681175679434,0.036791742694258257329043004802,False,True
106,106_0,RUNNING,BOTORCH_MODULAR,,,14,3012,0.001000000000000000020816681712,0.050000000000000002775557561563,True,True
107,107_0,RUNNING,BOTORCH_MODULAR,,,5000,3676,10.000000000000000000000000000000,0.000500000000000000010408340856,True,True
108,108_0,RUNNING,BOTORCH_MODULAR,,,942,3061,10.000000000000000000000000000000,0.043029451444776052604357374776,False,True
109,109_0,RUNNING,BOTORCH_MODULAR,,,4481,4414,10.000000000000000000000000000000,0.000500000000000000010408340856,True,True
110,110_0,RUNNING,BOTORCH_MODULAR,,,1,4737,0.001000000000000000020816681712,0.050000000000000002775557561563,True,True
111,111_0,RUNNING,BOTORCH_MODULAR,,,1780,5000,0.001000000000000000020816681712,0.046690322618896031026114457063,True,False
112,112_0,COMPLETED,BOTORCH_MODULAR,0.410000000000000031086244689504,200.000000000000000000000000000000,3040,3581,0.001000000000000000020816681712,0.042423267854777658991682898204,True,False
113,113_0,RUNNING,BOTORCH_MODULAR,,,5000,3086,10.000000000000000000000000000000,0.000500000000000000010408340856,False,True
114,114_0,RUNNING,BOTORCH_MODULAR,,,426,4484,0.001000000000000000020816681712,0.050000000000000002775557561563,False,True
115,115_0,COMPLETED,BOTORCH_MODULAR,0.619999999999999995559107901499,352.000000000000000000000000000000,1,152,10.000000000000000000000000000000,0.050000000000000002775557561563,True,True
116,116_0,RUNNING,BOTORCH_MODULAR,,,3696,2935,0.001000000000000000020816681712,0.037041973086957905025862203274,False,True
117,117_0,RUNNING,BOTORCH_MODULAR,,,2368,1765,0.001000000000000000020816681712,0.044272988138674362890156999129,True,False
118,118_0,RUNNING,BOTORCH_MODULAR,,,1496,5000,10.000000000000000000000000000000,0.050000000000000002775557561563,False,True
119,119_0,RUNNING,BOTORCH_MODULAR,,,5000,5000,10.000000000000000000000000000000,0.000500000000000000010408340856,True,True
120,120_0,RUNNING,BOTORCH_MODULAR,,,4414,4178,0.001000000000000000020816681712,0.000500000000000000010408340856,True,True
