trial_index,arm_name,trial_status,generation_node,ACCURACY,RUNTIME,recent_samples_size,batch_size,detection_buf_size,overlap,alpha,gamma,statistical_test,subset_bound,approximation_type
32,32_0,FAILED,SOBOL,,,1955,2228,2404,0.308629952020943176815848119077,0.358211139643564824286414705057,1.371052012682892451422844715125,str\(\'ks-test\'\),24,str\(\'bounded\'\)
33,33_0,FAILED,SOBOL,,,3613,4587,4504,0.985373689882457215460931365669,0.590763827372342342769684364612,9.301748081787488686700271500740,str\(\'t-test\'\),34,str\(\'bounded\'\)
34,34_0,FAILED,SOBOL,,,3770,622,482,0.159855626817792667582196486364,0.768163717109709986985421892314,5.631395422161557640094997623237,str\(\'ks-test\'\),46,str\(\'bounded\'\)
35,35_0,FAILED,SOBOL,,,586,2639,2601,0.604643880050629412004070672992,0.032685585493221883113257320019,3.640141862316988330405820306623,str\(\'t-test\'\),11,str\(\'bounded\'\)
36,36_0,FAILED,SOBOL,,,736,880,4260,0.648450865712016821795771193138,0.157556672744452952450444627175,0.729903530865907756997046362812,str\(\'ks-test\'\),40,str\(\'bounded\'\)
37,37_0,FAILED,SOBOL,,,4870,3550,1399,0.080861816357821220124790784212,0.892790737478062479404172790964,8.736352172421291584214486647397,str\(\'t-test\'\),5,str\(\'bounded\'\)
38,38_0,COMPLETED,SOBOL,0.190000000000000002220446049250,7521.000000000000000000000000000000,2515,1267,3627,0.750516632117330995122017611720,0.715391174910590010860289567063,6.313509376257658622932922298787,str\(\'ks-test\'\),18,str\(\'bounded\'\)
39,39_0,FAILED,SOBOL,,,1803,4221,706,0.446073660634458080131992119277,0.483081840239465210018465768371,4.241468868600205333052599598886,str\(\'t-test\'\),27,str\(\'bounded\'\)
40,40_0,FAILED,SOBOL,,,1363,304,3311,0.037737366583198310443503231681,0.557910032507032194182272633043,2.943540827659890002365727923461,str\(\'ks-test\'\),44,str\(\'bounded\'\)
41,41_0,FAILED,SOBOL,,,2994,2955,1036,0.730076252352446330995405787689,0.259086941035464424221146373384,5.248732803810388425347355223494,str\(\'t-test\'\),1,str\(\'bounded\'\)
42,42_0,FAILED,SOBOL,,,4389,1922,3962,0.434623896576464163743480639823,0.069988764526322480574727080693,9.702567420689389265930913097691,str\(\'ks-test\'\),14,str\(\'bounded\'\)
43,43_0,FAILED,SOBOL,,,1179,4895,1706,0.863816942416131494653086519975,0.863946373429149372391577799135,2.087943400789052272870094384416,str\(\'t-test\'\),31,str\(\'bounded\'\)
44,44_0,FAILED,SOBOL,,,79,1573,166,0.880357707984745552209915331332,0.988576159870252046957261882199,4.802295160594397316344839055091,str\(\'ks-test\'\),20,str\(\'bounded\'\)
45,45_0,FAILED,SOBOL,,,4238,3913,2930,0.328363866023719308540051997625,0.194860833287239076927477299250,7.182934116941877000783733819844,str\(\'t-test\'\),37,str\(\'bounded\'\)
