trial_index,arm_name,trial_status,generation_method,generation_node,ACCURACY,RUNTIME,recent_samples_size,feature_id,threshold,window_size
91,91_0,RUNNING,BoTorch,GenerationStep_1,,,5000,3,0.884688236126171867468315213046,1
92,92_0,RUNNING,BoTorch,GenerationStep_1,,,3967,5,0.195411823456101613194491051217,2686
93,93_0,RUNNING,BoTorch,GenerationStep_1,,,4408,3,0.427398966285902459638634809380,1
94,94_0,RUNNING,BoTorch,GenerationStep_1,,,5000,5,0.218298071139408356167166402884,2248
95,95_0,COMPLETED,BoTorch,GenerationStep_1,0.609999999999999986677323704498,1501.000000000000000000000000000000,207,5,0.342230303822540660174666982130,2188
96,96_0,COMPLETED,BoTorch,GenerationStep_1,0.570000000000000062172489379009,34.000000000000000000000000000000,5000,5,0.998999999999999999111821580300,1674
97,97_0,RUNNING,BoTorch,GenerationStep_1,,,3883,3,0.651586756865240923630722136295,1
98,98_0,COMPLETED,BoTorch,GenerationStep_1,0.739999999999999991118215802999,1166.000000000000000000000000000000,2220,3,0.197742800715064642735896427439,1
99,99_0,RUNNING,BoTorch,GenerationStep_1,,,2935,7,0.112387303197952564959294363689,5000
100,100_0,COMPLETED,BoTorch,GenerationStep_1,0.609999999999999986677323704498,6716.000000000000000000000000000000,3088,5,0.562492423641533956235605273832,2093
101,101_0,RUNNING,BoTorch,GenerationStep_1,,,3525,5,0.001000000000000000020816681712,2725
102,102_0,RUNNING,BoTorch,GenerationStep_1,,,4702,3,0.387057046060773846107849749387,1
103,103_0,RUNNING,BoTorch,GenerationStep_1,,,4348,3,0.998999999999999999111821580300,1
104,104_0,RUNNING,BoTorch,GenerationStep_1,,,3773,3,0.998999999999999999111821580300,1
105,105_0,FAILED,BoTorch,GenerationStep_1,,,1366,3,0.609950687202837071865246798552,1
106,106_0,COMPLETED,BoTorch,GenerationStep_1,0.579999999999999960031971113494,1430.000000000000000000000000000000,2129,5,0.001000000000000000020816681712,2809
107,107_0,FAILED,BoTorch,GenerationStep_1,,,3633,3,0.477482247780070812037678251727,1
108,108_0,FAILED,BoTorch,GenerationStep_1,,,3506,6,0.001000000000000000020816681712,3166
109,109_0,FAILED,BoTorch,GenerationStep_1,,,1472,6,0.001000000000000000020816681712,2695
110,110_0,COMPLETED,BoTorch,GenerationStep_1,0.640000000000000013322676295502,37.000000000000000000000000000000,1,5,0.811757291956990201242660987191,1665
111,111_0,FAILED,BoTorch,GenerationStep_1,,,1851,3,0.564923648109764031666202299675,1
112,112_0,FAILED,BoTorch,GenerationStep_1,,,3972,3,0.479277969993037733509311237867,1
113,113_0,FAILED,BoTorch,GenerationStep_1,,,5000,3,0.751620461791919880489842853422,1
114,114_0,FAILED,BoTorch,GenerationStep_1,,,1309,5,0.131862917818945074577285936357,3538
115,115_0,FAILED,BoTorch,GenerationStep_1,,,5000,3,0.490021347635880233362115632190,1
116,116_0,FAILED,BoTorch,GenerationStep_1,,,4064,3,0.763408713940577632328654544835,1
117,117_0,COMPLETED,BoTorch,GenerationStep_1,0.570000000000000062172489379009,34.000000000000000000000000000000,4498,5,0.998999999999999999111821580300,1832
118,118_0,FAILED,BoTorch,GenerationStep_1,,,4772,3,0.998999999999999999111821580300,1
119,119_0,FAILED,BoTorch,GenerationStep_1,,,5000,5,0.079282837329384209246185832853,3305
120,120_0,COMPLETED,BoTorch,GenerationStep_1,0.690000000000000057731597280508,188.000000000000000000000000000000,2155,3,0.503999080189866166534784497344,155
121,121_0,RUNNING,BoTorch,GenerationStep_1,,,3830,3,0.539971840254898860500532009610,1
122,122_0,COMPLETED,BoTorch,GenerationStep_1,0.709999999999999964472863211995,2383.000000000000000000000000000000,1658,3,0.531743465144371207919959942956,561
123,123_0,RUNNING,BoTorch,GenerationStep_1,,,1941,3,0.522719557342986584913546721509,1
124,124_0,RUNNING,BoTorch,GenerationStep_1,,,1149,3,0.512840747871770696875159956107,1
125,125_0,RUNNING,BoTorch,GenerationStep_1,,,4854,3,0.553573002999742769247859541792,1
126,126_0,RUNNING,BoTorch,GenerationStep_1,,,3458,3,0.507865696833944557653239826323,1
127,127_0,FAILED,BoTorch,GenerationStep_1,,,1858,0,0.998999999999999999111821580300,5000
128,128_0,FAILED,BoTorch,GenerationStep_1,,,4150,3,0.529402468019054661674260842119,1
129,129_0,FAILED,BoTorch,GenerationStep_1,,,1831,3,0.592377166302498814332011534134,7
130,130_0,FAILED,BoTorch,GenerationStep_1,,,1426,3,0.512557110920497493999903326767,1
131,131_0,COMPLETED,BoTorch,GenerationStep_1,0.700000000000000066613381477509,941.000000000000000000000000000000,660,3,0.483095689365675651227860498693,585
132,132_0,FAILED,BoTorch,GenerationStep_1,,,3534,3,0.632177998698217447071101560141,1
133,133_0,COMPLETED,BoTorch,GenerationStep_1,0.709999999999999964472863211995,3430.000000000000000000000000000000,3620,3,0.433052355414431655589169167797,254
134,134_0,FAILED,BoTorch,GenerationStep_1,,,4130,3,0.613678457321264581025843654061,1
135,135_0,FAILED,BoTorch,GenerationStep_1,,,936,3,0.446152199843739383222640526583,1
136,136_0,COMPLETED,BoTorch,GenerationStep_1,0.700000000000000066613381477509,104.000000000000000000000000000000,2072,3,0.441426385926802111736577671763,415
137,137_0,COMPLETED,BoTorch,GenerationStep_1,0.630000000000000004440892098501,1765.000000000000000000000000000000,5000,3,0.685450034487051884646291455283,521
138,138_0,COMPLETED,BoTorch,GenerationStep_1,0.690000000000000057731597280508,549.000000000000000000000000000000,416,3,0.464973360281151104622665570787,600
139,139_0,FAILED,BoTorch,GenerationStep_1,,,3851,7,0.082318289994447388369103180139,2
140,140_0,FAILED,BoTorch,GenerationStep_1,,,3123,7,0.001000000000000000020816681712,2488
141,141_0,FAILED,BoTorch,GenerationStep_1,,,4003,3,0.504279939410190891635465959553,1
