trial_index,arm_name,trial_status,generation_method,generation_node,ACCURACY,RUNTIME,recent_samples_size,batch_size,gamma,alpha,use_mmd2,use_k2s_test
309,309_0,COMPLETED,BoTorch,BOTORCH_MODULAR,0.550000000000000044408920985006,1.000000000000000000000000000000,210,4329,6.276715547779696535712901095394,0.024579112441373840436398268139,True,False
310,310_0,COMPLETED,BoTorch,BOTORCH_MODULAR,0.550000000000000044408920985006,3.000000000000000000000000000000,5000,2,0.001000000000000000020816681712,0.025972141678013396098867460182,False,False
311,311_0,COMPLETED,BoTorch,BOTORCH_MODULAR,0.560000000000000053290705182008,126.000000000000000000000000000000,463,848,6.835954061073960197347787470790,0.050000000000000002775557561563,True,True
312,312_0,COMPLETED,BoTorch,BOTORCH_MODULAR,0.550000000000000044408920985006,1.000000000000000000000000000000,5000,1611,1.316758966810905429056788307207,0.050000000000000002775557561563,True,False
313,313_0,COMPLETED,BoTorch,BOTORCH_MODULAR,0.550000000000000044408920985006,0.000000000000000000000000000000,1,4548,6.349726448189384697684545244556,0.050000000000000002775557561563,False,False
314,314_0,COMPLETED,BoTorch,BOTORCH_MODULAR,0.560000000000000053290705182008,5.000000000000000000000000000000,5000,2,0.001000000000000000020816681712,0.011006508547719720189639325270,True,False
315,315_0,COMPLETED,BoTorch,BOTORCH_MODULAR,0.550000000000000044408920985006,1.000000000000000000000000000000,1,5000,10.000000000000000000000000000000,0.000500000000000000010408340856,True,False
316,316_0,COMPLETED,BoTorch,BOTORCH_MODULAR,0.560000000000000053290705182008,5.000000000000000000000000000000,1,2,0.001000000000000000020816681712,0.020335693434643271199080416523,True,False
317,317_0,COMPLETED,BoTorch,BOTORCH_MODULAR,0.550000000000000044408920985006,0.000000000000000000000000000000,142,4208,6.430604378414601640656655945349,0.000500000000000000010408340856,False,False
318,318_0,COMPLETED,BoTorch,BOTORCH_MODULAR,0.550000000000000044408920985006,3.000000000000000000000000000000,3411,2,10.000000000000000000000000000000,0.050000000000000002775557561563,False,False
319,319_0,COMPLETED,BoTorch,BOTORCH_MODULAR,0.550000000000000044408920985006,1.000000000000000000000000000000,4521,1952,0.001000000000000000020816681712,0.002689523818061699631659644538,True,False
320,320_0,COMPLETED,BoTorch,BOTORCH_MODULAR,0.550000000000000044408920985006,1.000000000000000000000000000000,5000,4707,0.001000000000000000020816681712,0.049395640502468370069966141500,True,False
321,321_0,COMPLETED,BoTorch,BOTORCH_MODULAR,0.550000000000000044408920985006,1.000000000000000000000000000000,3455,851,10.000000000000000000000000000000,0.036346885726117508785826260009,True,False
322,322_0,COMPLETED,BoTorch,BOTORCH_MODULAR,0.550000000000000044408920985006,0.000000000000000000000000000000,5000,1782,0.001000000000000000020816681712,0.035243224627428661188677239124,False,False
323,323_0,COMPLETED,BoTorch,BOTORCH_MODULAR,0.550000000000000044408920985006,137.000000000000000000000000000000,1,956,10.000000000000000000000000000000,0.050000000000000002775557561563,True,True
324,324_0,COMPLETED,BoTorch,BOTORCH_MODULAR,0.550000000000000044408920985006,1.000000000000000000000000000000,1,5000,0.001000000000000000020816681712,0.019612061547143073980681293733,True,False
325,325_0,COMPLETED,BoTorch,BOTORCH_MODULAR,0.550000000000000044408920985006,1.000000000000000000000000000000,5000,1782,0.001000000000000000020816681712,0.045182633241989199335275628755,True,False
326,326_0,COMPLETED,BoTorch,BOTORCH_MODULAR,0.550000000000000044408920985006,1.000000000000000000000000000000,5000,4138,7.326975756896075608892715536058,0.047113555548160809816060634603,True,False
327,327_0,COMPLETED,BoTorch,BOTORCH_MODULAR,0.550000000000000044408920985006,0.000000000000000000000000000000,1,5000,7.309387838485247534947575331898,0.000500000000000000010408340856,False,False
328,328_0,COMPLETED,BoTorch,BOTORCH_MODULAR,0.550000000000000044408920985006,1.000000000000000000000000000000,5000,5000,6.748039679990273320697724557249,0.038155962501442791667827236779,True,False
329,329_0,COMPLETED,BoTorch,BOTORCH_MODULAR,0.550000000000000044408920985006,1.000000000000000000000000000000,5000,1782,0.001000000000000000020816681712,0.035156586361913995386618836392,True,False
330,330_0,COMPLETED,BoTorch,BOTORCH_MODULAR,0.560000000000000053290705182008,81.000000000000000000000000000000,1,234,7.256518026104835428213846171275,0.050000000000000002775557561563,True,True
331,331_0,COMPLETED,BoTorch,BOTORCH_MODULAR,0.550000000000000044408920985006,0.000000000000000000000000000000,4519,1347,2.744596386275095500906218148884,0.016695130078501554948822160895,False,False
332,332_0,COMPLETED,BoTorch,BOTORCH_MODULAR,0.550000000000000044408920985006,2.000000000000000000000000000000,1,2,0.001000000000000000020816681712,0.000500000000000000010408340856,False,False
333,333_0,COMPLETED,BoTorch,BOTORCH_MODULAR,0.560000000000000053290705182008,91.000000000000000000000000000000,5000,349,6.896998428600309871683293749811,0.050000000000000002775557561563,True,True
334,334_0,COMPLETED,BoTorch,BOTORCH_MODULAR,0.550000000000000044408920985006,0.000000000000000000000000000000,2938,1960,10.000000000000000000000000000000,0.000500000000000000010408340856,False,False
335,335_0,COMPLETED,BoTorch,BOTORCH_MODULAR,0.560000000000000053290705182008,168.000000000000000000000000000000,5000,2,8.127825546710827353535933070816,0.050000000000000002775557561563,True,True
336,336_0,COMPLETED,BoTorch,BOTORCH_MODULAR,0.550000000000000044408920985006,1.000000000000000000000000000000,1,5000,10.000000000000000000000000000000,0.017500482117146040628163916608,True,False
337,337_0,COMPLETED,BoTorch,BOTORCH_MODULAR,0.560000000000000053290705182008,96.000000000000000000000000000000,31,171,7.603836889799504561437970551196,0.045295898085599209381690855025,True,True
338,338_0,COMPLETED,BoTorch,BOTORCH_MODULAR,0.550000000000000044408920985006,3.000000000000000000000000000000,5000,2,0.001000000000000000020816681712,0.011899221961107497164134016998,False,False
339,339_0,COMPLETED,BoTorch,BOTORCH_MODULAR,0.550000000000000044408920985006,0.000000000000000000000000000000,2620,2946,10.000000000000000000000000000000,0.039315928855378261264075234749,False,False
340,340_0,COMPLETED,BoTorch,BOTORCH_MODULAR,0.550000000000000044408920985006,0.000000000000000000000000000000,5000,1611,2.488313799531714387569536484079,0.044100068969257770479241997919,False,False
341,341_0,COMPLETED,BoTorch,BOTORCH_MODULAR,0.550000000000000044408920985006,0.000000000000000000000000000000,5000,2596,6.634101062121907865787306946004,0.014041648260064964678917043273,False,False
342,342_0,COMPLETED,BoTorch,BOTORCH_MODULAR,0.550000000000000044408920985006,0.000000000000000000000000000000,142,1052,6.318636068603820987732433422934,0.006257468581434677719343984137,False,False
343,343_0,COMPLETED,BoTorch,BOTORCH_MODULAR,0.560000000000000053290705182008,4.000000000000000000000000000000,1,2,0.001000000000000000020816681712,0.004083467015526216943588355690,True,False
344,344_0,COMPLETED,BoTorch,BOTORCH_MODULAR,0.560000000000000053290705182008,85.000000000000000000000000000000,5000,298,6.284401735040876069149362592725,0.050000000000000002775557561563,False,True
345,345_0,COMPLETED,BoTorch,BOTORCH_MODULAR,0.550000000000000044408920985006,0.000000000000000000000000000000,5000,3645,10.000000000000000000000000000000,0.034744752625932143197395873813,False,False
346,346_0,COMPLETED,BoTorch,BOTORCH_MODULAR,0.560000000000000053290705182008,68.000000000000000000000000000000,1,2,7.879270989676910197374581912300,0.050000000000000002775557561563,True,True
347,347_0,COMPLETED,BoTorch,BOTORCH_MODULAR,0.550000000000000044408920985006,0.000000000000000000000000000000,4898,3967,3.984895544124224642246190342121,0.006307152626627805964976136721,False,False
348,348_0,COMPLETED,BoTorch,BOTORCH_MODULAR,0.550000000000000044408920985006,3.000000000000000000000000000000,5000,2,7.301573411267670010715846728999,0.018725829464137616620078574670,False,False
349,349_0,COMPLETED,BoTorch,BOTORCH_MODULAR,0.550000000000000044408920985006,0.000000000000000000000000000000,1125,819,4.552658001562992495792059344240,0.011372367985402581994081039340,False,False
350,350_0,COMPLETED,BoTorch,BOTORCH_MODULAR,0.550000000000000044408920985006,2.000000000000000000000000000000,1,2,0.001000000000000000020816681712,0.007818350568982335158096930172,False,False
351,351_0,COMPLETED,BoTorch,BOTORCH_MODULAR,0.550000000000000044408920985006,2.000000000000000000000000000000,1,2,0.001000000000000000020816681712,0.050000000000000002775557561563,False,False
352,352_0,COMPLETED,BoTorch,BOTORCH_MODULAR,0.550000000000000044408920985006,1.000000000000000000000000000000,5000,2596,0.001000000000000000020816681712,0.045918000568356411028592134471,True,False
