trial_index,arm_name,trial_status,generation_node,ACCURACY,RUNTIME,recent_samples_size,n_samples,k_neighbors,n_permutations,significance_level
174,174_0,FAILED,GenerationStep_1,,,2303,4054,83,28,0.012942349936280381911268833051
175,175_0,FAILED,GenerationStep_1,,,2920,2147,83,346,0.993758047488009998993163662817
176,176_0,FAILED,GenerationStep_1,,,1,4942,81,522,0.179109514402688074774516735488
177,177_0,FAILED,GenerationStep_1,,,4005,2945,85,777,0.778486837517984420209415930003
178,178_0,FAILED,GenerationStep_1,,,1,1,82,551,0.182279300917661257752655501463
179,179_0,FAILED,GenerationStep_1,,,439,1429,81,337,0.001000000000000000020816681712
180,180_0,FAILED,GenerationStep_1,,,4663,1,82,1,0.916108745332517071524591756315
181,181_0,COMPLETED,GenerationStep_1,0.709999999999999964472863211995,2058.000000000000000000000000000000,1817,448,82,1,0.054806001468593511238847071354
182,182_0,FAILED,GenerationStep_1,,,603,1,82,1,0.001000000000000000020816681712
183,183_0,RUNNING,GenerationStep_1,,,187,4768,83,137,0.044745435261834436146965998660
184,184_0,FAILED,GenerationStep_1,,,1,1,82,791,0.775856984105507185844885498227
185,185_0,RUNNING,GenerationStep_1,,,3637,3799,28,443,0.998999999999999999111821580300
186,186_0,RUNNING,GenerationStep_1,,,2877,4195,79,402,0.761561639951119473401774939703
187,187_0,COMPLETED,GenerationStep_1,0.709999999999999964472863211995,5533.000000000000000000000000000000,3532,881,82,1,0.905605031662930604063888040400
188,188_0,RUNNING,GenerationStep_1,,,3805,118,84,172,0.948797660809328591291489374271
189,189_0,RUNNING,GenerationStep_1,,,1887,3512,83,643,0.576516436039557489401374823501
190,190_0,RUNNING,GenerationStep_1,,,2917,4766,83,184,0.118023676168528671159840826022
191,191_0,FAILED,GenerationStep_1,,,1,40,83,476,0.209094327380945271821488518071
192,192_0,RUNNING,GenerationStep_1,,,4609,58,81,346,0.930339753317606099614067716175
193,193_0,FAILED,GenerationStep_1,,,1799,1,82,1,0.264982158667109835015196495078
194,194_0,RUNNING,GenerationStep_1,,,1553,2099,82,1,0.001000000000000000020816681712
195,195_0,RUNNING,GenerationStep_1,,,4515,3556,83,5,0.834587831676142921644157013361
196,196_0,RUNNING,GenerationStep_1,,,3763,3330,27,656,0.814635681370314057581083488913
197,197_0,COMPLETED,GenerationStep_1,0.770000000000000017763568394003,4564.000000000000000000000000000000,2068,197,78,215,0.121040148787917231643085358428
198,198_0,RUNNING,GenerationStep_1,,,4351,3415,80,193,0.998999999999999999111821580300
199,199_0,RUNNING,GenerationStep_1,,,3525,4359,83,304,0.336334612855731962532956913492
200,200_0,RUNNING,GenerationStep_1,,,1,3116,82,523,0.678658400271958783811498960858
201,201_0,RUNNING,GenerationStep_1,,,243,4875,85,740,0.462135828533033699017096296302
202,202_0,FAILED,GenerationStep_1,,,3819,1,84,70,0.667750034504854483863311997993
203,203_0,RUNNING,GenerationStep_1,,,1,4812,80,992,0.193121423739868847135880969290
204,204_0,FAILED,GenerationStep_1,,,1276,1,84,327,0.001000000000000000020816681712
205,205_0,FAILED,GenerationStep_1,,,3416,3968,80,643,0.001000000000000000020816681712
206,206_0,FAILED,GenerationStep_1,,,2227,3950,18,957,0.001000000000000000020816681712
207,207_0,FAILED,GenerationStep_1,,,3443,4872,84,718,0.294998288616571513465203224769
208,208_0,FAILED,GenerationStep_1,,,3061,1982,84,824,0.915183050652392915402799644653
209,209_0,FAILED,GenerationStep_1,,,1076,3196,82,489,0.881917767321779622058386394201
210,210_0,RUNNING,GenerationStep_1,,,1233,436,1,87,0.100290394590705253530238394433
211,211_0,RUNNING,GenerationStep_1,,,1182,784,73,73,0.133984369799545949275554335145
212,212_0,FAILED,GenerationStep_1,,,4289,1,100,136,0.004184939297248533446316187678
213,213_0,RUNNING,GenerationStep_1,,,2059,1196,1,128,0.001000000000000000020816681712
214,214_0,RUNNING,GenerationStep_1,,,1,2283,100,147,0.001517771831222314510637105833
215,215_0,COMPLETED,GenerationStep_1,0.729999999999999982236431605997,6985.000000000000000000000000000000,419,310,1,141,0.301785767012896277705635839084
216,216_0,RUNNING,GenerationStep_1,,,832,4445,1,119,0.001000000000000000020816681712
217,217_0,RUNNING,GenerationStep_1,,,3514,4876,43,186,0.348813103823453929397402362156
218,218_0,RUNNING,GenerationStep_1,,,1992,748,13,88,0.225432145376311232620736291210
