trial_index,arm_name,trial_status,generation_node,ACCURACY,RUNTIME,recent_samples_size,significance,gamma,max_node_size,max_tree_depth,max_time_stationary
1671,1671_0,RUNNING,SOBOL,,,1089,0.208397539749741567138840991902,0.590773672211915235052970274410,2930,732,2211
1672,1672_0,RUNNING,SOBOL,,,863,0.780038318712264255871957630006,0.498724085740745060046918979424,3852,3208,1655
1673,1673_0,RUNNING,SOBOL,,,2854,0.273356368644163016945469735219,0.531187337344512289227793644386,2473,177,4277
1674,1674_0,RUNNING,SOBOL,,,4947,0.533733537053689310880599805387,0.235154979983344669669520499156,2601,1243,3125
1675,1675_0,RUNNING,SOBOL,,,1309,0.042642007660120724577001993794,0.766123489361256404528432994994,1222,2580,345
1676,1676_0,RUNNING,SOBOL,,,2038,0.680184518225491085985368044931,0.640733009677380338509067314590,172,2144,2104
1677,1677_0,FAILED,SOBOL,,,4189,0.173285569006577128137180920930,0.360787208477035159503998329455,3505,1679,4491
1678,1678_0,FAILED,SOBOL,,,3620,0.879280269669368896856553874386,0.904065781658515366103756605298,1423,612,3144
1679,1679_0,FAILED,SOBOL,,,146,0.387979347825050335796248646147,0.125600085549056522671307334349,4756,2773,911
1680,1680_0,RUNNING,SOBOL,,,57,0.642968944508582329611101613409,0.256889917114749566362519317408,2869,1523,406
1681,1681_0,RUNNING,SOBOL,,,3690,0.151666120989248170980445706846,0.725870498221367621560773386591,811,1876,3020
1682,1682_0,RUNNING,SOBOL,,,4141,0.920514203524216978458127869089,0.009283722393214701579244874097,4117,3051,4367
1683,1683_0,RUNNING,SOBOL,,,2145,0.413620963048189904665008498341,0.976769802933558861646190507599,2060,785,1598
1684,1684_0,RUNNING,SOBOL,,,1378,0.801169625528156736926632675022,0.601696465020999271544610564888,1858,348,856
1685,1685_0,RUNNING,SOBOL,,,4858,0.310083808595314647238438965360,0.384111504428088668117169390825,4465,3487,3234
1686,1686_0,RUNNING,SOBOL,,,2961,0.508580063031986329136202584777,0.849553626935929062646835063788,610,2311,4385
1687,1687_0,RUNNING,SOBOL,,,815,0.001896207571029663238593165886,0.133448537210002549091569790107,3216,1087,2166
1688,1688_0,RUNNING,SOBOL,,,981,0.947783209208399091139085612667,0.785033354414626960426915047719,4773,1975,1471
1689,1689_0,RUNNING,SOBOL,,,2736,0.440869503883644930919416538018,0.193221407249569904207575632427,1562,1615,3850
1690,1690_0,RUNNING,SOBOL,,,4438,0.740467100372537934127592507139,0.541436303306370936283542505407,3522,439,2501
1691,1691_0,COMPLETED,SOBOL,0.709999999999999964472863211995,6734.000000000000000000000000000000,1819,0.249150478091090921139993952238,0.449119098367169511387686497983,312,2713,280
1692,1692_0,RUNNING,SOBOL,,,2312,0.606016894988715693060044031881,0.073743098558858036217777964794,1127,3149,2272
1693,1693_0,RUNNING,SOBOL,,,3914,0.099320196250453587905049346318,0.917057858992368024608765608718,2541,3,4885
1694,1694_0,RUNNING,SOBOL,,,3268,0.828499955119565090200239865226,0.317089178755879386173432976648,2378,1180,3732
1695,1695_0,RUNNING,SOBOL,,,498,0.337392717853188528476238161602,0.660923834098502971379218706716,3792,2410,965
1696,1696_0,RUNNING,SOBOL,,,376,0.847049369106069205415110445756,0.233061331525444975776295564174,419,708,4743
1697,1697_0,RUNNING,SOBOL,,,3380,0.355947842441499240351276966976,0.764440061761066269596653910412,3415,2923,2433
1698,1698_0,RUNNING,SOBOL,,,3792,0.587587373897433318248317846155,0.469706858875229948946383728980,1668,1802,1125
1699,1699_0,RUNNING,SOBOL,,,2425,0.080888771625235680873267085644,0.501605718243867126915347398608,4664,1392,3589
1700,1700_0,RUNNING,SOBOL,,,1706,0.690668224869295910295363682962,0.875032380331307702014953520120,4229,955,4021
1701,1701_0,RUNNING,SOBOL,,,4560,0.199349699053913365087709053114,0.096034640910103913347128923306,1938,2238,1319
1702,1702_0,RUNNING,SOBOL,,,2623,0.997458325263112732805836913030,0.638623190475627766637956028717,2980,3359,129
1703,1703_0,RUNNING,SOBOL,,,1104,0.490550330540165280268638525740,0.359119951620697985816832442652,689,272,2672
1704,1704_0,RUNNING,SOBOL,,,702,0.560259696984663602137288762606,0.699675224166363518563116485893,2266,2802,3386
1705,1705_0,RUNNING,SOBOL,,,3083,0.053577745057642463255564990732,0.295026059547439212238373329455,3913,582,685
1706,1706_0,RUNNING,SOBOL,,,4746,0.749613751024007846091024021007,0.938638954704627437308772641700,1014,1704,1995
1707,1707_0,RUNNING,SOBOL,,,1500,0.258522223489359048720359623985,0.035469895176589487373330911169,2662,2119,4537
1708,1708_0,RUNNING,SOBOL,,,2023,0.899962338758632518498359331716,0.408593895368278003932260844522,3711,2555,2859
1709,1709_0,COMPLETED,SOBOL,0.660000000000000031086244689504,3516.000000000000000000000000000000,4253,0.393063387680798792533920504866,0.565760510390624360432809680788,112,1268,548
1710,1710_0,RUNNING,SOBOL,,,3567,0.663400916378945160190028218494,0.169393831053748722403895499156,4963,147,1741
1711,1711_0,RUNNING,SOBOL,,,169,0.172099996393546450512701539992,0.825065703850239473560179703782,1363,3238,4206
1712,1712_0,RUNNING,SOBOL,,,173,0.899336056575179121352903166553,0.212696251027286065138355297677,2289,2680,3585
1713,1713_0,RUNNING,SOBOL,,,3572,0.392410457881167518134901683879,0.804539539581164753201392159099,4034,514,1130
1714,1714_0,RUNNING,SOBOL,,,4254,0.660281014034524549316529373755,0.460800814727321261798920204455,1040,1581,2437
1715,1715_0,RUNNING,SOBOL,,,2031,0.168945828579366214006185487051,0.553149480026215334405037538090,2785,2050,4739
1716,1716_0,RUNNING,SOBOL,,,1499,0.560459548529237516767409488239,0.928710003655403903977116897295,3611,2486,2667
1717,1717_0,COMPLETED,SOBOL,0.680000000000000048849813083507,1552.000000000000000000000000000000,4737,0.053804247936233881577372528682,0.085485846975818277626579799744,67,1145,135
1718,1718_0,RUNNING,SOBOL,,,3079,0.753160024521872362157637326163,0.680369225149974221622528602893,4860,78,1324
1719,1719_0,RUNNING,SOBOL,,,695,0.262102758739143626431911116015,0.336624816648662117390955472729,1317,3115,4016
1720,1720_0,RUNNING,SOBOL,,,1094,0.687605448991060241858974677598,0.745411088276654476558746864612,385,833,4533
1721,1721_0,RUNNING,SOBOL,,,2622,0.196260275559499847153333007554,0.276337999882176499344410558479,3283,2990,1999
1722,1722_0,RUNNING,SOBOL,,,4553,0.996774976098909970545491887606,0.988509532464668105866678615712,1636,1924,689
1723,1723_0,RUNNING,SOBOL,,,1703,0.489832715906202809108549445227,0.020931301549077033219425914012,4533,1461,3382
1724,1724_0,RUNNING,SOBOL,,,2430,0.850660383205860903821360352595,0.395819877699017497185707270546,4344,1026,4200
1725,1725_0,RUNNING,SOBOL,,,3796,0.359585507875308407754744166596,0.613375400437042084256233920314,1991,2359,1745
1726,1726_0,RUNNING,SOBOL,,,3388,0.587722544325515627861022949219,0.152957652034237973071029159655,3092,3426,553
1727,1727_0,COMPLETED,SOBOL,0.839999999999999968913755310496,6983.000000000000000000000000000000,378,0.081058203805238010497546952138,0.869033184934407509913967260218,740,396,2854
1728,1728_0,FAILED,SOBOL,,,490,0.608287793314084446194556221599,0.298876763703301573382731248785,4738,2181,1594
1729,1729_0,FAILED,SOBOL,,,3266,0.101617742192000148904185152787,0.703618078697472837390591848816,1429,1655,4371
