start_time,end_time,run_time,program_string,n_samples,n_windows,disjoint_training_windows,result,exit_code,signal,hostname,OO_Info_runtime,OO_Info_lpd
1727411849,1727411861,12,module load GCCcore/10.3.0 Python && source /data/horse/ws/s4122485-compPerfDD/benchmark/venv/bin/activate && python main_omniopt.py NOAAWeather 1000 UDetect n_samples 1000 n_windows 64 disjoint_training_windows True,1000,64,True,0.2645115100782024,0,None,i7037,8,0
1727411833,1727411861,28,module load GCCcore/10.3.0 Python && source /data/horse/ws/s4122485-compPerfDD/benchmark/venv/bin/activate && python main_omniopt.py NOAAWeather 1000 UDetect n_samples 100 n_windows 178 disjoint_training_windows True,100,178,True,0.2645115100782024,0,None,i7037,8,0
1727411827,1727411862,35,module load GCCcore/10.3.0 Python && source /data/horse/ws/s4122485-compPerfDD/benchmark/venv/bin/activate && python main_omniopt.py NOAAWeather 1000 UDetect n_samples 100 n_windows 73 disjoint_training_windows False,100,73,False,0.2815838748760877,0,None,i7037,9,0.00045877490817318445
1727411849,1727411863,14,module load GCCcore/10.3.0 Python && source /data/horse/ws/s4122485-compPerfDD/benchmark/venv/bin/activate && python main_omniopt.py NOAAWeather 1000 UDetect n_samples 643 n_windows 25 disjoint_training_windows True,643,25,True,0.2645115100782024,0,None,i7186,9,0
1727411849,1727411863,14,module load GCCcore/10.3.0 Python && source /data/horse/ws/s4122485-compPerfDD/benchmark/venv/bin/activate && python main_omniopt.py NOAAWeather 1000 UDetect n_samples 956 n_windows 192 disjoint_training_windows False,956,192,False,0.30157506333296613,0,None,i7037,10,0.001940483209475002
1727411827,1727411863,36,module load GCCcore/10.3.0 Python && source /data/horse/ws/s4122485-compPerfDD/benchmark/venv/bin/activate && python main_omniopt.py NOAAWeather 1000 UDetect n_samples 570 n_windows 25 disjoint_training_windows True,570,25,True,0.2645115100782024,0,None,i7037,10,0
1727411864,1727411875,11,module load GCCcore/10.3.0 Python && source /data/horse/ws/s4122485-compPerfDD/benchmark/venv/bin/activate && python main_omniopt.py NOAAWeather 1000 UDetect n_samples 100 n_windows 250 disjoint_training_windows True,100,250,True,0.2645115100782024,0,None,i7037,8,0
1727411864,1727411875,11,module load GCCcore/10.3.0 Python && source /data/horse/ws/s4122485-compPerfDD/benchmark/venv/bin/activate && python main_omniopt.py NOAAWeather 1000 UDetect n_samples 483 n_windows 138 disjoint_training_windows True,483,138,True,0.2645115100782024,0,None,i7037,8,0
1727411869,1727411881,12,module load GCCcore/10.3.0 Python && source /data/horse/ws/s4122485-compPerfDD/benchmark/venv/bin/activate && python main_omniopt.py NOAAWeather 1000 UDetect n_samples 313 n_windows 225 disjoint_training_windows True,313,225,True,0.2645115100782024,0,None,i7037,8,0
1727411869,1727411881,12,module load GCCcore/10.3.0 Python && source /data/horse/ws/s4122485-compPerfDD/benchmark/venv/bin/activate && python main_omniopt.py NOAAWeather 1000 UDetect n_samples 788 n_windows 59 disjoint_training_windows True,788,59,True,0.2645115100782024,0,None,i7037,8,0
1727411869,1727411881,12,module load GCCcore/10.3.0 Python && source /data/horse/ws/s4122485-compPerfDD/benchmark/venv/bin/activate && python main_omniopt.py NOAAWeather 1000 UDetect n_samples 895 n_windows 210 disjoint_training_windows True,895,210,True,0.2645115100782024,0,None,i7037,8,0
1727411869,1727411881,12,module load GCCcore/10.3.0 Python && source /data/horse/ws/s4122485-compPerfDD/benchmark/venv/bin/activate && python main_omniopt.py NOAAWeather 1000 UDetect n_samples 876 n_windows 25 disjoint_training_windows True,876,25,True,0.2645115100782024,0,None,i7037,8,0
