start_time,end_time,run_time,program_string,recent_samples_size,significance,gamma,max_node_size,max_tree_depth,max_time_stationary,ACCURACY,RUNTIME,exit_code,signal,hostname,OO_Info_SLURM_JOB_ID
1747402755,1747403205,450,module load GCCcore/10.3.0 Python && source /data/horse/ws/s4122485-compPerfDD/benchmark/venv/bin/activate && python main.py 1 1 0 PokerHand 2000 HoeffdingTreeClassifier CDLEEDS recent_samples_size 98 significance 0.24054748249426483 gamma 0.6880838141329586 max_node_size 4125 max_tree_depth 491 max_time_stationary 4519,98,0.2405474824942648,0.6880838141329586,4125,491,4519,,,1,,i7128,5077992
1747402743,1747403471,728,module load GCCcore/10.3.0 Python && source /data/horse/ws/s4122485-compPerfDD/benchmark/venv/bin/activate && python main.py 1 1 0 PokerHand 2000 HoeffdingTreeClassifier CDLEEDS recent_samples_size 411 significance 0.5384506168346852 gamma 0.381839498186484 max_node_size 3619 max_tree_depth 3198 max_time_stationary 3872,411,0.5384506168346852,0.381839498186484,3619,3198,3872,,,1,,i7131,5077979
1747402815,1747403553,738,module load GCCcore/10.3.0 Python && source /data/horse/ws/s4122485-compPerfDD/benchmark/venv/bin/activate && python main.py 1 1 0 PokerHand 2000 HoeffdingTreeClassifier CDLEEDS recent_samples_size 716 significance 0.41526278895139696 gamma 0.13440942868590355 max_node_size 2553 max_tree_depth 2506 max_time_stationary 2797,716,0.4152627889513969,0.1344094286859035,2553,2506,2797,,,1,,i7125,5078031
1747402776,1747403641,865,module load GCCcore/10.3.0 Python && source /data/horse/ws/s4122485-compPerfDD/benchmark/venv/bin/activate && python main.py 1 1 0 PokerHand 2000 HoeffdingTreeClassifier CDLEEDS recent_samples_size 2281 significance 0.11833411062508821 gamma 0.7973504681717605 max_node_size 2438 max_tree_depth 4209 max_time_stationary 3724,2281,0.1183341106250882,0.7973504681717605,2438,4209,3724,,,1,,i7127,5078007
1747402943,1747403651,708,module load GCCcore/10.3.0 Python && source /data/horse/ws/s4122485-compPerfDD/benchmark/venv/bin/activate && python main.py 1 1 0 PokerHand 2000 HoeffdingTreeClassifier CDLEEDS recent_samples_size 300 significance 0.894214166322723 gamma 0.23339112993329764 max_node_size 983 max_tree_depth 4363 max_time_stationary 2440,300,0.894214166322723,0.2333911299332976,983,4363,2440,,,1,,i7121,5078086
1747402785,1747403700,915,module load GCCcore/10.3.0 Python && source /data/horse/ws/s4122485-compPerfDD/benchmark/venv/bin/activate && python main.py 1 1 0 PokerHand 2000 HoeffdingTreeClassifier CDLEEDS recent_samples_size 2860 significance 0.17652393194846808 gamma 0.3101018336117268 max_node_size 4997 max_tree_depth 2483 max_time_stationary 497,2860,0.176523931948468,0.3101018336117268,4997,2483,497,,,1,,i7123,5078022
1747402755,1747403761,1006,module load GCCcore/10.3.0 Python && source /data/horse/ws/s4122485-compPerfDD/benchmark/venv/bin/activate && python main.py 1 1 0 PokerHand 2000 HoeffdingTreeClassifier CDLEEDS recent_samples_size 2571 significance 0.6000299108363688 gamma 0.6199933224376291 max_node_size 2925 max_tree_depth 3862 max_time_stationary 1095,2571,0.6000299108363688,0.6199933224376291,2925,3862,1095,,,1,,i7131,5077988
1747402944,1747403859,915,module load GCCcore/10.3.0 Python && source /data/horse/ws/s4122485-compPerfDD/benchmark/venv/bin/activate && python main.py 1 1 0 PokerHand 2000 HoeffdingTreeClassifier CDLEEDS recent_samples_size 2489 significance 0.7746806133221835 gamma 0.2812650112006813 max_node_size 3081 max_tree_depth 337 max_time_stationary 725,2489,0.7746806133221835,0.2812650112006813,3081,337,725,,,1,,i7119,5078115
1747402906,1747403869,963,module load GCCcore/10.3.0 Python && source /data/horse/ws/s4122485-compPerfDD/benchmark/venv/bin/activate && python main.py 1 1 0 PokerHand 2000 HoeffdingTreeClassifier CDLEEDS recent_samples_size 2160 significance 0.44875745945051315 gamma 0.5873798868395388 max_node_size 4841 max_tree_depth 3351 max_time_stationary 87,2160,0.4487574594505131,0.5873798868395388,4841,3351,87,,,1,,i7124,5078061
1747402877,1747403936,1059,module load GCCcore/10.3.0 Python && source /data/horse/ws/s4122485-compPerfDD/benchmark/venv/bin/activate && python main.py 1 1 0 PokerHand 2000 HoeffdingTreeClassifier CDLEEDS recent_samples_size 2661 significance 0.25738681382872164 gamma 0.08441783431358635 max_node_size 2281 max_tree_depth 78 max_time_stationary 3199,2661,0.2573868138287216,0.0844178343135863,2281,78,3199,,,1,,i7152,5078044
