start_time,end_time,run_time,program_string,recent_samples_size,n_samples,k_neighbors,n_permutations,significance_level,ACCURACY,RUNTIME,exit_code,signal,hostname,OO_Info_SLURM_JOB_ID,OO_Info_runtime,OO_Info_peak_memory,OO_Info_mean_memory,OO_Info_lpd,REQLABELS
1747777996,1747778009,13,module load GCCcore/10.3.0 Python && source /data/horse/ws/s4122485-compPerfDD/benchmark/venv/bin/activate && python /data/horse/ws/s4122485-compPerfDD/benchmark/dfki/benchmarkdd/main.py 1 1 0 GasSensor 2000 HoeffdingTreeClassifier NNDVI recent_samples_size 83 n_samples 1617 k_neighbors 22 n_permutations 382 significance_level 0.7294448971766978,83,1617,22,382,0.7294448971766978,,,1,,i7136,5177674,,,,,
1747779341,1747779354,13,module load GCCcore/10.3.0 Python && source /data/horse/ws/s4122485-compPerfDD/benchmark/venv/bin/activate && python /data/horse/ws/s4122485-compPerfDD/benchmark/dfki/benchmarkdd/main.py 1 1 0 GasSensor 2000 HoeffdingTreeClassifier NNDVI recent_samples_size 3718 n_samples 2502 k_neighbors 71 n_permutations 599 significance_level 0.4140179725624621,3718,2502,71,599,0.4140179725624621,,,1,,i7169,5177696,,,,,
1747779883,1747779896,13,module load GCCcore/10.3.0 Python && source /data/horse/ws/s4122485-compPerfDD/benchmark/venv/bin/activate && python /data/horse/ws/s4122485-compPerfDD/benchmark/dfki/benchmarkdd/main.py 1 1 0 GasSensor 2000 HoeffdingTreeClassifier NNDVI recent_samples_size 4052 n_samples 72 k_neighbors 31 n_permutations 233 significance_level 0.10654238524660468,4052,72,31,233,0.1065423852466046,,,1,,i7146,5177720,,,,,
1747780154,1747780167,13,module load GCCcore/10.3.0 Python && source /data/horse/ws/s4122485-compPerfDD/benchmark/venv/bin/activate && python /data/horse/ws/s4122485-compPerfDD/benchmark/dfki/benchmarkdd/main.py 1 1 0 GasSensor 2000 HoeffdingTreeClassifier NNDVI recent_samples_size 2286 n_samples 4092 k_neighbors 81 n_permutations 766 significance_level 0.7815467736218125,2286,4092,81,766,0.7815467736218125,,,1,,i7164,5177741,,,,,
1747780456,1747780469,13,module load GCCcore/10.3.0 Python && source /data/horse/ws/s4122485-compPerfDD/benchmark/venv/bin/activate && python /data/horse/ws/s4122485-compPerfDD/benchmark/dfki/benchmarkdd/main.py 1 1 0 GasSensor 2000 HoeffdingTreeClassifier NNDVI recent_samples_size 1807 n_samples 1246 k_neighbors 55 n_permutations 925 significance_level 0.9926473412159831,1807,1246,55,925,0.9926473412159832,,,1,,i7164,5177766,,,,,
1747781839,1747781846,7,module load GCCcore/10.3.0 Python && source /data/horse/ws/s4122485-compPerfDD/benchmark/venv/bin/activate && python /data/horse/ws/s4122485-compPerfDD/benchmark/dfki/benchmarkdd/main.py 1 1 0 GasSensor 2000 HoeffdingTreeClassifier NNDVI recent_samples_size 4510 n_samples 4631 k_neighbors 7 n_permutations 80 significance_level 0.17819738830253481,4510,4631,7,80,0.1781973883025348,,,1,,i7183,5177819,,,,,
1747782652,1747782665,13,module load GCCcore/10.3.0 Python && source /data/horse/ws/s4122485-compPerfDD/benchmark/venv/bin/activate && python /data/horse/ws/s4122485-compPerfDD/benchmark/dfki/benchmarkdd/main.py 1 1 0 GasSensor 2000 HoeffdingTreeClassifier NNDVI recent_samples_size 2966 n_samples 2162 k_neighbors 97 n_permutations 712 significance_level 0.37365778123214843,2966,2162,97,712,0.3736577812321484,,,1,,i7167,5177841,,,,,
1747783796,1747783809,13,module load GCCcore/10.3.0 Python && source /data/horse/ws/s4122485-compPerfDD/benchmark/venv/bin/activate && python /data/horse/ws/s4122485-compPerfDD/benchmark/dfki/benchmarkdd/main.py 1 1 0 GasSensor 2000 HoeffdingTreeClassifier NNDVI recent_samples_size 894 n_samples 3682 k_neighbors 46 n_permutations 308 significance_level 0.5496700737345964,894,3682,46,308,0.5496700737345964,,,1,,i7103,5177864,,,,,
1747784790,1747784803,13,module load GCCcore/10.3.0 Python && source /data/horse/ws/s4122485-compPerfDD/benchmark/venv/bin/activate && python /data/horse/ws/s4122485-compPerfDD/benchmark/dfki/benchmarkdd/main.py 1 1 0 GasSensor 2000 HoeffdingTreeClassifier NNDVI recent_samples_size 702 n_samples 1904 k_neighbors 74 n_permutations 857 significance_level 0.0015651636868715287,702,1904,74,857,0.0015651636868715,,,1,,i7011,5177886,,,,,
1747789155,1747789162,7,module load GCCcore/10.3.0 Python && source /data/horse/ws/s4122485-compPerfDD/benchmark/venv/bin/activate && python /data/horse/ws/s4122485-compPerfDD/benchmark/dfki/benchmarkdd/main.py 1 1 0 GasSensor 2000 HoeffdingTreeClassifier NNDVI recent_samples_size 2999 n_samples 3509 k_neighbors 23 n_permutations 140 significance_level 0.8238119469862432,2999,3509,23,140,0.8238119469862432,,,1,,i7182,5177938,,,,,
1747792195,1747792202,7,module load GCCcore/10.3.0 Python && source /data/horse/ws/s4122485-compPerfDD/benchmark/venv/bin/activate && python /data/horse/ws/s4122485-compPerfDD/benchmark/dfki/benchmarkdd/main.py 1 1 0 GasSensor 2000 HoeffdingTreeClassifier NNDVI recent_samples_size 4546 n_samples 940 k_neighbors 76 n_permutations 508 significance_level 0.6322534863259643,4546,940,76,508,0.6322534863259643,,,1,,i7178,5177983,,,,,
1747793971,1747793990,19,module load GCCcore/10.3.0 Python && source /data/horse/ws/s4122485-compPerfDD/benchmark/venv/bin/activate && python /data/horse/ws/s4122485-compPerfDD/benchmark/dfki/benchmarkdd/main.py 1 1 0 GasSensor 2000 HoeffdingTreeClassifier NNDVI recent_samples_size 1618 n_samples 4430 k_neighbors 27 n_permutations 475 significance_level 0.4484442742094398,1618,4430,27,475,0.4484442742094398,,,1,,i7179,5178014,,,,,
