start_time,end_time,run_time,program_string,recent_samples_size,feature_id,threshold,window_size,ACCURACY,RUNTIME,exit_code,signal,hostname,OO_Info_runtime,OO_Info_peak_memory,OO_Info_mean_memory,OO_Info_lpd,REQLABELS,OO_Info_SLURM_JOB_ID
1747241893,1747241925,32,module load GCCcore/10.3.0 Python && source /data/horse/ws/s4122485-compPerfDD/benchmark/venv/bin/activate && python /data/horse/ws/s4122485-compPerfDD/benchmark/dfki/benchmarkdd/main.py 1 1 0 GasSensor 2000 HoeffdingTreeClassifier IKS recent_samples_size 4569 feature_id 17 threshold 0.910313629893586 window_size 3754,4569,17,0.910313629893586,3754,0.17,14.0,0,,i7184,14.0,789.96875,789.931640625,-1.0,0.0,5034855
1747242031,1747242057,26,module load GCCcore/10.3.0 Python && source /data/horse/ws/s4122485-compPerfDD/benchmark/venv/bin/activate && python /data/horse/ws/s4122485-compPerfDD/benchmark/dfki/benchmarkdd/main.py 1 1 0 GasSensor 2000 HoeffdingTreeClassifier IKS recent_samples_size 1295 feature_id 50 threshold 0.5361191288754344 window_size 3214,1295,50,0.5361191288754344,3214,0.17,13.0,0,,i7178,13.0,790.13671875,790.1142578125,-1.0,0.0,5034886
1747242125,1747242157,32,module load GCCcore/10.3.0 Python && source /data/horse/ws/s4122485-compPerfDD/benchmark/venv/bin/activate && python /data/horse/ws/s4122485-compPerfDD/benchmark/dfki/benchmarkdd/main.py 1 1 0 GasSensor 2000 HoeffdingTreeClassifier IKS recent_samples_size 1381 feature_id 105 threshold 0.9419520183410496 window_size 4622,1381,105,0.9419520183410496,4622,0.17,14.0,0,,i7178,14.0,791.42578125,791.404296875,-1.0,0.0,5034896
1747242280,1747242305,25,module load GCCcore/10.3.0 Python && source /data/horse/ws/s4122485-compPerfDD/benchmark/venv/bin/activate && python /data/horse/ws/s4122485-compPerfDD/benchmark/dfki/benchmarkdd/main.py 1 1 0 GasSensor 2000 HoeffdingTreeClassifier IKS recent_samples_size 4632 feature_id 74 threshold 0.567707073673606 window_size 2660,4632,74,0.567707073673606,2660,0.17,14.0,0,,i7180,14.0,790.56640625,790.52734375,-1.0,0.0,5034926
1747241825,1747242337,512,module load GCCcore/10.3.0 Python && source /data/horse/ws/s4122485-compPerfDD/benchmark/venv/bin/activate && python /data/horse/ws/s4122485-compPerfDD/benchmark/dfki/benchmarkdd/main.py 1 1 0 GasSensor 2000 HoeffdingTreeClassifier IKS recent_samples_size 1055 feature_id 110 threshold 0.4299080381058156 window_size 1513,1055,110,0.4299080381058156,1513,0.15,485.0,0,,i7181,485.0,791.37109375,791.2984068627451,-1.0,0.2805205709487825,5034841
1747242188,1747242397,209,module load GCCcore/10.3.0 Python && source /data/horse/ws/s4122485-compPerfDD/benchmark/venv/bin/activate && python /data/horse/ws/s4122485-compPerfDD/benchmark/dfki/benchmarkdd/main.py 1 1 0 GasSensor 2000 HoeffdingTreeClassifier IKS recent_samples_size 3022 feature_id 22 threshold 0.4613927087523043 window_size 1910,3022,22,0.4613927087523043,1910,0.18,197.0,0,,i7180,197.0,791.3359375,790.8178267045455,-1.0,0.2838790931989924,5034912
1747241746,1747242499,753,module load GCCcore/10.3.0 Python && source /data/horse/ws/s4122485-compPerfDD/benchmark/venv/bin/activate && python /data/horse/ws/s4122485-compPerfDD/benchmark/dfki/benchmarkdd/main.py 1 1 0 GasSensor 2000 HoeffdingTreeClassifier IKS recent_samples_size 191 feature_id 1 threshold 0.14941751204244794 window_size 2500,191,1,0.1494175120424479,2500,0.24,727.0,0,,i7183,727.0,790.1640625,763.9907291666667,-1.0,0.6488664987405541,5034830
1747241234,1747242509,1275,module load GCCcore/10.3.0 Python && source /data/horse/ws/s4122485-compPerfDD/benchmark/venv/bin/activate && python /data/horse/ws/s4122485-compPerfDD/benchmark/dfki/benchmarkdd/main.py 1 1 0 GasSensor 2000 HoeffdingTreeClassifier IKS recent_samples_size 536 feature_id 71 threshold 0.7013933698832989 window_size 55,536,71,0.7013933698832989,55,0.1,1258.0,0,,i7184,1258.0,790.0078125,785.8137817382812,-1.0,0.9060453400503778,5034746
1747239548,1747242694,3146,module load GCCcore/10.3.0 Python && source /data/horse/ws/s4122485-compPerfDD/benchmark/venv/bin/activate && python /data/horse/ws/s4122485-compPerfDD/benchmark/dfki/benchmarkdd/main.py 1 1 0 GasSensor 2000 HoeffdingTreeClassifier IKS recent_samples_size 4776 feature_id 70 threshold 0.19981883094087244 window_size 3998,4776,70,0.1998188309408724,3998,0.22,3134.0,0,,i7185,3134.0,715.8359375,653.4294155458861,-1.0,0.6587741393786734,5034410
1747240971,1747243927,2956,module load GCCcore/10.3.0 Python && source /data/horse/ws/s4122485-compPerfDD/benchmark/venv/bin/activate && python /data/horse/ws/s4122485-compPerfDD/benchmark/dfki/benchmarkdd/main.py 1 1 0 GasSensor 2000 HoeffdingTreeClassifier IKS recent_samples_size 1573 feature_id 116 threshold 0.11394815745018423 window_size 4253,1573,116,0.1139481574501842,4253,0.27,2943.0,0,,i7182,2943.0,790.01953125,788.4062894570707,-1.0,0.4586901763224181,5034697
1747239842,1747244565,4723,module load GCCcore/10.3.0 Python && source /data/horse/ws/s4122485-compPerfDD/benchmark/venv/bin/activate && python /data/horse/ws/s4122485-compPerfDD/benchmark/dfki/benchmarkdd/main.py 1 1 0 GasSensor 2000 HoeffdingTreeClassifier IKS recent_samples_size 1140 feature_id 127 threshold 0.12575299286097288 window_size 1188,1140,127,0.1257529928609728,1188,0.2,4705.0,0,,i7176,4705.0,797.88671875,792.7152897066596,-1.0,0.8736356003358522,5034468
1747240287,1747244782,4495,module load GCCcore/10.3.0 Python && source /data/horse/ws/s4122485-compPerfDD/benchmark/venv/bin/activate && python /data/horse/ws/s4122485-compPerfDD/benchmark/dfki/benchmarkdd/main.py 1 1 0 GasSensor 2000 HoeffdingTreeClassifier IKS recent_samples_size 4234 feature_id 4 threshold 0.3798349421806633 window_size 1235,4234,4,0.3798349421806633,1235,0.28,4477.0,0,,i7181,4477.0,794.546875,739.9984895833334,-1.0,0.7401343408900084,5034575
1747241569,1747245516,3947,module load GCCcore/10.3.0 Python && source /data/horse/ws/s4122485-compPerfDD/benchmark/venv/bin/activate && python /data/horse/ws/s4122485-compPerfDD/benchmark/dfki/benchmarkdd/main.py 1 1 0 GasSensor 2000 HoeffdingTreeClassifier IKS recent_samples_size 3166 feature_id 34 threshold 0.27416126514226197 window_size 535,3166,34,0.2741612651422619,535,0.21,3934.0,0,,i7180,3934.0,791.78125,758.3718730271464,-1.0,1.0,5034806
