trial_index,arm_name,trial_status,generation_node,ACCURACY,RUNTIME,REQLABELS,recent_samples_size,significance,gamma,max_node_size,max_tree_depth,max_time_stationary
137,137_0,FAILED,SOBOL,,,,4003,0.987614430950954580445966257685,0.763019099703058589767579178442,3854,3606,4681
138,138_0,FAILED,SOBOL,,,,2942,0.099847951034083962107423815269,0.426526287380605939603128717863,915,4377,3593
139,139_0,FAILED,SOBOL,,,,594,0.598668078230693900820824637776,0.637539194820448740230744988366,3637,1157,1255
140,140_0,FAILED,SOBOL,,,,1080,0.159481877967715263144654613825,0.943460249250754667826868171687,2779,602,712
141,141_0,FAILED,SOBOL,,,,3745,0.658667461372911877681701753318,0.249040110301226386146922209264,523,3865,4136
142,142_0,FAILED,SOBOL,,,,4489,0.301119198247790320621675164148,0.569940369768068166855812251015,4714,3075,2734
143,143_0,FAILED,SOBOL,,,,2134,0.799819380499422583064017544530,0.373547554720193131228000993360,1986,1373,2425
144,144_0,FAILED,SOBOL,,,,1986,0.255665424296632415313013098057,0.794857673371210715629331389209,3153,4699,4279
145,145_0,FAILED,SOBOL,,,,4636,0.754485521750524634754242470080,0.023453859515488149206641210753,1047,853,877
146,146_0,FAILED,SOBOL,,,,3578,0.145365983197465548082405462083,0.669864827798679507431245383486,4337,2250,2278
147,147_0,FAILED,SOBOL,,,,1248,0.644675288872793350591905436886,0.398433749526739100499383994247,1465,3282,2564
148,148_0,FAILED,SOBOL,,,,449,0.082686403825879092877038090137,0.217201782010495669794636341976,2479,2773,4514
149,149_0,FAILED,SOBOL,,,,3088,0.581386615820229102347127536632,0.972040091792121474512100576248,4572,1697,328
150,150_0,FAILED,SOBOL,,,,3838,0.440292973831295952891196066048,0.341221676364541037784761101648,30,280,1417
151,151_0,FAILED,SOBOL,,,,1496,0.939478586979210383844929310726,0.598032662244513679716817478038,2920,4170,3738
152,152_0,FAILED,SOBOL,,,,1813,0.240636404855176816441897358345,0.299750493215396984769682831029,4898,989,2896
153,153_0,FAILED,SOBOL,,,,4145,0.739450851192697933278452637751,0.510764380306005461029883463198,2154,4562,1952
154,154_0,FAILED,SOBOL,,,,2779,0.348499322516843679231612895819,0.174757461750879888873200229682,2615,3458,1165
155,155_0,FAILED,SOBOL,,,,131,0.847799170007929259185175396851,0.885744024939835061793758086424,336,2074,3994
156,156_0,FAILED,SOBOL,,,,929,0.409838834445923561045077576637,0.688918567672371917609552838258,728,1560,3284
157,157_0,FAILED,SOBOL,,,,3270,0.908529469285160318214877861465,0.492526676507666683058062062628,3473,2910,1874
158,158_0,FAILED,SOBOL,,,,4943,0.049795741003006696590027502225,0.812938186906278170695827611780,1764,3994,151
159,159_0,FAILED,SOBOL,,,,2303,0.548975584063678967439159350761,0.118519031325355170269908455793,4037,456,4696
160,160_0,FAILED,SOBOL,,,,2258,0.383892978174611931851956114770,0.418859922496601921881875796316,2838,2515,3915
161,161_0,FAILED,SOBOL,,,,4910,0.882593093505129266951314548351,0.645449449989944690209142663662,112,1796,1243
162,162_0,FAILED,SOBOL,,,,3146,0.026044659359380602919875613566,0.044364950319752100016401641369,4652,67,2030
163,163_0,FAILED,SOBOL,,,,819,0.525230175843462321338961373840,0.770931020464748151255207631039,2399,4225,2817
164,164_0,FAILED,SOBOL,,,,16,0.217616230051964509861761598586,0.593446278471499666373745185410,1539,4956,4774
165,165_0,FAILED,SOBOL,,,,2661,0.716436424169689445307085406967,0.350285536302253619478364043971,4263,754,73
166,166_0,FAILED,SOBOL,,,,4107,0.327670115273445861081569319140,0.966964016478508714413919733488,971,2463,1796
167,167_0,FAILED,SOBOL,,,,1772,0.826979517612606240817285652156,0.225779757475480430395364805918,3230,3227,3363
168,168_0,FAILED,SOBOL,,,,1465,0.118394037554040557069789940670,0.921748712202534070669912580342,3957,1308,2643
169,169_0,FAILED,SOBOL,,,,3791,0.617084813671186616090835741488,0.134763554777950045338030804487,1844,3004,2199
170,170_0,FAILED,SOBOL,,,,2979,0.477704270431771882421401187457,0.547254000274464469377733166766,3555,3776,799
171,171_0,FAILED,SOBOL,,,,324,0.976884254770353455121778551984,0.260245326016098288413047612266,645,516,4357
172,172_0,FAILED,SOBOL,,,,1127,0.296244292452931379244773779646,0.067166618388146165363750128563,412,1242,3660
173,173_0,FAILED,SOBOL,,,,3464,0.795058597512543152596720119618,0.868768061136826919010900383000,2538,4468,1496
174,174_0,FAILED,SOBOL,,,,4594,0.187652321293950069547307180073,0.440684586901217700827260159713,2080,3676,406
175,175_0,FAILED,SOBOL,,,,1951,0.686952027507126361527411972929,0.744262572301551683651155144616,4972,2014,4436
176,176_0,FAILED,SOBOL,,,,2096,0.134761440256610520727065249957,0.167089191474020487548912683451,1138,4099,1333
177,177_0,FAILED,SOBOL,,,,4449,0.633941216396167850355425343878,0.893656185502186395375190386403,3413,215,3514
178,178_0,FAILED,SOBOL,,,,3629,0.274207792976871145285144848458,0.292083888530731194954626062099,1351,1611,4603
179,179_0,FAILED,SOBOL,,,,962,0.772898360894992975111961186485,0.518674399392679341680434390582,4099,2683,556
180,180_0,FAILED,SOBOL,,,,472,0.468459520861506439892707476247,0.836442193934693878354380558449,4488,3373,2347
181,181_0,FAILED,SOBOL,,,,2831,0.967759435273706891678102692822,0.095258914582431311601773415987,2212,2335,2812
182,182_0,FAILED,SOBOL,,,,3958,0.077807601734995845976783357401,0.712424240292981236777336562227,3022,920,4214
183,183_0,FAILED,SOBOL,,,,1298,0.576622114993631806889595736720,0.469264418289065343703470034598,280,4769,634
184,184_0,FAILED,SOBOL,,,,1605,0.368987043393775804300815934766,0.677774841308593778421709430404,1906,391,216
185,185_0,FAILED,SOBOL,,,,4275,0.868172708591446240511402265838,0.390767150418832920344414105784,4794,3923,4939
186,186_0,FAILED,SOBOL,,,,2513,0.228078776611015193731546446543,0.802769828356802439550676808722,605,2820,3215
187,187_0,FAILED,SOBOL,,,,163,0.726779040655121222336276787246,0.015785594815388322847971025453,2696,1474,1627
188,188_0,FAILED,SOBOL,,,,654,0.046862410079687832897832322487,0.317959423722699308090255954085,3713,2159,1077
189,189_0,FAILED,SOBOL,,,,3311,0.546171663705259602394903595268,0.621538329288363500246816784056,839,3549,3766
190,190_0,FAILED,SOBOL,,,,4765,0.436052415143698468558142167240,0.193941670844331393031012567008,3780,4632,2980
191,191_0,FAILED,SOBOL,,,,2403,0.934872460547834682742518452869,0.995544093243777794555171567481,1671,1056,2176
