trial_index,arm_name,trial_status,generation_node,ACCURACY,RUNTIME,REQLABELS,recent_samples_size,batch_size,gamma,alpha,use_mmd2,use_k2s_test
372,372_0,RUNNING,SOBOL,,,,4976,693,0.279844159414991744405654117145,0.044254082824103535553916799472,True,True
373,373_0,COMPLETED,SOBOL,0.579999999999999960031971113494,40.000000000000000000000000000000,0.000000000000000000000000000000,1965,4030,8.378309807808138387485996645410,0.016319630431011322019285714191,False,False
374,374_0,RUNNING,SOBOL,,,,2304,1570,1.097209458665922232611933395674,0.010907174209598453559766362275,True,False
375,375_0,RUNNING,SOBOL,,,,4681,3702,8.019042643670923453669274749700,0.026466438328381629296881527580,False,True
376,376_0,RUNNING,SOBOL,,,,2781,353,4.046351706656627911229406890925,0.015940860047005116217899711728,False,True
377,377_0,RUNNING,SOBOL,,,,392,4984,7.140616117708385779394575365586,0.049277349172160034296297226319,True,False
378,378_0,RUNNING,SOBOL,,,,843,1123,9.416063107565976864066215057392,0.041529907916672527401491521459,True,False
379,379_0,FAILED,SOBOL,,,,3466,4146,1.263710712766274779639275038789,0.020544320233166220301956883532,False,True
380,380_0,RUNNING,SOBOL,,,,4073,2408,5.412775649432093771906693291385,0.034187058885116132500581187514,False,True
381,381_0,RUNNING,SOBOL,,,,1462,2932,3.588088892928324558084796080948,0.006228556062560529349436677649,True,False
382,382_0,COMPLETED,SOBOL,0.630000000000000004440892098501,52.000000000000000000000000000000,0.040000000000000000832667268469,1504,1055,2.061805177873931693710574108991,0.017391978797968478398505709492,False,False
383,383_0,RUNNING,SOBOL,,,,4193,4236,8.969153554517776072430024214555,0.044734268473926933062934097052,True,True
384,384_0,RUNNING,SOBOL,,,,3581,2338,3.096637704422697368045191979036,0.009266088893637062368080492547,True,True
385,385_0,COMPLETED,SOBOL,0.579999999999999960031971113494,38.000000000000000000000000000000,0.000000000000000000000000000000,880,3019,6.176074055940844687029311899096,0.031206271580420434641478522053,False,False
386,386_0,COMPLETED,SOBOL,0.579999999999999960031971113494,40.000000000000000000000000000000,0.000000000000000000000000000000,355,1814,8.510800150789320284161476592999,0.035835720628499989626192245851,False,False
387,387_0,RUNNING,SOBOL,,,,2666,3476,0.334217408019118034090411129000,0.001496441227383911659956639006,True,True
388,388_0,RUNNING,SOBOL,,,,4561,599,6.342828008462675803968977561453,0.040083297330420465665046236836,True,True
389,389_0,COMPLETED,SOBOL,0.579999999999999960031971113494,36.000000000000000000000000000000,0.000000000000000000000000000000,2262,4760,4.493567578317597899228985625086,0.025091767844278366900168109055,False,False
390,390_0,RUNNING,SOBOL,,,,1928,2143,7.243736359433271765340123238275,0.005754412893205881202041140909,True,False
391,391_0,RUNNING,SOBOL,,,,4862,2511,4.071354667758569689794967416674,0.033120752998627725482982953054,False,True
392,392_0,RUNNING,SOBOL,,,,2991,939,7.614401110772043956842480838532,0.019283899753820152311867275330,False,True
393,393_0,COMPLETED,SOBOL,0.650000000000000022204460492503,849.000000000000000000000000000000,0.429999999999999993338661852249,65,3806,0.770685057393275196879756094859,0.041248368904460222528207680170,True,False
394,394_0,RUNNING,SOBOL,,,,1180,91,3.299440442638471804315258850693,0.048996937224175786396163090330,True,False
395,395_0,RUNNING,SOBOL,,,,3247,4566,5.202244330768474256387889909092,0.014681566631887108670406760780,False,True
396,396_0,RUNNING,SOBOL,,,,3903,1383,1.873409900101832947783009331033,0.025399748886004092779389296197,False,True
397,397_0,RUNNING,SOBOL,,,,1829,3358,9.947645014278590380740752152633,0.010432647484354675912476828614,True,False
398,398_0,RUNNING,SOBOL,,,,1578,1512,3.888085761505179149821742612403,0.038330593193881212776830125222,False,True
399,399_0,RUNNING,SOBOL,,,,3957,3135,6.987058468617499684683025407139,0.022203088628128173770415187960,True,False
400,400_0,COMPLETED,SOBOL,0.640000000000000013322676295502,2522.000000000000000000000000000000,0.100000000000000005551115123126,3348,295,0.939379775883629974941868567839,0.036404100252781068647323081677,True,False
401,401_0,RUNNING,SOBOL,,,,962,4417,7.866269313265569884663364064181,0.002475694955792278294237629410,False,True
402,402_0,RUNNING,SOBOL,,,,275,712,5.570606524188072228298551635817,0.007126666836906225127590275292,False,True
403,403_0,RUNNING,SOBOL,,,,2896,3932,3.740863415307365436035524908220,0.028704310468863698108110682483,True,False
404,404_0,RUNNING,SOBOL,,,,4800,1998,9.574330244691111602151067927480,0.017573638842441143687045368438,True,False
405,405_0,RUNNING,SOBOL,,,,2186,2718,1.417269553830847073072618513834,0.046100241597741842269897460938,False,True
406,406_0,RUNNING,SOBOL,,,,2472,412,9.303242909912951219553178816568,0.028312593598384411947010974586,True,True
407,407_0,COMPLETED,SOBOL,0.579999999999999960031971113494,36.000000000000000000000000000000,0.000000000000000000000000000000,4471,4848,2.479063361125066755619172909064,0.012161180223803969013829373580,False,False
408,408_0,COMPLETED,SOBOL,0.579999999999999960031971113494,45.000000000000000000000000000000,0.000000000000000000000000000000,2601,1707,5.846946812503040824537947628414,0.048041854892857373260373066159,False,False
409,409_0,RUNNING,SOBOL,,,,615,3643,2.694106430563144360945670996443,0.014089021511375905346130643636,True,True
410,410_0,FAILED,SOBOL,,,,3921,2131,8.795535025537013495977589627728,0.033604829758405688200362249063,False,True
411,411_0,FAILED,SOBOL,,,,1249,2951,4.316313324723393130000204109820,0.015049447901081295167480256225,True,False
412,412_0,FAILED,SOBOL,,,,2176,413,7.296350748428144683543905557599,0.041792588702868671557411062167,True,False
413,413_0,FAILED,SOBOL,,,,2974,4670,2.093932249080389773610022530193,0.010849390869494528882865935770,False,True
414,414_0,FAILED,SOBOL,,,,3689,741,3.653466572975740067619199180626,0.005137886678334325704642360222,False,True
415,415_0,FAILED,SOBOL,,,,1476,4374,8.235226720607839112631154421251,0.048446926377248018813492791423,True,False
416,416_0,COMPLETED,SOBOL,0.680000000000000048849813083507,531.000000000000000000000000000000,0.400000000000000022204460492503,529,1835,0.251984530938789252907383797719,0.020854527927469463516318981533,True,False
417,417_0,FAILED,SOBOL,,,,4617,3280,5.361648368670605790953231917229,0.027049922724720093514250152111,False,True
418,418_0,FAILED,SOBOL,,,,4953,256,0.687484390802681533116924583737,0.045734364269766958344121121627,True,True
419,419_0,COMPLETED,SOBOL,0.579999999999999960031971113494,37.000000000000000000000000000000,0.000000000000000000000000000000,211,4826,6.201770885412582146045679110102,0.002430515114683657815208839281,False,False
420,420_0,COMPLETED,SOBOL,0.579999999999999960031971113494,45.000000000000000000000000000000,0.000000000000000000000000000000,1764,2287,2.910456536397338034305448672967,0.029752182115335017859036881305,False,False
421,421_0,FAILED,SOBOL,,,,3381,2795,7.702766953212210054857678187545,0.023560471667442472315512347336,True,True
422,422_0,FAILED,SOBOL,,,,2695,1368,6.766980688574724567274643050041,0.016978844387922437109139650602,True,True
423,423_0,COMPLETED,SOBOL,0.599999999999999977795539507497,77.000000000000000000000000000000,0.119999999999999995559107901499,2474,3750,1.345467927159741394760317234613,0.035536396701354534821692965352,False,False
424,424_0,COMPLETED,SOBOL,0.579999999999999960031971113494,50.000000000000000000000000000000,0.000000000000000000000000000000,902,1212,9.642332548360339927739914855920,0.008912358854431659538342103133,False,False
425,425_0,FAILED,SOBOL,,,,4248,3907,4.747502895990387550284594908589,0.039856219796929513721206461696,True,True
426,426_0,COMPLETED,SOBOL,0.579999999999999960031971113494,42.000000000000000000000000000000,0.000000000000000000000000000000,4200,1091,5.742288701227867164789131493308,0.020318309233989566980893570758,False,False
427,427_0,FAILED,SOBOL,,,,632,4020,1.160525871654972451807452671346,0.026498671959619971710830910183,True,True
428,428_0,FAILED,SOBOL,,,,2204,1560,7.854815544991755160708635230549,0.005290487523656338744726390644,True,True
429,429_0,COMPLETED,SOBOL,0.579999999999999960031971113494,32.000000000000000000000000000000,0.000000000000000000000000000000,2647,3551,2.745153793213888970825564683764,0.048608711542095991986478509261,False,False
430,430_0,COMPLETED,SOBOL,0.579999999999999960031971113494,49.000000000000000000000000000000,0.040000000000000000832667268469,3192,2486,1.811014836210757428247575262503,0.042790985973086212434957076312,False,False
431,431_0,FAILED,SOBOL,,,,1645,2603,6.290239358649589718197603360750,0.011856920089107008189910352769,True,True
432,432_0,COMPLETED,SOBOL,0.790000000000000035527136788005,2938.000000000000000000000000000000,0.959999999999999964472863211995,92,143,4.599154153283685708686334692175,0.032222467641811816663199863342,True,True
433,433_0,COMPLETED,SOBOL,0.579999999999999960031971113494,38.000000000000000000000000000000,0.000000000000000000000000000000,4764,4947,9.801570566677488827167508134153,0.013652093128766865787193651727,False,False
434,434_0,FAILED,SOBOL,,,,4418,1716,3.839590768383815966302563538193,0.007602679426316172675570648209,True,False
435,435_0,FAILED,SOBOL,,,,420,3396,9.261101443844847125319574843161,0.038531554766464977401785318989,False,True
436,436_0,FAILED,SOBOL,,,,1367,936,2.253150897825136667051992844790,0.017904905967880042211293201149,False,True
437,437_0,FAILED,SOBOL,,,,3490,4177,7.147983232135885600655456073582,0.036471596131566912102339728108,True,False
438,438_0,FAILED,SOBOL,,,,2936,610,8.708249427874571679808468616102,0.029977118650916966674513375324,True,False
439,439_0,FAILED,SOBOL,,,,1897,4476,3.193965019218623524466238450259,0.023794586621690542310725291486,False,True
440,440_0,FAILED,SOBOL,,,,970,2015,5.196364995059558289369761041598,0.045125461735296995557931154508,False,True
441,441_0,COMPLETED,SOBOL,0.670000000000000039968028886506,486.000000000000000000000000000000,0.460000000000000019984014443253,3883,3070,0.404051896303892155160042420903,0.001806574607733637096232404140,True,False
442,442_0,COMPLETED,SOBOL,0.579999999999999960031971113494,82.000000000000000000000000000000,0.000000000000000000000000000000,3813,373,2.979943508478812841389071763842,0.013423014742787928860190405089,False,False
443,443_0,FAILED,SOBOL,,,,1024,4552,7.620903345854953769844541966449,0.031991969361435626528766817955,True,True
444,444_0,FAILED,SOBOL,,,,1971,2091,0.925432258973829524606458107883,0.012184085517656059391433664985,True,True
445,445_0,COMPLETED,SOBOL,0.579999999999999960031971113494,38.000000000000000000000000000000,0.000000000000000000000000000000,2886,2834,5.975894656250254399765253765509,0.043116732982452964095809733180,False,False
446,446_0,COMPLETED,SOBOL,0.579999999999999960031971113494,46.000000000000000000000000000000,0.000000000000000000000000000000,3581,1797,9.411423880793154950197276775725,0.049634920117910950876360942630,False,False
447,447_0,FAILED,SOBOL,,,,1251,3164,4.990178206299431984405146067729,0.006318303346168249387537763084,True,True
448,448_0,FAILED,SOBOL,,,,323,703,6.680079576924444317853613029001,0.025374187513720246334170127511,True,True
449,449_0,COMPLETED,SOBOL,0.609999999999999986677323704498,76.000000000000000000000000000000,0.119999999999999995559107901499,4528,4257,1.419686811280436833371254579106,0.019195433510001750493367822514,False,False
450,450_0,FAILED,SOBOL,,,,4807,2249,7.382771699553356548051397112431,0.000512467733118683122298109289,True,False
451,451_0,FAILED,SOBOL,,,,26,2679,2.019239797539077674315421973006,0.043832956206519162190016203340,False,True
452,452_0,COMPLETED,SOBOL,0.780000000000000026645352591004,3374.000000000000000000000000000000,0.930000000000000048849813083507,1598,218,9.026006583316251052906409313437,0.024990399923641236357152450864,False,True
453,453_0,FAILED,SOBOL,,,,3254,4709,4.073197822256945599406208202709,0.031174534773919734126357283799,True,False
454,454_0,COMPLETED,SOBOL,0.699999999999999955591079014994,398.000000000000000000000000000000,0.340000000000000024424906541753,2549,1171,0.013906532765366137749385444522,0.037015969997737561969497477321,True,False
455,455_0,FAILED,SOBOL,,,,2289,3788,5.587387874726206682396423275350,0.018447865840513260476951629130,False,True
456,456_0,FAILED,SOBOL,,,,736,1328,3.583806559839286087765231059166,0.038085285645443951729749443302,False,True
457,457_0,FAILED,SOBOL,,,,4121,3632,8.316920229595154978596838191152,0.007154997786972672538241546647,True,False
458,458_0,FAILED,SOBOL,,,,4308,1444,2.483776248146779774828019071720,0.028270006263162943127564830093,False,True
459,459_0,FAILED,SOBOL,,,,857,3514,6.905019240699709293096475448692,0.022076025459449741261686028793,True,False
460,460_0,FAILED,SOBOL,,,,2410,975,3.926165353742428365535488410387,0.047128738093655558882844047730,True,False
461,461_0,FAILED,SOBOL,,,,2736,3982,9.186560205340384754890692420304,0.003821110913064331131988593526,False,True
462,462_0,COMPLETED,SOBOL,0.790000000000000035527136788005,1418.000000000000000000000000000000,0.979999999999999982236431605997,3300,24,5.126551347689703774790359602775,0.010427391984965653573547150756,False,True
463,463_0,COMPLETED,SOBOL,0.650000000000000022204460492503,823.000000000000000000000000000000,0.469999999999999973354647408996,1871,4906,0.485594192254357071014680968801,0.041368988472502678244158147436,True,False
464,464_0,FAILED,SOBOL,,,,298,2368,8.470017497474326972906055743806,0.015569740358274431271667914700,True,False
465,465_0,FAILED,SOBOL,,,,4853,2563,3.419553014243953192874414526159,0.034123520547058437679677211918,False,True
466,466_0,FAILED,SOBOL,,,,4564,817,8.092609778929501729294315737206,0.040207643660251056461074625759,True,True
467,467_0,COMPLETED,SOBOL,0.579999999999999960031971113494,33.000000000000000000000000000000,0.000000000000000000000000000000,605,4137,2.519126351014711051590211354778,0.009262175471056253994728280077,False,False
468,468_0,COMPLETED,SOBOL,0.579999999999999960031971113494,40.000000000000000000000000000000,0.000000000000000000000000000000,1533,1598,5.811621741082520387067233968992,0.035283248708117755099156198639,False,False
469,469_0,FAILED,SOBOL,,,,3617,3356,1.078510753267444721714696242998,0.016724087672773748497467849461,True,True
470,470_0,RUNNING,SOBOL,,,,3082,1900,4.512406973860227488160035136389,0.022460245656315238477196416511,True,True
471,471_0,COMPLETED,SOBOL,0.579999999999999960031971113494,39.000000000000000000000000000000,0.000000000000000000000000000000,2082,3032,9.875940961828455044724250910804,0.028653375998605044167044653136,False,False
472,472_0,COMPLETED,SOBOL,0.660000000000000031086244689504,84.000000000000000000000000000000,0.100000000000000005551115123126,1135,494,1.580259802876971653162740949483,0.003432654083240777379004704528,False,False
473,473_0,RUNNING,SOBOL,,,,4009,4438,6.533065881995485213451502204407,0.046737921657506377448587642220,True,True
474,474_0,RUNNING,SOBOL,,,,4045,654,1.304512577344663304401706227509,0.009655102524906398336890234191,True,True
475,475_0,COMPLETED,SOBOL,0.579999999999999960031971113494,36.000000000000000000000000000000,0.000000000000000000000000000000,1100,4286,6.799258991442621358203268755460,0.040588389864191415368210869019,False,False
476,476_0,COMPLETED,SOBOL,0.579999999999999960031971113494,43.000000000000000000000000000000,0.000000000000000000000000000000,2046,1747,4.793265419808217409070039138896,0.016331443583592772372803381131,False,False
477,477_0,RUNNING,SOBOL,,,,3117,3192,9.605094349861145630598002753686,0.034902596641331912197259157438,True,True
478,478_0,RUNNING,SOBOL,,,,3662,2063,6.170597523527220573669183067977,0.029033982057124377990087182866,True,True
479,479_0,COMPLETED,SOBOL,0.640000000000000013322676295502,162.000000000000000000000000000000,0.320000000000000006661338147751,1487,2883,0.729547102796845203798170587106,0.022852840786799791250594182657,False,False
480,480_0,COMPLETED,SOBOL,0.579999999999999960031971113494,89.000000000000000000000000000000,0.000000000000000000000000000000,560,345,7.738745216900483114841335918754,0.046357220908626914357419934731,False,False
481,481_0,RUNNING,SOBOL,,,,4609,4602,2.863436498965136856043045554543,0.003039775434881448763074773822,True,True
482,482_0,RUNNING,SOBOL,,,,4888,1280,8.199228249240666954733569582459,0.021695467990823093240582153385,False,True
483,483_0,RUNNING,SOBOL,,,,262,3662,3.700468823925592065648970674374,0.027877267944626513140882195785,True,False
484,484_0,RUNNING,SOBOL,,,,1835,1124,5.392839666035026624513193382882,0.004201951715163887088322347552,True,False
485,485_0,RUNNING,SOBOL,,,,3335,3819,0.209942175620235510491440322767,0.047521570918150249362987835866,False,True
486,486_0,COMPLETED,SOBOL,0.780000000000000026645352591004,5277.000000000000000000000000000000,0.959999999999999964472863211995,2781,188,4.270571008584462369128686987096,0.040976204422302549279510941460,False,True
487,487_0,RUNNING,SOBOL,,,,2365,4757,8.832791150202973895488867128734,0.010046597006730736620361277289,True,False
488,488_0,RUNNING,SOBOL,,,,812,2218,2.134869663416408158695958263706,0.034516210275702181864421191904,True,False
489,489_0,RUNNING,SOBOL,,,,4353,2726,7.264052088884637825572099245619,0.015950252187438309497968802475,False,True
490,490_0,RUNNING,SOBOL,,,,4076,2418,3.225157527181319760956057507428,0.044213702410459521097152446600,True,False
491,491_0,RUNNING,SOBOL,,,,781,2535,8.666205861957744005508175177965,0.000905394786968827247619628906,False,True
492,492_0,COMPLETED,SOBOL,0.790000000000000035527136788005,1391.000000000000000000000000000000,0.989999999999999991118215802999,2334,74,0.368054635534994345480441779728,0.030793882707133891224460242597,False,True
493,493_0,RUNNING,SOBOL,,,,2504,4878,5.243366035411135328558884793893,0.024597755834460260232487982535,True,False
494,494_0,RUNNING,SOBOL,,,,3219,1003,9.302037647582590551564862835221,0.018840460970997813250349395275,True,False
495,495_0,RUNNING,SOBOL,,,,1634,3932,3.807293319438584067171404967667,0.037396576056256895792540007051,False,True
496,496_0,RUNNING,SOBOL,,,,61,1472,7.102239705398679880943291209405,0.006762119138613343488630746947,False,True
497,497_0,RUNNING,SOBOL,,,,4772,3463,2.290408093404955991445604013279,0.037704584896564488638581735813,True,False
498,498_0,COMPLETED,SOBOL,0.579999999999999960031971113494,62.000000000000000000000000000000,0.000000000000000000000000000000,4483,541,6.336000671869144618142399849603,0.031599231042899182664296375833,False,False
499,499_0,RUNNING,SOBOL,,,,368,4408,1.773777848309837201767891201598,0.013042457274161280839086529681,True,True
500,500_0,RUNNING,SOBOL,,,,1296,1947,9.760614006264134445700619835407,0.043509565806947647637059617409,True,True
501,501_0,COMPLETED,SOBOL,0.579999999999999960031971113494,34.000000000000000000000000000000,0.000000000000000000000000000000,3536,3002,4.631433666749858346634027839173,0.012564926319755614914086550016,False,False
