trial_index,arm_name,trial_status,generation_node,ACCURACY,RUNTIME,REQLABELS,recent_samples_size,window_size,ev_threshold,delta,divergence_metric,sample_period,online_scaling
1679,1679_0,RUNNING,SOBOL,,,,1999,3003,0.352788431543856861871688579413,0.490351351758465170416201317494,str\(\'intersection\'\),0.048306543296203020843027076126,True
1680,1680_0,RUNNING,SOBOL,,,,2102,1626,0.581806530015543055256443949474,0.513752941597253043326531951607,str\(\'kl\'\),0.061899333763867622759669018251,True
1681,1681_0,RUNNING,SOBOL,,,,4783,2841,0.230750544497743237393194704055,0.048242245394736531227675158107,str\(\'intersection\'\),0.024123851926997307015820837250,False
1682,1682_0,RUNNING,SOBOL,,,,2754,1016,0.842653942875564054837411731569,0.814141987157985580481067700021,str\(\'intersection\'\),0.044220142038539057838253398813,True
1683,1683_0,RUNNING,SOBOL,,,,386,4721,0.476460215270519238384139271147,0.371557513160631069926154168570,str\(\'kl\'\),0.086955135632306335136121333562,False
1684,1684_0,RUNNING,SOBOL,,,,851,539,0.086209547713398934631889858338,0.408307494373992108105397846884,str\(\'kl\'\),0.075057212589308627825879227657,True
1685,1685_0,RUNNING,SOBOL,,,,3532,4255,0.733059456236660467176591282623,0.905004917265847308449622232729,str\(\'intersection\'\),0.010964622609317303467135751305,False
1686,1686_0,RUNNING,SOBOL,,,,4003,2410,0.339224935257807391764117710409,0.232607710465788847242762926726,str\(\'intersection\'\),0.036637203805148607638209057313,True
1687,1687_0,RUNNING,SOBOL,,,,1635,3615,0.970999680371955053992394368834,0.706378554239869171915700007958,str\(\'kl\'\),0.094539469955489049968200276908,False
1688,1688_0,RUNNING,SOBOL,,,,1286,662,0.256259561108425237829777643128,0.983236380044370861241986858658,str\(\'intersection\'\),0.081226136414334182411778328969,True
1689,1689_0,RUNNING,SOBOL,,,,4347,4445,0.934327931800857158783912836952,0.454886459503322848618722673564,str\(\'kl\'\),0.049784369133412845198627394439,False
1690,1690_0,RUNNING,SOBOL,,,,3257,1272,0.010305934987962245968917684991,0.659456886081025039914038643474,str\(\'kl\'\),0.029798586033284668594944832876,True
1691,1691_0,RUNNING,SOBOL,,,,1133,2566,0.673237277418375024140573259501,0.154961636422201981533319781192,str\(\'intersection\'\),0.056367444721981893596129964408,False
1692,1692_0,RUNNING,SOBOL,,,,35,2060,0.750920549377799062540361774154,0.063512652086094023573537015182,str\(\'intersection\'\),0.088765858728438618019396244563,True
1693,1693_0,RUNNING,SOBOL,,,,3096,3345,0.431021161176264266945423742072,0.623049299316480786892213927786,str\(\'kl\'\),0.042245997311547406338760879407,False
1694,1694_0,RUNNING,SOBOL,,,,4505,191,0.512736975902691516360221157811,0.262603233873844155166210612151,str\(\'kl\'\),0.016594745041802527740770756282,True
1695,1695_0,RUNNING,SOBOL,,,,2381,3984,0.177761710466817018927443427856,0.798284853309392916642650561698,str\(\'intersection\'\),0.069569889623671776757163343063,False
1696,1696_0,RUNNING,SOBOL,,,,2491,1993,0.444814856803044667010738066892,0.700020352156832781354012240627,str\(\'kl\'\),0.056674043089151387997404185626,True
1697,1697_0,RUNNING,SOBOL,,,,4391,3275,0.873446519998833492692824620462,0.238189276279881595455023557406,str\(\'intersection\'\),0.032302748253569012193420206813,False
1698,1698_0,RUNNING,SOBOL,,,,2987,102,0.198861650798469791201483758414,0.875667069479823090283332476247,str\(\'intersection\'\),0.051499017765745530583743061470,True
1699,1699_0,RUNNING,SOBOL,,,,151,3897,0.612355333965271753093873030593,0.436716412022709832285727316048,str\(\'kl\'\),0.082325681596994410016421284126,False
1700,1700_0,COMPLETED,SOBOL,0.910000000000000031086244689504,0.000000000000000000000000000000,0.000000000000000000000000000000,1243,885,0.940513691183179623145349523838,0.346790262270718796511204118360,str\(\'kl\'\),0.071284174481406809009698122281,True
1701,1701_0,COMPLETED,SOBOL,0.910000000000000031086244689504,0.000000000000000000000000000000,0.000000000000000000000000000000,3142,4670,0.371051010478287923710638551711,0.839807707924395852039367582620,str\(\'intersection\'\),0.017694012951105834996479160282,False
1702,1702_0,COMPLETED,SOBOL,0.910000000000000031086244689504,0.000000000000000000000000000000,0.000000000000000000000000000000,4239,1517,0.702329697592183999077519729326,0.046332449687644841618272550932,str\(\'intersection\'\),0.042553090881556281110942308032,True
1703,1703_0,COMPLETED,SOBOL,0.910000000000000031086244689504,0.000000000000000000000000000000,0.000000000000000000000000000000,1402,2809,0.117792091419920322281633673356,0.516469833834096836433502630825,str\(\'kl\'\),0.091270257988944655802576733095,False
1704,1704_0,COMPLETED,SOBOL,0.910000000000000031086244689504,1.000000000000000000000000000000,0.000000000000000000000000000000,1676,453,0.641776204830035612580729775800,0.793312423931434751445124220481,str\(\'intersection\'\),0.087966856071725496590829607158,True
1705,1705_0,COMPLETED,SOBOL,0.910000000000000031086244689504,0.000000000000000000000000000000,0.000000000000000000000000000000,3956,4166,0.041157878575846552904327069200,0.268595963018015027046203613281,str\(\'kl\'\),0.046022661011666063379799140876,False
1706,1706_0,COMPLETED,SOBOL,0.910000000000000031086244689504,0.000000000000000000000000000000,0.000000000000000000000000000000,3490,2340,0.902624037805944690049386736064,0.594274897575378435732318394003,str\(\'kl\'\),0.026540017407387497816451116250,True
1707,1707_0,COMPLETED,SOBOL,0.910000000000000031086244689504,0.000000000000000000000000000000,0.000000000000000000000000000000,897,3548,0.286867017697542914245190104339,0.093459625154733660945538531450,str\(\'intersection\'\),0.062293974468484530904177631783,False
1708,1708_0,COMPLETED,SOBOL,0.910000000000000031086244689504,0.000000000000000000000000000000,0.000000000000000000000000000000,427,1869,0.147091435398906483777992093565,0.128686786655336615758926654962,str\(\'intersection\'\),0.096956084370613107581426959314,True
1709,1709_0,COMPLETED,SOBOL,0.910000000000000031086244689504,1.000000000000000000000000000000,0.000000000000000000000000000000,2707,3086,0.544503684658557141062829032307,0.684589617345482071009143965057,str\(\'kl\'\),0.037032036622986201634954994688,False
1710,1710_0,COMPLETED,SOBOL,0.910000000000000031086244689504,0.000000000000000000000000000000,0.000000000000000000000000000000,4741,1241,0.400106402827426765878016112765,0.452535043923184276959403860019,str\(\'kl\'\),0.011975934347137808660965774266,True
1711,1711_0,COMPLETED,SOBOL,0.910000000000000031086244689504,0.000000000000000000000000000000,0.000000000000000000000000000000,2148,4945,0.782444440444931332834244130936,0.984537043033167691419293987565,str\(\'intersection\'\),0.076859408020973213337967422376,False
1712,1712_0,COMPLETED,SOBOL,0.910000000000000031086244689504,0.000000000000000000000000000000,0.000000000000000000000000000000,1878,1088,0.027106599859893321796677767566,0.009942432504147290933671499147,str\(\'kl\'\),0.032949759261682629030154600969,False
1713,1713_0,COMPLETED,SOBOL,0.910000000000000031086244689504,1.000000000000000000000000000000,0.000000000000000000000000000000,4988,4805,0.658393445432186141808017509902,0.553883455943316227454431555088,str\(\'intersection\'\),0.098226893041282903329403097814,True
1714,1714_0,COMPLETED,SOBOL,0.910000000000000031086244689504,0.000000000000000000000000000000,0.000000000000000000000000000000,2642,1710,0.272603258864954123286139520133,0.318128412550315264883948884744,str\(\'intersection\'\),0.073124914262443788115497511626,False
1715,1715_0,COMPLETED,SOBOL,0.910000000000000031086244689504,0.000000000000000000000000000000,0.000000000000000000000000000000,470,2914,0.919941066930070494578330908553,0.869401789223775312009934168600,str\(\'kl\'\),0.012896899478510023134836259828,True
1716,1716_0,COMPLETED,SOBOL,0.910000000000000031086244689504,1.000000000000000000000000000000,0.000000000000000000000000000000,629,2484,0.529560364210978185006695184711,0.912121498236432626249836630450,str\(\'kl\'\),0.047910081036388878217291420469,False
