trial_index,arm_name,trial_status,generation_node,ACCURACY,RUNTIME,REQLABELS,recent_samples_size,n_subspaces,feature_percentage,alpha,window_size,mode
181,181_0,COMPLETED,SOBOL,0.600000000000000088817841970013,112.000000000000000000000000000000,0.989999999999999991118215802999,4036,28,0.218672223867848514178291452481,0.838173489650711367460189649137,700,EDFSMode.RANDOM
182,182_0,COMPLETED,SOBOL,0.589999999999999968913755310496,1350.000000000000000000000000000000,0.989999999999999991118215802999,3664,91,0.578039395460858917985547122953,0.330490274226292957138184647192,913,EDFSMode.RANDOM
183,183_0,COMPLETED,SOBOL,0.609999999999999986677323704498,248.000000000000000000000000000000,0.989999999999999991118215802999,1886,8,0.283632333558052784905356702438,0.606101750962436236491726049280,228,EDFSMode.RANDOM
184,184_0,COMPLETED,SOBOL,0.470000000000000028865798640254,267.000000000000000000000000000000,0.979999999999999982236431605997,2420,54,0.517150964377448008058024697675,0.751081840418279189641737048078,784,EDFSMode.RANDOM
185,185_0,COMPLETED,SOBOL,0.609999999999999986677323704498,2898.000000000000000000000000000000,1.000000000000000000000000000000,3144,49,0.344509339720010743235434347298,0.062708094840869310626629840044,106,EDFSMode.RANDOM
186,186_0,FAILED,SOBOL,,,,4176,82,0.982614391036331635831402309122,0.554311207344755585424422861252,369,EDFSMode.RANDOM
187,187_0,COMPLETED,SOBOL,0.479999999999999982236431605997,39.000000000000000000000000000000,0.239999999999999991118215802999,290,17,0.155827138355001809655320244019,0.259723346896469586830846765224,606,EDFSMode.RANDOM
188,188_0,COMPLETED,SOBOL,0.550000000000000044408920985006,395.000000000000000000000000000000,0.550000000000000044408920985006,856,95,0.438106157239526505797755362437,0.389469756340607986544455343392,759,EDFSMode.RANDOM
189,189_0,COMPLETED,SOBOL,0.600000000000000088817841970013,454.000000000000000000000000000000,0.989999999999999991118215802999,4703,5,0.673062493408098871938705087814,0.671867391042411332691131065076,525,EDFSMode.RANDOM
190,190_0,COMPLETED,SOBOL,0.609999999999999986677323704498,109.000000000000000000000000000000,0.989999999999999991118215802999,2618,66,0.062245879994705322069137309882,0.181003816343843937364255225475,287,EDFSMode.RANDOM
191,191_0,COMPLETED,SOBOL,0.589999999999999968913755310496,2074.000000000000000000000000000000,0.920000000000000039968028886506,1854,37,0.826719670359045255558783082961,0.880577950021252053858233921346,968,EDFSMode.RANDOM
192,192_0,COMPLETED,SOBOL,0.609999999999999986677323704498,84.000000000000000000000000000000,0.989999999999999991118215802999,1800,56,0.031451237611472608601825839969,0.048826107956469057269632827456,630,EDFSMode.RANDOM
193,193_0,COMPLETED,SOBOL,0.579999999999999960031971113494,6180.000000000000000000000000000000,0.989999999999999991118215802999,2642,47,0.857509550189599401015527746495,0.764960986873134962671372250043,400,EDFSMode.RANDOM
194,194_0,COMPLETED,SOBOL,0.609999999999999986677323704498,1484.000000000000000000000000000000,1.000000000000000000000000000000,4728,86,0.470364174796268352807260271220,0.257520472025498770030083051097,186,EDFSMode.RANDOM
195,195_0,COMPLETED,SOBOL,0.520000000000000017763568394003,222.000000000000000000000000000000,0.450000000000000011102230246252,803,13,0.640814941570162721617975876143,0.556509308509528621833339911973,871,EDFSMode.RANDOM
196,196_0,COMPLETED,SOBOL,0.410000000000000031086244689504,10681.000000000000000000000000000000,0.119999999999999995559107901499,237,99,0.951099259199574609269234315434,0.685278268149122626873293029348,943,EDFSMode.RANDOM
197,197_0,COMPLETED,SOBOL,0.550000000000000044408920985006,218.000000000000000000000000000000,0.369999999999999995559107901499,4201,1,0.187354646880179637191687902487,0.376063652940094472754140042525,254,EDFSMode.RANDOM
198,198_0,COMPLETED,SOBOL,0.600000000000000088817841970013,528.000000000000000000000000000000,0.989999999999999991118215802999,3169,68,0.547211346428841394207154280593,0.882277325294911873854175610177,443,EDFSMode.RANDOM
199,199_0,COMPLETED,SOBOL,0.489999999999999991118215802999,94.000000000000000000000000000000,0.989999999999999991118215802999,2366,34,0.314446106085553789277753367060,0.179307281499728549123418019917,670,EDFSMode.RANDOM
200,200_0,COMPLETED,SOBOL,0.609999999999999986677323704498,2129.000000000000000000000000000000,0.989999999999999991118215802999,1920,77,0.611088322073221168473367015395,0.464616963421925877053553222140,342,EDFSMode.RANDOM
201,201_0,COMPLETED,SOBOL,0.600000000000000088817841970013,190.000000000000000000000000000000,1.000000000000000000000000000000,3620,23,0.250588162062689578934993051007,0.723667694918811332804864377977,576,EDFSMode.RANDOM
202,202_0,COMPLETED,SOBOL,0.600000000000000088817841970013,8103.000000000000000000000000000000,0.979999999999999982236431605997,3992,59,0.889183098247274705805409666937,0.232559516109526159821641044800,814,EDFSMode.RANDOM
203,203_0,COMPLETED,SOBOL,0.619999999999999995559107901499,211.000000000000000000000000000000,1.000000000000000000000000000000,459,43,0.249274611182510846818516370149,0.955480552991852194466559922148,132,EDFSMode.RANDOM
204,204_0,COMPLETED,SOBOL,0.609999999999999986677323704498,401.000000000000000000000000000000,0.989999999999999991118215802999,987,72,0.406544424140825866320625436856,0.832073134623467880466307633469,317,EDFSMode.RANDOM
205,205_0,COMPLETED,SOBOL,0.589999999999999968913755310496,1121.000000000000000000000000000000,0.989999999999999991118215802999,4559,31,0.704608046468347293256329066935,0.104758735841140149247507906693,995,EDFSMode.RANDOM
206,206_0,COMPLETED,SOBOL,0.560000000000000053290705182008,84.000000000000000000000000000000,0.989999999999999991118215802999,3054,89,0.093302797380834814888750372575,0.596117244234308563122226587438,732,EDFSMode.RANDOM
207,207_0,COMPLETED,SOBOL,0.600000000000000088817841970013,959.000000000000000000000000000000,0.959999999999999964472863211995,1393,10,0.795646572934463613968603112880,0.340470036990940583265796703927,495,EDFSMode.RANDOM
208,208_0,COMPLETED,SOBOL,0.589999999999999968913755310496,184.000000000000000000000000000000,0.839999999999999968913755310496,1438,93,0.306925639456137988592132614940,0.934143962867557964280251781020,836,EDFSMode.RANDOM
209,209_0,COMPLETED,SOBOL,0.609999999999999986677323704498,901.000000000000000000000000000000,1.000000000000000000000000000000,2863,7,0.570206588469445718736494654877,0.129386189451441174780299547820,166,EDFSMode.RANDOM
210,210_0,COMPLETED,SOBOL,0.609999999999999986677323704498,257.000000000000000000000000000000,1.000000000000000000000000000000,4526,74,0.195237576857209216285582442652,0.635783552831038822894527129392,435,EDFSMode.RANDOM
211,211_0,COMPLETED,SOBOL,0.579999999999999960031971113494,3686.000000000000000000000000000000,0.830000000000000071054273576010,1185,28,0.927488376362249233864076813916,0.427503884039819259665904382928,652,EDFSMode.RANDOM
212,212_0,COMPLETED,SOBOL,0.500000000000000000000000000000,1408.000000000000000000000000000000,0.350000000000000033306690738755,501,62,0.726117522645741697573384954012,0.299705736001953493286009688745,692,EDFSMode.RANDOM
