trial_index,arm_name,trial_status,generation_node,ACCURACY,RUNTIME,REQLABELS,recent_samples_size,n_samples,feature_proportion,n_clusters,confidence
2274,2274_0,FAILED,SOBOL,,,,3525,25,0.437484926670789697755736824547,29,0.005
2275,2275_0,COMPLETED,SOBOL,0.550000000000000044408920985006,0.000000000000000000000000000000,0.000000000000000000000000000000,2398,3898,0.769513177674263748606620083592,21,0.05
2276,2276_0,COMPLETED,SOBOL,0.550000000000000044408920985006,1.000000000000000000000000000000,0.000000000000000000000000000000,1295,1088,0.133016612533479933189184407638,34,0.1
2277,2277_0,COMPLETED,SOBOL,0.550000000000000044408920985006,0.000000000000000000000000000000,0.000000000000000000000000000000,2746,4717,0.543032645158469717827642853081,18,0.001
2278,2278_0,COMPLETED,SOBOL,0.550000000000000044408920985006,1.000000000000000000000000000000,0.000000000000000000000000000000,4963,1527,0.939878894217312299552702370420,12,0.25
2279,2279_0,COMPLETED,SOBOL,0.550000000000000044408920985006,0.000000000000000000000000000000,0.000000000000000000000000000000,953,2675,0.351879821259528380306136341460,40,0.025
2280,2280_0,COMPLETED,SOBOL,0.550000000000000044408920985006,0.000000000000000000000000000000,0.000000000000000000000000000000,1136,1303,0.890264771182090020040789113409,39,0.1
2281,2281_0,COMPLETED,SOBOL,0.550000000000000044408920985006,0.000000000000000000000000000000,0.000000000000000000000000000000,4784,2588,0.308236009724438209111951891828,11,0.05
2282,2282_0,COMPLETED,SOBOL,0.550000000000000044408920985006,0.000000000000000000000000000000,0.000000000000000000000000000000,2626,1156,0.207908714465796951031961725676,17,0.25
2283,2283_0,COMPLETED,SOBOL,0.550000000000000044408920985006,0.000000000000000000000000000000,0.000000000000000000000000000000,1419,4960,0.623895303968340142475312859460,33,0.01
2284,2284_0,COMPLETED,SOBOL,0.550000000000000044408920985006,1.000000000000000000000000000000,0.949999999999999955591079014994,2195,271,0.481372271578758947896403697086,21,0.001
2285,2285_0,COMPLETED,SOBOL,0.550000000000000044408920985006,0.000000000000000000000000000000,0.000000000000000000000000000000,3722,3968,0.819371072024106972264689829899,30,0.01
2286,2286_0,COMPLETED,SOBOL,0.550000000000000044408920985006,0.000000000000000000000000000000,0.000000000000000000000000000000,3986,2271,0.664469443961977934698381886847,49,0.025
2287,2287_0,COMPLETED,SOBOL,0.550000000000000044408920985006,0.000000000000000000000000000000,0.000000000000000000000000000000,56,3488,0.004483357425779104128704677379,2,0.005
2288,2288_0,COMPLETED,SOBOL,0.550000000000000044408920985006,1.000000000000000000000000000000,0.409999999999999975575093458247,407,631,0.527093362852931068829320793157,6,0.001
2289,2289_0,COMPLETED,SOBOL,0.550000000000000044408920985006,0.000000000000000000000000000000,0.000000000000000000000000000000,4259,4504,0.173138308163732296263148668913,47,0.25
2290,2290_0,COMPLETED,SOBOL,0.550000000000000044408920985006,0.000000000000000000000000000000,0.000000000000000000000000000000,3292,1755,0.343996309440583014627179636591,29,0.1
2291,2291_0,COMPLETED,SOBOL,0.550000000000000044408920985006,0.000000000000000000000000000000,0.000000000000000000000000000000,1998,3108,0.988025903791189152869378631294,25,0.005
