trial_index,arm_name,trial_status,generation_node,ACCURACY,RUNTIME,REQLABELS,recent_samples_size,n_samples,n_permutations,update_interval,n_consecutive_deviations
4393,4393_0,FAILED,SOBOL,,,,2456,1683,320,165,87
4394,4394_0,FAILED,SOBOL,,,,465,3755,506,102,39
4395,4395_0,FAILED,SOBOL,,,,2810,3507,614,174,1
4396,4396_0,ABANDONED,SOBOL,,,,2187,4384,784,211,225
4397,4397_0,ABANDONED,SOBOL,,,,4486,741,299,125,125
4398,4398_0,FAILED,SOBOL,,,,4310,4072,248,92,73
4399,4399_0,FAILED,SOBOL,,,,1699,430,733,240,205
4400,4400_0,ABANDONED,SOBOL,,,,1183,2571,422,58,172
4401,4401_0,FAILED,SOBOL,,,,3571,1369,938,145,53
4402,4402_0,ABANDONED,SOBOL,,,,3449,4247,677,198,200
4403,4403_0,FAILED,SOBOL,,,,1149,565,163,96,85
4404,4404_0,FAILED,SOBOL,,,,1578,2706,976,172,41
4405,4405_0,ABANDONED,SOBOL,,,,4276,1545,493,7,176
4406,4406_0,FAILED,SOBOL,,,,2065,2482,542,139,29
4407,4407_0,ABANDONED,SOBOL,,,,74,4560,354,67,98
4408,4408_0,ABANDONED,SOBOL,,,,2688,879,868,231,244
4409,4409_0,FAILED,SOBOL,,,,3044,3022,282,146,67
4410,4410_0,ABANDONED,SOBOL,,,,342,1861,765,61,218
4411,4411_0,RUNNING,SOBOL,,,,4721,251,592,91,58
4412,4412_0,RUNNING,SOBOL,,,,3919,4869,892,120,14
4413,4413_0,RUNNING,SOBOL,,,,1309,1188,378,205,146
4414,4414_0,ABANDONED,SOBOL,,,,792,3334,691,32,231
4415,4415_0,RUNNING,SOBOL,,,,3181,2171,208,179,111
4416,4416_0,ABANDONED,SOBOL,,,,3306,3253,807,72,181
4417,4417_0,RUNNING,SOBOL,,,,692,1935,291,221,34
4418,4418_0,ABANDONED,SOBOL,,,,1428,4794,606,46,92
4419,4419_0,ABANDONED,SOBOL,,,,4889,3857,429,162,237
4420,4420_0,ABANDONED,SOBOL,,,,2190,20,914,13,103
4421,4421_0,RUNNING,SOBOL,,,,517,2942,225,192,24
4422,4422_0,ABANDONED,SOBOL,,,,2817,1623,741,105,138
4423,4423_0,ABANDONED,SOBOL,,,,2548,4480,144,22,48
4424,4424_0,RUNNING,SOBOL,,,,160,641,629,184,167
4425,4425_0,ABANDONED,SOBOL,,,,1922,3569,439,114,209
4426,4426_0,FAILED,SOBOL,,,,4532,2251,955,214,78
4427,4427_0,RUNNING,SOBOL,,,,4083,2631,529,243,120
4428,4428_0,ABANDONED,SOBOL,,,,960,4166,828,155,157
4429,4429_0,RUNNING,SOBOL,,,,3662,329,343,55,5
4430,4430_0,RUNNING,SOBOL,,,,3596,4595,853,187,84
4431,4431_0,ABANDONED,SOBOL,,,,983,913,370,23,203
4432,4432_0,RUNNING,SOBOL,,,,1724,3611,559,213,173
4433,4433_0,RUNNING,SOBOL,,,,4110,2449,44,111,42
4434,4434_0,RUNNING,SOBOL,,,,4599,2672,477,82,31
4435,4435_0,RUNNING,SOBOL,,,,1899,1509,992,246,131
4436,4436_0,RUNNING,SOBOL,,,,2522,600,662,154,94
4437,4437_0,RUNNING,SOBOL,,,,489,2138,706,75,70
4438,4438_0,FAILED,SOBOL,,,,2255,4904,393,130,56
4439,4439_0,ABANDONED,SOBOL,,,,4867,1221,876,45,159
4440,4440_0,ABANDONED,SOBOL,,,,3753,3967,575,16,148
4441,4441_0,RUNNING,SOBOL,,,,1455,286,93,163,14
4442,4442_0,ABANDONED,SOBOL,,,,626,2988,780,104,113
4443,4443_0,ABANDONED,SOBOL,,,,3327,1826,266,189,227
4444,4444_0,FAILED,SOBOL,,,,3160,2907,725,62,33
4445,4445_0,ABANDONED,SOBOL,,,,858,1590,240,149,184
4446,4446_0,ABANDONED,SOBOL,,,,1282,3892,929,88,192
4447,4447_0,FAILED,SOBOL,,,,3981,53,413,237,93
4448,4448_0,ABANDONED,SOBOL,,,,2356,990,621,121,237
4449,4449_0,FAILED,SOBOL,,,,370,3219,306,178,140
4450,4450_0,RUNNING,SOBOL,,,,2983,1900,791,29,21
4451,4451_0,ABANDONED,SOBOL,,,,2714,4200,328,98,166
4452,4452_0,FAILED,SOBOL,,,,14,362,844,198,51
4453,4453_0,ABANDONED,SOBOL,,,,4386,1278,514,169,210
4454,4454_0,ABANDONED,SOBOL,,,,4249,3535,940,140,222
4455,4455_0,ABANDONED,SOBOL,,,,1638,2216,455,40,119
4456,4456_0,FAILED,SOBOL,,,,1126,4514,645,228,7
4457,4457_0,ABANDONED,SOBOL,,,,3550,3709,385,28,99
4458,4458_0,ABANDONED,SOBOL,,,,1249,2352,899,175,250
4459,4459_0,ABANDONED,SOBOL,,,,1672,4650,215,124,126
4460,4460_0,FAILED,SOBOL,,,,4372,850,698,209,26
4461,4461_0,RUNNING,SOBOL,,,,4508,4338,757,241,47
4462,4462_0,ABANDONED,SOBOL,,,,2122,540,274,95,178
4463,4463_0,ABANDONED,SOBOL,,,,136,2774,583,142,198
4464,4464_0,ABANDONED,SOBOL,,,,3105,4966,535,70,232
4465,4465_0,FAILED,SOBOL,,,,2478,3396,861,33,9
4466,4466_0,ABANDONED,SOBOL,,,,4776,2039,347,135,144
4467,4467_0,FAILED,SOBOL,,,,4015,3083,171,168,164
4468,4468_0,ABANDONED,SOBOL,,,,1403,1725,685,3,61
4469,4469_0,FAILED,SOBOL,,,,892,4027,501,202,66
4470,4470_0,ABANDONED,SOBOL,,,,3281,228,984,99,212
4471,4471_0,ABANDONED,SOBOL,,,,749,147,522,51,137
4472,4472_0,RUNNING,SOBOL,,,,1490,2850,336,248,240
4473,4473_0,ABANDONED,SOBOL,,,,3875,1649,821,85,108
4474,4474_0,RUNNING,SOBOL,,,,4989,3164,637,118,90
4475,4475_0,ABANDONED,SOBOL,,,,611,4728,963,18,187
4476,4476_0,RUNNING,SOBOL,,,,2913,1086,447,181,36
4477,4477_0,RUNNING,SOBOL,,,,2644,2536,922,196,150
