trial_index,arm_name,trial_status,generation_node,ACCURACY,RUNTIME,REQLABELS,recent_samples_size,n_samples,k_neighbors,n_permutations,significance_level
229,229_0,COMPLETED,SOBOL,0.760000000000000008881784197001,1635.000000000000000000000000000000,1.000000000000000000000000000000,1555,190,14,254,0.601717837952077339025436231168
230,230_0,RUNNING,SOBOL,,,,869,3105,94,584,0.764288940871134414578591531608
231,231_0,FAILED,SOBOL,,,,3018,1800,41,211,0.108056133430451159482821310576
232,232_0,FAILED,SOBOL,,,,2802,4543,96,332,0.960377298306673732319893588283
233,233_0,FAILED,SOBOL,,,,1123,829,49,954,0.182931281084194791164421189933
234,234_0,RUNNING,SOBOL,,,,1770,3696,71,132,0.466716549269855007775475996823
235,235_0,FAILED,SOBOL,,,,4621,2497,24,505,0.686324349274858858116488136147
236,236_0,FAILED,SOBOL,,,,4123,2542,26,666,0.547432526290416721082010553801
237,237_0,RUNNING,SOBOL,,,,1974,1267,79,43,0.330782834751531473749253109418
238,238_0,FAILED,SOBOL,,,,135,4210,3,873,0.052827152255922556201017670219
239,239_0,COMPLETED,SOBOL,0.750000000000000000000000000000,12669.000000000000000000000000000000,1.000000000000000000000000000000,3456,419,56,500,0.835119583608582627398675413133
240,240_0,FAILED,SOBOL,,,,3683,4375,45,609,0.422397921012714505639706885631
241,241_0,FAILED,SOBOL,,,,206,568,99,232,0.705233628768473841397224077809
242,242_0,FAILED,SOBOL,,,,2059,2703,21,932,0.926780477372929456514327739569
243,243_0,FAILED,SOBOL,,,,4364,1420,74,306,0.210612896338105204385726665350
244,244_0,FAILED,SOBOL,,,,4394,3541,76,396,0.087330053484067318714245686806
245,245_0,FAILED,SOBOL,,,,1700,2338,29,773,0.806394826181232926565201069025
246,246_0,FAILED,SOBOL,,,,1038,4393,53,65,0.590708023527637071659057710349
247,247_0,FAILED,SOBOL,,,,2561,666,6,692,0.312779639270156617492091299937
248,248_0,RUNNING,SOBOL,,,,2932,2941,61,819,0.634867976244539056196458659542
249,249_0,FAILED,SOBOL,,,,627,1649,8,443,0.477178210983052852878216754107
250,250_0,FAILED,SOBOL,,,,1327,3813,87,643,0.141251841284334656023702336824
251,251_0,COMPLETED,SOBOL,0.839999999999999968913755310496,8444.000000000000000000000000000000,1.000000000000000000000000000000,4805,35,34,16,0.980555218106135773048492865200
252,252_0,FAILED,SOBOL,,,,3954,4926,16,186,0.845581775113940281585200864356
253,253_0,FAILED,SOBOL,,,,2431,1228,63,562,0.001371074793860316363286466768
254,254_0,FAILED,SOBOL,,,,617,3312,44,354,0.350960102070122959005971097213
255,255_0,FAILED,SOBOL,,,,3311,2100,91,981,0.505752675669267737212919655576
256,256_0,FAILED,SOBOL,,,,3302,3306,58,208,0.755092951698228764811915425526
257,257_0,FAILED,SOBOL,,,,607,2104,11,585,0.101665953278541568161053021413
258,258_0,FAILED,SOBOL,,,,2441,4940,84,251,0.250726248206570745402643751731
259,259_0,FAILED,SOBOL,,,,3963,1213,37,878,0.596302300635725313071588971070
260,260_0,FAILED,SOBOL,,,,4795,3828,14,797,0.731260500485077513665999049408
261,261_0,FAILED,SOBOL,,,,1318,21,67,420,0.390591741811484094437645353537
262,262_0,FAILED,SOBOL,,,,637,2937,41,746,0.227899335077032444418776435668
263,263_0,FAILED,SOBOL,,,,2942,1654,94,119,0.884223495416343263642033889482
264,264_0,FAILED,SOBOL,,,,2571,4379,49,497,0.063119543515145773437957643637
265,265_0,FAILED,SOBOL,,,,1048,681,96,874,0.840413294753059703090514176438
266,266_0,FAILED,SOBOL,,,,1690,3546,24,40,0.556750341635197432132997619192
267,267_0,FAILED,SOBOL,,,,4384,2334,71,667,0.337051188731566087053437286158
268,268_0,FAILED,SOBOL,,,,4374,2707,79,508,0.460318758700042962583864891712
269,269_0,FAILED,SOBOL,,,,2069,1414,26,131,0.677120749684050671213242367230
270,270_0,FAILED,SOBOL,,,,196,4360,56,957,0.954954143136739763697562466405
271,271_0,FAILED,SOBOL,,,,3673,582,3,330,0.172753098143264643971050986693
272,272_0,FAILED,SOBOL,,,,3447,4205,98,688,0.585292452750727498766991629964
273,273_0,COMPLETED,SOBOL,0.750000000000000000000000000000,2242.000000000000000000000000000000,0.959999999999999964472863211995,126,425,45,65,0.302609040722250921540137369448
274,274_0,FAILED,SOBOL,,,,1983,2558,75,771,0.080939906792715191063969371044
275,275_0,FAILED,SOBOL,,,,4132,1253,21,398,0.797198870468884712714441320713
276,276_0,FAILED,SOBOL,,,,4611,3711,29,309,0.936105877110734563295579846454
277,277_0,FAILED,SOBOL,,,,1760,2481,76,932,0.216888834711164241175751499213
278,278_0,FAILED,SOBOL,,,,1133,4538,7,234,0.432697956150397633479087744490
279,279_0,FAILED,SOBOL,,,,2812,833,54,607,0.710534983791410890141548861720
280,280_0,FAILED,SOBOL,,,,3028,3089,8,977,0.357228422589600080883087684924
281,281_0,FAILED,SOBOL,,,,879,1814,61,354,0.515070457553491012347990363196
282,282_0,FAILED,SOBOL,,,,1545,3975,34,560,0.850875519718974793192955985432
283,283_0,COMPLETED,SOBOL,0.770000000000000017763568394003,1806.000000000000000000000000000000,1.000000000000000000000000000000,4866,185,87,187,0.011663499513640998572761020569
284,284_0,FAILED,SOBOL,,,,3878,4778,63,20,0.131073632318526506201905590387
285,285_0,FAILED,SOBOL,,,,2199,1063,16,643,0.975132036911323663019857121981
286,286_0,FAILED,SOBOL,,,,380,3150,91,445,0.625664402678608899677215049451
287,287_0,FAILED,SOBOL,,,,3231,1950,44,818,0.470780446438118838070607807822
288,288_0,FAILED,SOBOL,,,,3176,4886,23,611,0.893754542810842433908646853524
289,289_0,FAILED,SOBOL,,,,403,1110,70,237,0.241697969853878008583691894273
290,290_0,FAILED,SOBOL,,,,2334,3429,50,911,0.392325824977830028839065334978
291,291_0,FAILED,SOBOL,,,,3779,2138,97,288,0.737262408975511762676546823059
292,292_0,FAILED,SOBOL,,,,4980,2825,54,387,0.621792576545849406954857840901
293,293_0,FAILED,SOBOL,,,,1424,1610,1,760,0.279753154467791309567559210336
294,294_0,FAILED,SOBOL,,,,841,3853,82,94,0.119359264960512523323643563344
295,295_0,COMPLETED,SOBOL,0.790000000000000035527136788005,2814.000000000000000000000000000000,1.000000000000000000000000000000,3068,153,29,717,0.776323131673038013822463199176
296,296_0,FAILED,SOBOL,,,,2657,3503,83,837,0.170592504404485229008159308250
297,297_0,FAILED,SOBOL,,,,1212,2222,36,464,0.949256919046863933964175430447
298,298_0,FAILED,SOBOL,,,,1835,4511,59,638,0.667163429658859996607134235092
299,299_0,COMPLETED,SOBOL,0.719999999999999973354647408996,2247.000000000000000000000000000000,0.989999999999999991118215802999,4608,706,12,15,0.446824570382013896985284873153
300,300_0,FAILED,SOBOL,,,,4151,4257,38,160,0.319662323508411672090545607716
301,301_0,FAILED,SOBOL,,,,1924,528,91,533,0.535093889029696567760652214929
302,302_0,FAILED,SOBOL,,,,31,2742,16,367,0.815227703243494028484406044299
303,303_0,FAILED,SOBOL,,,,3587,1537,69,990,0.033666126681491735650464391938
304,304_0,FAILED,SOBOL,,,,3672,2582,33,99,0.693207033513113857203791212669
305,305_0,FAILED,SOBOL,,,,273,1384,86,726,0.411102414771914503877070501403
306,306_0,FAILED,SOBOL,,,,2150,4093,9,423,0.191764158146455893083626165208
307,307_0,FAILED,SOBOL,,,,4221,381,62,800,0.906713371504098142317218389508
308,308_0,FAILED,SOBOL,,,,4523,4661,88,906,0.795099191674962679776683671662
309,309_0,FAILED,SOBOL,,,,1594,868,42,279,0.075303593929857012834183649375
310,310_0,FAILED,SOBOL,,,,985,3657,66,574,0.292712635641917573448012035442
311,311_0,FAILED,SOBOL,,,,2586,2378,19,197,0.571859175659716112427588541323
312,312_0,FAILED,SOBOL,,,,2841,4010,74,325,0.496331633575260666724204838829
313,313_0,FAILED,SOBOL,,,,770,307,20,952,0.654752223884686790356113306188
314,314_0,FAILED,SOBOL,,,,1339,2987,99,149,0.992886259820312311319412401645
315,315_0,FAILED,SOBOL,,,,4738,1760,46,526,0.152364727238193164993163009058
316,316_0,FAILED,SOBOL,,,,4006,3281,4,680,0.021255458135157823812422250853
317,317_0,FAILED,SOBOL,,,,2405,1974,51,53,0.864735069440677794894156704686
318,318_0,FAILED,SOBOL,,,,489,4734,31,848,0.516865451946854626008587274555
319,319_0,FAILED,SOBOL,,,,3418,951,78,471,0.363291246024891711918769487966
320,320_0,FAILED,SOBOL,,,,3383,3904,26,942,0.249955410838127140005227033726
321,321_0,FAILED,SOBOL,,,,532,99,79,319,0.903016930742189249947671214613
322,322_0,FAILED,SOBOL,,,,2361,2857,3,517,0.744590806428343077172371522465
323,323_0,FAILED,SOBOL,,,,4040,1577,56,144,0.398649275483563547695098350232
324,324_0,FAILED,SOBOL,,,,4713,3387,94,63,0.273421970855444673720313630838
325,325_0,FAILED,SOBOL,,,,1392,2182,47,686,0.614456208044663054756995279604
326,326_0,FAILED,SOBOL,,,,716,4863,72,480,0.767052772693336049059098513681
327,327_0,FAILED,SOBOL,,,,2865,1134,25,853,0.111094090869650247155320244019
328,328_0,FAILED,SOBOL,,,,2650,2785,67,731,0.941928402623161686868513697846
329,329_0,FAILED,SOBOL,,,,971,1494,14,108,0.164269172869622698263114557449
330,330_0,FAILED,SOBOL,,,,1608,4281,93,806,0.438567248368635753674737998153
331,331_0,FAILED,SOBOL,,,,4459,505,40,433,0.657900922756642136945970378292
332,332_0,FAILED,SOBOL,,,,4294,4458,10,273,0.544364129038527599924179867230
333,333_0,FAILED,SOBOL,,,,2145,757,57,897,0.327927616570144908614281575865
334,334_0,FAILED,SOBOL,,,,278,3469,38,191,0.039997429264709352669804331981
