trial_index,arm_name,trial_status,generation_node,recent_samples_size,batch_size,detection_buf_size,overlap,alpha,gamma,statistical_test,approximation_type,subset_bound
133,133_0,FAILED,SOBOL,2601,4599,1532,0.280646949160844094706135365414,0.921496314570307784030944731057,9.632504790503531921785906888545,str\(\'ks-test\'\),str\(\'bounded\'\),4302
134,134_0,FAILED,SOBOL,4428,1916,4983,0.548377276765182664064468553988,0.715512464784085699953664061468,5.269630430603400306210915005067,str\(\'t-test\'\),str\(\'bounded\'\),3610
135,135_0,FAILED,SOBOL,419,2753,931,0.006654900202527642277816610772,0.173848752943798895431726236893,2.499985870368778950734167665360,str\(\'ks-test\'\),str\(\'full\'\),2066
136,136_0,FAILED,SOBOL,243,1035,4646,0.324266954438760857115653379878,0.581992853270843601976025638578,0.637208207190036790557030599302,str\(\'t-test\'\),str\(\'full\'\),445
137,137_0,FAILED,SOBOL,4916,4260,1200,0.874121354380622550550583582663,0.055926815610378981247219343231,6.614233292909339922971412306651,str\(\'ks-test\'\),str\(\'bounded\'\),3903
138,138_0,FAILED,SOBOL,3051,1630,2737,0.079530807431787253758415090488,0.333346494365483525523785601763,8.482277375202626146233342296910,str\(\'t-test\'\),str\(\'bounded\'\),3188
139,139_0,FAILED,SOBOL,2109,3702,1810,0.598427083212882293672407740814,0.805523605281487142804053291911,3.760005628040060443595393735450,str\(\'ks-test\'\),str\(\'full\'\),2231
140,140_0,FAILED,SOBOL,1293,2343,578,0.639529957640916135730435598816,0.998583495993167202797735626518,1.799410208767279861774568416877,str\(\'t-test\'\),str\(\'bounded\'\),2855
141,141_0,FAILED,SOBOL,3553,2991,4007,0.183512166585773239813050849989,0.394651025140658029410900553557,5.901624694194645748268612805987,str\(\'ks-test\'\),str\(\'full\'\),1313
142,142_0,FAILED,SOBOL,4111,321,2429,0.893779521116986885864719170058,0.249230836408212780286319798506,9.039187689082696763875901524443,str\(\'t-test\'\),str\(\'full\'\),779
143,143_0,FAILED,SOBOL,736,4972,3377,0.406832158910110597282994149282,0.643055157493799933732248064189,3.691976169720291967024650148232,str\(\'ks-test\'\),str\(\'bounded\'\),4822
144,144_0,FAILED,SOBOL,788,602,963,0.505813429817557280721018742042,0.311080460112541923312079461539,5.951089879398234749885432393057,str\(\'ks-test\'\),str\(\'full\'\),4007
145,145_0,FAILED,SOBOL,4368,4691,4414,0.049339868791401383929517976412,0.829730924414470827343848213786,1.302047817881219149427352022030,str\(\'t-test\'\),str\(\'bounded\'\),551
146,146_0,FAILED,SOBOL,3597,2371,1573,0.779548964565619839639509791596,0.561433121556416114827925412101,3.173864087150432222728113629273,str\(\'ks-test\'\),str\(\'bounded\'\),2361
147,147_0,FAILED,SOBOL,1560,2964,2504,0.292143928853794920819098024367,0.082326790202409030894337149675,9.067902810110711087077106640209,str\(\'t-test\'\),str\(\'full\'\),3317
148,148_0,FAILED,SOBOL,1995,1832,3771,0.439016220269724699587499117115,0.146807783747091885606650407681,6.487860717623495254713361646282,str\(\'ks-test\'\),str\(\'bounded\'\),1441
149,149_0,FAILED,SOBOL,2849,3500,347,0.988290867721661969724777918600,0.743536925274878690572677442105,1.213878660411573884303493287007,str\(\'t-test\'\),str\(\'full\'\),2985
