trial_index,arm_name,trial_status,generation_method,result,n_reference_samples,recent_samples_proportion,threshold
177,177_0,COMPLETED,BoTorch,0.251515918958031825525267777266,50,0.404368779577207737574440216122,0.500000000000000000000000000000
178,178_0,COMPLETED,BoTorch,0.296158948383984599317386710027,335,0.328728231590496355885022694565,0.541447449674491987359203903907
179,49_0,COMPLETED,BoTorch,0.251547274481427884929019000992,50,1.000000000000000000000000000000,0.500000000000000000000000000000
180,49_0,COMPLETED,BoTorch,0.251328991799324663602988039202,50,1.000000000000000000000000000000,0.500000000000000000000000000000
181,49_0,COMPLETED,BoTorch,0.251386878919440448498789919540,50,1.000000000000000000000000000000,0.500000000000000000000000000000
182,49_0,COMPLETED,BoTorch,0.251413410516160173990840576153,50,1.000000000000000000000000000000,0.500000000000000000000000000000
183,183_0,COMPLETED,BoTorch,0.250560781476121596789141676709,50,0.320680022736107239733627238820,0.521644708558210767890273018565
184,49_0,COMPLETED,BoTorch,0.251391702846116782410490486654,50,1.000000000000000000000000000000,0.500000000000000000000000000000
185,49_0,COMPLETED,BoTorch,0.251369995176073279807837934641,50,1.000000000000000000000000000000,0.500000000000000000000000000000
186,186_0,COMPLETED,BoTorch,0.278564881813796461074161925353,158,0.574378353434689903345145012281,0.556240660920693796853697676852
187,187_0,COMPLETED,BoTorch,0.278480463096960950686309388402,155,0.576519214656641798555369859969,0.563019247069350692314060324861
188,49_0,COMPLETED,BoTorch,0.251345875542691721271637561586,50,1.000000000000000000000000000000,0.500000000000000000000000000000
189,49_0,COMPLETED,BoTorch,0.251360347322720723006739262928,50,1.000000000000000000000000000000,0.500000000000000000000000000000
190,49_0,COMPLETED,BoTorch,0.251460443801254207585316180484,50,1.000000000000000000000000000000,0.500000000000000000000000000000
191,49_0,COMPLETED,BoTorch,0.251348287506029888227487845143,50,1.000000000000000000000000000000,0.500000000000000000000000000000
192,49_0,COMPLETED,BoTorch,0.251351905451037138661263270478,50,1.000000000000000000000000000000,0.500000000000000000000000000000
193,49_0,COMPLETED,BoTorch,0.251348287506029888227487845143,50,1.000000000000000000000000000000,0.500000000000000000000000000000
194,49_0,COMPLETED,BoTorch,0.251362759286058889962589546485,50,1.000000000000000000000000000000,0.500000000000000000000000000000
195,49_0,COMPLETED,BoTorch,0.251373613121080530241613359976,50,1.000000000000000000000000000000,0.500000000000000000000000000000
196,196_0,COMPLETED,BoTorch,0.251373613121080530241613359976,50,0.999999999999999888977697537484,0.500000000000000000000000000000
197,197_0,COMPLETED,BoTorch,0.265085624698504607188453974231,95,0.812039849720895268170295366872,0.729513344448059819491447797191
198,198_0,COMPLETED,BoTorch,0.277319102749638224381101281324,150,0.695445684135409747383960166189,0.545450451672552905080237906077
199,199_0,COMPLETED,BoTorch,0.293128316449589920722473834758,369,0.562304641019254702882790297735,0.714826373893722277763629335823
200,200_0,COMPLETED,BoTorch,0.288236854799807096227937108779,278,0.522633547987788937838615765941,0.711401487234979867935180664062
201,201_0,COMPLETED,BoTorch,0.250968403280270146993302660121,50,0.881645372230559609683098187816,0.579951639752835035324096679688
202,49_0,COMPLETED,BoTorch,0.251766763145200189732975104562,50,1.000000000000000000000000000000,0.500000000000000000000000000000
203,49_0,COMPLETED,BoTorch,0.251355523396044389095038695814,50,1.000000000000000000000000000000,0.500000000000000000000000000000
204,204_0,RUNNING,BoTorch,,73,0.608640702348202444760261187184,0.750569714233279228210449218750
205,205_0,COMPLETED,BoTorch,0.259301736613603450720688670117,73,0.729538020677864551544189453125,0.529738754127174638064445844066
206,206_0,COMPLETED,BoTorch,0.255412445730824888556753649027,57,0.875585343111211833466711595975,0.723723907253296383501606214850
207,207_0,COMPLETED,BoTorch,0.265888808490110983839826985786,103,0.500345596391707725381081672822,0.508012700453400634081901898753
208,208_0,COMPLETED,BoTorch,0.294546550892426428625014978024,366,0.378925083018839425896828743134,0.641226308513432763369621625316
209,209_0,COMPLETED,BoTorch,0.252034491075735611609331954241,50,0.313665793690479532962456232781,0.522880117065096849948702129041
210,210_0,COMPLETED,BoTorch,0.252036903039073778565182237799,50,0.313867609092131738535158547165,0.525154920182485551727324946114
211,211_0,COMPLETED,BoTorch,0.268277858176555694669218610215,102,0.533779872395098275994484993134,0.726147207338363021023042165325
212,212_0,COMPLETED,BoTorch,0.281494211287988460590270278772,195,0.144490762334316985571192049065,0.585501269903033971786499023438
213,213_0,COMPLETED,BoTorch,0.252205740472744799340887311700,50,0.719497866090387128146232953441,0.631079064216464757919311523438
214,49_0,COMPLETED,BoTorch,0.251505065123010185246243963775,50,1.000000000000000000000000000000,0.500000000000000000000000000000
215,215_0,COMPLETED,BoTorch,0.257274481427882339978907566547,68,0.677391667863296964569030933490,0.592357463650894366935517609818
216,49_0,COMPLETED,BoTorch,0.251455619874577873673615613370,50,1.000000000000000000000000000000,0.500000000000000000000000000000
217,217_0,COMPLETED,BoTorch,0.253780752532561493239882111084,50,0.834201061827886447552771187475,0.634106695610154647013700923708
218,218_0,COMPLETED,BoTorch,0.256015436565364185028670362954,62,0.885037713684141635894775390625,0.535661337058991215975822797191
219,49_0,RUNNING,BoTorch,,50,1.000000000000000000000000000000,0.500000000000000000000000000000
220,220_0,COMPLETED,BoTorch,0.253400868306801752005696926062,50,0.272383149347841913012757686374,0.726599773571164120333776281768
221,221_0,COMPLETED,BoTorch,0.253016160154365676859811173927,50,0.272175176703347121431875166309,0.726611954605530852013828280178
222,222_0,COMPLETED,BoTorch,0.252144235407621764011310006026,50,0.407428847847306596641203668696,0.634223804858913831061784094345
223,49_0,COMPLETED,BoTorch,0.251345875542691721271637561586,50,1.000000000000000000000000000000,0.500000000000000000000000000000
224,224_0,COMPLETED,BoTorch,0.252238301977809942222563677205,50,0.540634313016997047895983996568,0.642230741774745927941125955840
225,49_0,COMPLETED,BoTorch,0.251344669561022637793712419807,50,1.000000000000000000000000000000,0.500000000000000000000000000000
226,49_0,COMPLETED,BoTorch,0.251355523396044389095038695814,50,1.000000000000000000000000000000,0.500000000000000000000000000000
227,49_0,COMPLETED,BoTorch,0.251532802701398994216219762166,50,1.000000000000000000000000000000,0.500000000000000000000000000000
228,228_0,COMPLETED,BoTorch,0.251292812349252270287536248361,50,0.376597473663913384633872283302,0.621272645944888624036650526250
229,229_0,COMPLETED,BoTorch,0.252919681620839331692707219190,50,0.638449047655448298499436532438,0.640020329041448121643043123186
230,230_0,COMPLETED,BoTorch,0.251958514230583685566955409740,50,0.628657027610797891625793454295,0.637703860573932579391964736715
231,49_0,COMPLETED,BoTorch,0.251331403762662830558838322759,50,1.000000000000000000000000000000,0.500000000000000000000000000000
232,49_0,COMPLETED,BoTorch,0.251454413892908790195690471592,50,1.000000000000000000000000000000,0.500000000000000000000000000000
233,233_0,COMPLETED,BoTorch,0.251626869271587061405170970829,50,1.000000000000000000000000000000,0.522680301652058698635983091663
234,234_0,COMPLETED,BoTorch,0.250554751567776179399515967816,50,0.334516068035660474322412483161,0.523658365062494191022324230289
235,49_0,COMPLETED,BoTorch,0.251320549927641079257512046752,50,1.000000000000000000000000000000,0.500000000000000000000000000000
236,236_0,COMPLETED,BoTorch,0.251729377713458712939598171943,50,0.419435216470962379808895548194,0.500000000000000000000000000000
237,49_0,RUNNING,BoTorch,,50,1.000000000000000000000000000000,0.500000000000000000000000000000
238,49_0,COMPLETED,BoTorch,0.251304872165943105066787666146,50,1.000000000000000000000000000000,0.500000000000000000000000000000
239,49_0,COMPLETED,BoTorch,0.251339845634346303882011852693,50,1.000000000000000000000000000000,0.500000000000000000000000000000
240,240_0,COMPLETED,BoTorch,0.250891220453449137473000973841,50,0.426824203149736791651491785160,0.500000000000000000000000000000
241,49_0,COMPLETED,BoTorch,0.251378437047756864153313927090,50,1.000000000000000000000000000000,0.500000000000000000000000000000
242,242_0,COMPLETED,BoTorch,0.251636517124939729228572105058,50,0.435300350969221483410365181044,0.640204128896388224845281911257
243,243_0,COMPLETED,BoTorch,0.251214423540762177289309420303,50,0.388517069086351418683022984624,0.500000000000000000000000000000
244,244_0,COMPLETED,BoTorch,0.252451760733236829636894071882,50,0.323140383945104137097814600565,0.523904298951193947431193009834
245,245_0,COMPLETED,BoTorch,0.250940665701881338023326861730,50,0.321300731777231451946619245064,0.524587547384697372443440599454
246,49_0,COMPLETED,BoTorch,0.251366377231066140396364971821,50,1.000000000000000000000000000000,0.500000000000000000000000000000
247,49_0,COMPLETED,BoTorch,0.251351905451037138661263270478,50,1.000000000000000000000000000000,0.500000000000000000000000000000
248,49_0,COMPLETED,BoTorch,0.251318137964302912301661763195,50,1.000000000000000000000000000000,0.500000000000000000000000000000
249,249_0,COMPLETED,BoTorch,0.252392667631451961263167049765,50,0.357893535285238595378132231417,0.623917419872544121162150076998
250,250_0,COMPLETED,BoTorch,0.278118668596237350598698867543,153,0.430355031007679911247976178856,0.621694231706615973997998025879
251,251_0,COMPLETED,BoTorch,0.251607573564881836780671164888,50,0.383084185083425898810105536541,0.500000000000000000000000000000
252,49_0,COMPLETED,BoTorch,0.251489387361312100033217120654,50,1.000000000000000000000000000000,0.500000000000000000000000000000
253,49_0,COMPLETED,BoTorch,0.251472503617945042364567598270,50,1.000000000000000000000000000000,0.500000000000000000000000000000
254,49_0,COMPLETED,BoTorch,0.251642547033285146618197813950,50,1.000000000000000000000000000000,0.500000000000000000000000000000
255,49_0,COMPLETED,BoTorch,0.251362759286058889962589546485,50,1.000000000000000000000000000000,0.500000000000000000000000000000
256,256_0,COMPLETED,BoTorch,0.250779064158224818115172638500,50,0.886064076616317475298956196639,0.588395452912066074802055481996
257,49_0,COMPLETED,BoTorch,0.251540038591413384061468150321,50,1.000000000000000000000000000000,0.500000000000000000000000000000
258,49_0,COMPLETED,BoTorch,0.251436324167872649049115807429,50,1.000000000000000000000000000000,0.500000000000000000000000000000
259,49_0,COMPLETED,BoTorch,0.251374819102749613719538501755,50,1.000000000000000000000000000000,0.500000000000000000000000000000
260,49_0,COMPLETED,BoTorch,0.251391702846116782410490486654,50,1.000000000000000000000000000000,0.500000000000000000000000000000
261,49_0,COMPLETED,BoTorch,0.251350699469368055183338128700,50,1.000000000000000000000000000000,0.500000000000000000000000000000
262,262_0,COMPLETED,BoTorch,0.252297395079594810596290699323,50,0.336735949722954841512034818152,0.523920643391982188141753340460
263,49_0,COMPLETED,BoTorch,0.251396526772793005299888591253,50,1.000000000000000000000000000000,0.500000000000000000000000000000
264,264_0,COMPLETED,BoTorch,0.251213217559093093811384278524,50,0.338561593741065869345163719117,0.523138814727089451750430271204
265,265_0,COMPLETED,BoTorch,0.251443560057887149916666658100,50,0.341438401383369727337679933044,0.523115100489205397948921927309
266,49_0,COMPLETED,BoTorch,0.251439942112879899482891232765,50,1.000000000000000000000000000000,0.500000000000000000000000000000
