trial_index,start_time,end_time,run_time,program_string,exit_code,signal,hostname,OO_Info_runtime,OO_Info_peak_memory,OO_Info_mean_memory,OO_Info_lpd,OO_Info_accuracy,OO_Info_portion_req_label,OO_Info_SLURM_JOB_ID,arm_name,trial_status,generation_node,RUNTIME,MTR,recent_samples_size,n_samples,k_neighbors,n_permutations,significance_level
1242,1754796283.000000000000000000000000000000,1754798474.000000000000000000000000000000,2191.000000000000000000000000000000,module load GCCcore/10.3.0 Python && source /data/horse/ws/s4122485-compPerfDD/benchmark/venv/bin/activate && python main_mtr.py 1 1 SineClustersPre 2000 HoeffdingTreeClassifier NNDVI recent_samples_size 4915 n_samples 55 k_neighbors 58 n_permutations 902 significance_level 0.5011752193588763,0.000000000000000000000000000000,,i7132,2163.000000000000000000000000000000,614.296875000000000000000000000000,573.510095605022797826677560806274,-1.000000000000000000000000000000,0.330000000000000015543122344752,1.624374999999999902300373832986,5779625.000000000000000000000000000000,1242_0,COMPLETED,SOBOL,2163.000000000000000000000000000000,1.409999999999999920063942226989,4915,55,58,902,0.501175219358876322672813330428
1243,,,,,,,,,,,,,,,1243_0,FAILED,SOBOL,,,4298,4924,78,802,0.677220752136781789509711870778
1244,,,,,,,,,,,,,,,1244_0,FAILED,SOBOL,,,11,833,11,475,0.150735344944521787446944927069
1245,,,,,,,,,,,,,,,1245_0,FAILED,SOBOL,,,2076,3693,71,540,0.473741570072248596723341051984
1246,,,,,,,,,,,,,,,1246_0,FAILED,SOBOL,,,3569,2104,42,244,0.945861427186056924476531548862
1247,,,,,,,,,,,,,,,1247_0,RUNNING,SOBOL,,,3275,3780,67,400,0.306367209706455478901432343264
1248,,,,,,,,,,,,,,,1248_0,RUNNING,SOBOL,,,2406,454,47,821,0.770111658781766905690346902702
1249,,,,,,,,,,,,,,,1249_0,RUNNING,SOBOL,,,344,2510,85,131,0.602860673997551166358732643857
1250,,,,,,,,,,,,,,,1250_0,FAILED,SOBOL,,,4007,1685,2,583,0.069218120485544210040984580701
1251,,,,,,,,,,,,,,,1251_0,FAILED,SOBOL,,,4585,3300,32,745,0.235987628296017659668137866902
1252,,,,,,,,,,,,,,,1252_0,FAILED,SOBOL,,,1059,2468,55,43,0.715786939878016670313343183807
1253,,,,,,,,,,,,,,,1253_0,FAILED,SOBOL,,,1807,4569,14,975,0.907161291256546986616626782052
1254,,,,,,,,,,,,,,,1254_0,FAILED,SOBOL,,,2501,1238,100,305,0.388591376740485439089667352164
1255,,,,,,,,,,,,,,,1255_0,FAILED,SOBOL,,,2573,4019,17,818,0.005963514927774667476190195714
1256,,,,,,,,,,,,,,,1256_0,FAILED,SOBOL,,,1860,537,96,396,0.540337133288383508755714501604
1257,,,,,,,,,,,,,,,1257_0,RUNNING,SOBOL,,,1046,2750,36,587,0.833129880372434850066554190562
1258,,,,,,,,,,,,,,,1258_0,RUNNING,SOBOL,,,4551,1767,54,135,0.369141886770725236033285909798
1259,,,,,,,,,,,,,,,1259_0,RUNNING,SOBOL,,,4037,3216,83,40,0.450634977802634228982725517199
1260,,,,,,,,,,,,,,,1260_0,RUNNING,SOBOL,,,356,2230,7,741,0.968961370099335916883376285114
1261,,,,,,,,,,,,,,,1261_0,RUNNING,SOBOL,,,2356,4486,64,309,0.653506932541727980634505001944
1262,,,,,,,,,,,,,,,1262_0,RUNNING,SOBOL,,,3205,998,49,979,0.174438708115369073281542000586
1263,,,,,,,,,,,,,,,1263_0,RUNNING,SOBOL,,,3537,2993,75,636,0.564193794144317473104877080914
1264,,,,,,,,,,,,,,,1264_0,RUNNING,SOBOL,,,2062,1554,39,89,0.107876451166346670751394754006
1265,,,,,,,,,,,,,,,1265_0,FAILED,SOBOL,,,63,4224,81,898,0.267089295459911224561722065118
1266,1754801700.000000000000000000000000000000,1754808385.000000000000000000000000000000,6685.000000000000000000000000000000,module load GCCcore/10.3.0 Python && source /data/horse/ws/s4122485-compPerfDD/benchmark/venv/bin/activate && python main_mtr.py 1 1 SineClustersPre 2000 HoeffdingTreeClassifier NNDVI recent_samples_size 4370 n_samples 284 k_neighbors 7 n_permutations 320 significance_level 0.809384830923751,0.000000000000000000000000000000,,i7129,6610.000000000000000000000000000000,573.492187500000000000000000000000,526.413190516591271261859219521284,-1.000000000000000000000000000000,0.320000000000000006661338147751,1.623874999999999957367435854394,5779687.000000000000000000000000000000,1266_0,COMPLETED,SOBOL,6610.000000000000000000000000000000,3.850000000000000088817841970013,4370,284,7,320,0.809384830923751019682299556735
1267,,,,,,,,,,,,,,,1267_0,FAILED,SOBOL,,,4846,4694,27,479,0.883581780480220957407766491087
1268,,,,,,,,,,,,,,,1268_0,FAILED,SOBOL,,,715,761,61,805,0.412192765144631267926200735019
1269,,,,,,,,,,,,,,,1269_0,FAILED,SOBOL,,,1527,3464,22,240,0.212779306637123216683349369305
1270,,,,,,,,,,,,,,,1270_0,FAILED,SOBOL,,,2865,2030,92,536,0.739020946232601949610341307562
