trial_index,start_time,end_time,run_time,program_string,exit_code,signal,hostname,OO_Info_SLURM_JOB_ID,OO_Info_runtime,OO_Info_peak_memory,OO_Info_mean_memory,OO_Info_lpd,OO_Info_accuracy,OO_Info_portion_req_label,arm_name,trial_status,generation_node,RUNTIME,MTR,recent_samples_size,feature_id,p,big_windowSize,small_windowSize
7625,,,,,,,,,,,,,,,7625_0,ABANDONED,SOBOL,,,915,1,300,468,1608
7626,,,,,,,,,,,,,,,7626_0,ABANDONED,SOBOL,,,1490,2,10,1272,1387
7627,,,,,,,,,,,,,,,7627_0,ABANDONED,SOBOL,,,2895,0,480,638,983
7628,,,,,,,,,,,,,,,7628_0,ABANDONED,SOBOL,,,3271,3,362,823,682
7629,,,,,,,,,,,,,,,7629_0,ABANDONED,SOBOL,,,2483,0,143,1207,1212
7630,,,,,,,,,,,,,,,7630_0,ABANDONED,SOBOL,,,577,4,418,29,1807
7631,1754076419.000000000000000000000000000000,1754076685.000000000000000000000000000000,266.000000000000000000000000000000,module load GCCcore/10.3.0 Python && source /data/horse/ws/s4122485-compPerfDD/benchmark/venv/bin/activate && python main_mtr.py 1 1 SineClustersPre 2000 HoeffdingTreeClassifier WindowKDE recent_samples_size 3865 feature_id 2 p 71 big_windowSize 1876 small_windowSize 341,0.000000000000000000000000000000,,i7160,5735636.000000000000000000000000000000,254.000000000000000000000000000000,550.394531250000000000000000000000,550.394531250000000000000000000000,-1.000000000000000000000000000000,0.289999999999999980015985556747,0.000000000000000000000000000000,7631_0,COMPLETED,SOBOL,254.000000000000000000000000000000,0.000000000000000000000000000000,3865,2,71,1876,341
7632,,,,,,,,,,,,,,,7632_0,ABANDONED,SOBOL,,,3921,4,285,516,1332
7633,,,,,,,,,,,,,,,7633_0,ABANDONED,SOBOL,,,329,2,188,1396,803
7634,,,,,,,,,,,,,,,7634_0,ABANDONED,SOBOL,,,2232,3,495,342,211
7635,,,,,,,,,,,,,,,7635_0,ABANDONED,SOBOL,,,3324,0,25,1695,1678
7636,,,,,,,,,,,,,,,7636_0,ABANDONED,SOBOL,,,2998,3,127,1752,1970
7637,,,,,,,,,,,,,,,7637_0,ABANDONED,SOBOL,,,1272,0,347,150,380
7638,,,,,,,,,,,,,,,7638_0,ABANDONED,SOBOL,,,695,4,87,1079,596
7639,,,,,,,,,,,,,,,7639_0,ABANDONED,SOBOL,,,4920,1,433,949,1001
7640,,,,,,,,,,,,,,,7640_0,ABANDONED,SOBOL,,,4590,3,123,71,936
7641,,,,,,,,,,,,,,,7641_0,ABANDONED,SOBOL,,,988,0,406,1966,1465
7642,,,,,,,,,,,,,,,7642_0,ABANDONED,SOBOL,,,1563,4,162,772,1561
7643,1754076485.000000000000000000000000000000,1754076497.000000000000000000000000000000,12.000000000000000000000000000000,module load GCCcore/10.3.0 Python && source /data/horse/ws/s4122485-compPerfDD/benchmark/venv/bin/activate && python main_mtr.py 1 1 SineClustersPre 2000 HoeffdingTreeClassifier WindowKDE recent_samples_size 2665 feature_id 1 p 320 big_windowSize 1141 small_windowSize 95,1.000000000000000000000000000000,,i7179,5735642.000000000000000000000000000000,,,,,,,7643_0,FAILED,SOBOL,,,2665,1,320,1141,95
7644,1754076529.000000000000000000000000000000,1754076548.000000000000000000000000000000,19.000000000000000000000000000000,module load GCCcore/10.3.0 Python && source /data/horse/ws/s4122485-compPerfDD/benchmark/venv/bin/activate && python main_mtr.py 1 1 SineClustersPre 2000 HoeffdingTreeClassifier WindowKDE recent_samples_size 3657 feature_id 4 p 468 big_windowSize 1323 small_windowSize 262,1.000000000000000000000000000000,,i7113,5735648.000000000000000000000000000000,,,,,,,7644_0,FAILED,SOBOL,,,3657,4,468,1323,262
7645,,,,,,,,,,,,,,,7645_0,ABANDONED,SOBOL,,,1941,1,61,704,1854
7646,,,,,,,,,,,,,,,7646_0,ABANDONED,SOBOL,,,36,2,258,1524,1134
7647,,,,,,,,,,,,,,,7647_0,ABANDONED,SOBOL,,,4251,0,223,378,729
7648,,,,,,,,,,,,,,,7648_0,ABANDONED,SOBOL,,,4342,4,1,981,1885
7649,,,,,,,,,,,,,,,7649_0,ABANDONED,SOBOL,,,120,1,473,1112,480
7650,,,,,,,,,,,,,,,7650_0,ABANDONED,SOBOL,,,1967,2,213,183,509
7651,,,,,,,,,,,,,,,7651_0,ABANDONED,SOBOL,,,3689,0,307,1785,1104
7652,,,,,,,,,,,,,,,7652_0,ABANDONED,SOBOL,,,2803,3,409,1725,1310
7653,,,,,,,,,,,,,,,7653_0,ABANDONED,SOBOL,,,1718,1,64,373,841
7654,,,,,,,,,,,,,,,7654_0,ABANDONED,SOBOL,,,1045,4,371,1426,187
7655,,,,,,,,,,,,,,,7655_0,ABANDONED,SOBOL,,,4631,2,150,546,1718
7656,,,,,,,,,,,,,,,7656_0,ABANDONED,SOBOL,,,4923,2,343,411,347
7657,,,,,,,,,,,,,,,7657_0,ABANDONED,SOBOL,,,711,0,185,1556,1753
7658,,,,,,,,,,,,,,,7658_0,ABANDONED,SOBOL,,,1386,3,382,736,1220
7659,,,,,,,,,,,,,,,7659_0,ABANDONED,SOBOL,,,3099,1,100,1355,626
7660,,,,,,,,,,,,,,,7660_0,ABANDONED,SOBOL,,,3395,4,248,1171,958
7661,,,,,,,,,,,,,,,7661_0,ABANDONED,SOBOL,,,2299,2,280,802,1428
7662,,,,,,,,,,,,,,,7662_0,ABANDONED,SOBOL,,,454,3,36,1996,1585
7663,,,,,,,,,,,,,,,7663_0,ABANDONED,SOBOL,,,4050,0,446,102,55
